Title,Likes,Singer,Lyrics
The Drum,"51,577",Alan Walker,"Ooh I can't pretend
Like you didn't bring
my tempo up again
Tempo up again
My head's in a spin
You send my body to a place
it's never been
Baby won't you let me
Keep you up all night
let the morning come closer
You send me so high now
the ceiling can't hold us
Listen to my heart
let the rhythm control ya
I'll be there
when you need my love
Just follow the beat of my drum
Drum drum drum drum drum
It goes um-pa-pum-pa-pum
pum-pa-pum pum-pa-pum-pum
Um-pa-pum-pa-pum
pum-pa-pum pum-pa-pum-pum
Um-pa-pum-pa-pum
pum-pa-pum pum-pa-pum-pum
Um-pa-pum-pa-pum
pum-pa-pum pum-pa-pum-pum
Just follow the beat of my drum
Ooh I can't pretend
Like I didn't
let your love go to my head
ah-ah mm-mm
Ooh I'm in a spin
You send my body to a place
it's nеver been ah-ah
Whoa-oh oh no
thinkin' about you
makin' my body behave so
Crazy ooh
you makе me wanna sway slow
You push up on me baby
you got me for days oh you do
Baby won't you let me
Keep you up all night
let the morning come closer
You send me so high now
the ceiling can't hold us
Listen to my heart
let the rhythm control ya
I'll be there
when you need my love
Just follow the beat of my drum
Drum drum drum drum drum
It goes um-pa-pum-pa-pum
pum-pa-pum pum-pa-pum-pum
Um-pa-pum-pa-pum
pum-pa-pum pum-pa-pum-pum
Um-pa-pum-pa-pum
pum-pa-pum pum-pa-pum-pum
Um-pa-pum-pa-pum
pum-pa-pum pum-pa-pum-pum
Whoa-oh oh no
thinkin' about you
makin' my body behave so
Crazy ooh
you make me wanna sway slow
You push up on me baby
you got me for days oh you do
Just follow the beat of my drum
Pa-pum-pa-pum pum-pa-pum
pum-pa-pum-pum
Um-pa-pum-pa-pum
pum-pa-pum pum-pa-pum-pum
Um-pa-pum-pa-pum
pum-pa-pum pum-pa-pum-pum
Um-pa-pum-pa-pum
pum-pa-pum pum-pa
It goes um-pa-pum-pa-pum
pum-pa-pum pum-pa-pum-pum
Um-pa-pum-pa-pum
pum-pa-pum pum-pa-pum-pum
Um-pa-pum-pa-pum
pum-pa-pum pum-pa-pum-pum
Um-pa-pum-pa-pum pum-pa-pum
Just follow the beat of my drum"
Closer (Feat. Halsey),"244,437",The Chainsmokers,"Hey I was doing just fine
before I met you
I drank too much and
that's an issue but I'm okay
Hey you tell your friends
it was nice to meet them
But I hope I never see them again
I know it breaks your heart
Moved to the city
in a broke down car and
Four years no calls
Now you're looking pretty
in a hotel bar and
I can't stop
No I can't stop
So baby pull me closer
in the backseat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of the mattress that you stole
From your roommate back in Boulder
We ain't ever getting older
We ain't ever getting older
We ain't ever getting older
You look as the good
as the day as I met you
I forget just why I left you
I was insane
Stay and play that Blink-182 song
That we beat to death in Tuscon okay
I know it breaks your heart
I moved to the city
in a broke down car and
Four years no calls
Now you're looking pretty
in a hotel bar and
I can't stop
No I can't stop
So baby pull me closer
in the backseat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of the mattress that you stole
From your roommate back in Boulder
We ain't ever getting older
We ain't ever getting older
We ain't ever getting older
So baby pull me closer
in the backseat of your Rover
That I know you can't afford
Bite that tattoo on your shoulder
Pull the sheets right off the corner
Of the mattress that you stole
From your roommate back in Boulder
We ain't ever getting older
We ain't ever getting older
no we ain't ever getting older
We ain't ever getting older
no we ain't ever getting older
We ain't ever getting older
we ain't ever getting older
We ain't ever getting older
no we ain't ever getting older
We ain't ever getting older
No we ain't ever getting older"
Faded,"181,014",Alan Walker,"You were the shadow to my light
Did you feel us
Another start
You fade away
Afraid our aim is out of sight
Wanna see us
Alive
Where are you now
Where are you now
Where are you now
Was it all in my fantasy
Where are you now
Were you only imaginary
Where are you now
Atlantis
Under the sea
Under the sea
Where are you now
Another dream
The monsters running wild inside of me
I'm faded
I'm faded
So lost I'm faded
I'm faded
So lost I'm faded
These shallow waters never met
What I needed
I'm letting go a deeper dive
Eternal silence of the sea
I'm breathing
Alive
Where are you now
Where are you now
Under the bright but faded lights
You've set my heart on fire
Where are you now
Where are you now
Where are you now
Atlantis
Under the sea
Under the sea
Where are you now
Another dream
The monster running wild inside of me
I'm faded
I'm faded
So lost I'm faded
I'm faded
So lost I'm faded"
The Nights,"78,367",Avicii,"Hey
Once upon a younger year
When all our shadows disappeared
The animals inside
came out to play
Hey
When face to face
with all our fears
Learned our lessons
through the tears
Made memories we knew
would never fade
One day my father he told me
Son don't let it slip away
He took me in his arms
I heard him say
Hey
When you get older
Your wild life will live
for younger days
Think of me if ever you're afraid
He said One day you'll
leave this world behind
So live a life you will remember
My father told me
when I was just a child
These are the nights
that never die
My father told me
When thunder clouds
start pouring down
Light a fire they can't put out
Carve their name
into those shinning stars
He said Go adventure far
beyond these shores
Don't forsake this life of yours
I'll guide you home
no matter where you are
One day my father he told me
Son don't let this slip away
When I was just a kid
I heard him say
When you get older
Your wild life will live
for younger days
Think of me if ever you're afraid
He said One day
you'll leave this world behind
So live a life you will remember
My father told me
when I was just a child
These are the nights
that never die
My father told me
These are the nights that never die
My father told me
My father told me"
On My Way (배틀그라운드 모바일 배경음악),"130,882",Alan Walker,"I'm sorry but
Don't wanna talk
I need a moment before I go
It's nothing personal
I draw the blinds
They don't need to see my cry
'Cause even if they understand
They don't understand
So then when I'm finished
I'm all 'bout my business
and ready to save the world
I'm taking my misery
Making my bitch
can't be everyone's favorite girl
So take aim and fire away
I've never been so wide awake
No nobody but me
can keep me safe
And I'm on my way
The blood moon is on the rise
The fire burning in my eyes
No nobody but me
can keep me safe
And I'm on my way
Ya ya
Farru yeah guaya
Lo siento mucho Farru
pero me voy Eh
Porque a tu lado me
di cuenta que nada soy Eh-ey
Y me canse de luchar
y de guerrear en vano
De estar en la linea
de fuego y de meter la mano
Acepto mis errore'
tambien soy humano
Y tu no ve' que lo hago
porque te amo Pum-pum-pum-pum
Pero ya Ya no tengo
mas na' que hacer aqui Aqui
Me voy llego la hora 'e partir Partir
De mi propio camino
seguir lejos de ti
So take aim and fire away
I've never been so wide awake
No nobody but me can keep me safe
And I'm on my way
The blood moon is on the rise
Is on the rise na-na
The fire burning in my eyes
The fire burning in my eyes
No nobody but me can keep me safe
And I'm on my way
I'm on my way
Everybody everybody keep me safe
Everybody everybody keep me safe
Everybody everybody keep me safe
Everybody everybody on my way
So take aim and fire away
I've never been so wide awake
No nobody but me can keep me safe
And I'm on my way
The blood moon is on the rise
The fire burning in my eyes
No nobody but me can keep me safe
And I'm on my way"
"All Falls Down (Feat. Noah Cyrus, Digital Farm Animals)","148,802",Alan Walker,"What's the trick I wish I knew
I'm so done with thinking through
all the things I could've been
And I know you wonder too
All it takes is that one look at you
and I run right back to you
You crossed the line and
it's time to say F you
What's the point in saying that
when you know how I'll react
You think you can just take it back
but shit just don't work like that
You're the drug that I'm addicted to
and I want you so bad
Guess I'm stuck with you
and that's that
'Cause when it all falls down
then whatever
When it don't work out
for the better
If we just ain't right
and it's time to say goodbye
When it all falls down
when it all falls down
I'll be fine I'll be fine
You're the drug that I'm addicted to
And I want you so bad
but I'll be fine
Why we fight I don't know
We say what hurts the most
Oh I tried staying cold
but you take it personal
All these firing shots and
making grounder
It's way too hard to cope
but I still can't let you go
'Cause when it all falls down
then whatever
When it don't work out
for the better
If we just ain't right
and it's time to say goodbye
When it all falls down
when it all falls down
I'll be fine I'll be fine
You're the drug that I'm addicted to
and I want you so bad
But I'll be fine
I'll be fine-ine-fine
fine-ine-ine
I'll be fine-ine-fine
fine-ine-ine
I'll be fine-ine-fine
fine-ine-ine
I'll be fine-ine-fine fine
'Cause when it all falls down
then whatever
Then whatever babe
When it don't work out
for the better
For the better
If we just ain't right
and it's time to say goodbye
When it all falls down
When it all when it all
When it all falls down
When it all falls down
I'll be fine
Fine fine fine
I'll be fine
I'll be fine
You're the drug that I'm addicted
to and I want you so bad
But I'll be fine
I'll be fine
and that's that"
Something Just Like This,"188,639",The Chainsmokers,"I've been reading books of old
The legends and the myths
Achilles and his gold
Hercules and his gifts
Spiderman's control
And Batman with his fists
And clearly I don't see
myself upon that list
She said Where'd you wanna go
How much you wanna risk
I'm not looking for somebody
With some superhuman gifts
Some superhero
Some fairytale bliss
Just something I can turn to
Somebody I can kiss
I want something just like this
Doo doo doo doo doo doo
Doo doo doo doo doo
Doo doo doo doo doo doo
Oh I want something just like this
Doo doo doo doo doo doo
Doo doo doo doo doo
Doo doo doo doo doo doo
Oh I want something just like this
I want something just like this
I've been reading books of old
The legends and the myths
The testaments they told
The moon and its eclipse
And Superman unrolls
A suit before he lifts
But I'm not the kind
of person that it fits
She said Where'd you wanna go
How much you wanna risk
I'm not looking for somebody
With some superhuman gifts
Some superhero
Some fairytale bliss
Just something I can turn to
Somebody I can miss
I want something just like this
I want something just like this
Oh I want something just like this
Doo doo doo doo doo doo
Doo doo doo doo doo
Doo doo doo doo doo doo
Oh I want something just like this
Doo doo doo doo doo doo
Doo doo doo doo doo
Doo doo doo doo doo doo
Where d'ya wanna go
How much you wanna risk
I'm not looking for somebody
With some superhuman gifts
Some superhero
Some fairytale bliss
Just something I can turn to
Somebody I can kiss
I want something just like this
Oh I want something just like this
Oh I want something just like this
Oh I want something just like this"
Day 1 ◑,"145,123",HONNE,"You'll always be my Day 1
Day zero when I was no one
I'm nothing by myself
you and no one else
Thankful you're my Day 1
Thankful you're my
I got lucky finding you
I won big the day
I came across you
‘Cause when you're with me
I don't feel blue
Not a day goes by
that I would not redo
Everybody wants to love
It's easy
when you try hard enough
You'll always be my Day 1
Day zero when I was no one
I'm nothing by myself
you and no one else
Thankful you're my Day 1
Thankful you're my Day 1
When I first met you
it just felt right
It's like I met a copy
of myself that night
I don't believe in fate and such
But we were meant to be
together that's my hunch
Everybody wants true love
It's out there
if you look hard enough
enough enough
You'll always be my Day 1
Day zero when I was no one
I'm nothing by myself
you and no one else
Thankful you're my Day 1
Hour by hour
minute by minute
I got mad love for you
and you know it
I would never leave you
on your own
I just want you to know
You'll always be my Day 1
They say
I'm nothing by myself
you and no one else
Thankful you're my Day 1
Thankful you're my Day 1
You'll always be my Day 1
Day zero when I was no one
I'm nothing by myself
you and no one else
Thankful you're my Day 1
Day 1 Day 1 Day 1
Day 1 Day 1
Thankful you're my
Day 1
Thankful you're my
Day 1"
Alone,"92,452",Alan Walker,"Lost in your mind
I wanna know
Am I loosing my mind
Never let me go
If this night is not forever
At least we are together
I know I'm not alone
I know I'm not alone
Anywhere whenever
Apart but still together
I know I'm not alone
I know I'm not alone
I know I'm not alone
I know I'm not alone
Unconscious mind
I'm wide awake
Wanna feel one last time
Take my pain away
If this night is not forever
At least we are together
I know I'm not alone
I know I'm not alone
Anywhere whenever
Apart but still together
I know I'm not alone
I know I'm not alone
I know I'm not alone
I know I'm not alone
I'm not alone
I'm not alone
I'm not alone
I know I'm not alone
I'm not alone
I'm not alone
I'm not alone
I know I'm not alone"
"Feels (Feat. Pharrell Williams, Katy Perry, Big Sean)","130,891",Calvin Harris,"now, nothing ever last forever no
One minute you're here
And the next you're gone
So I respect you
wanna take it slow
I need a mental receipt
To know this moment I owe
Do you mind if I steal a kiss
chop chop
A little souvenir
can I steal it from you
To memorize the way you shock me
The way you move it here hey
Just wanna feel it from you hey
Don't be afraid to catch feels
Ride drop top
and chase thrills hey
I know you ain't afraid
to pop pills hey
Baby I know you ain't scared
to catch feels
Feels with me
I'm your window shopper
Sucker for your love
I'm wearing your goggles
Virtual reality
It ain't what it cost you
It might be a dollar
As long as it shocks you
Memory electricity
Do you mind if I steal a kiss
chop chop
A little souvenir
can I steal it from you
oh yeah
To memorize the way
you shock me yeah
Do way you move it here hey
Just wanna feel it from you hey
Don't be afraid to catch feels
ha
Ride drop top and chase thrills
oh
I know you ain't afraid
to pop pills hey
Baby I know you ain't scared
to catch feels straight up
Feels with me woah
Godamn I know you love
to make an entrance
Do you like getting paid
or getting paid attention
You mixed the wrong guys
with the right intentions
In the same bed
but it still feel long distance
She's looking for
a little more consistency
But when you stop looking you
gon' find what's meant to be
And honestly I'm way too done
with the hoes
I cut off all my exes for your x
and o's
I feel my old flings
was just preparing me
When I say I want you
say it back Parakeet
Fly in first-class
through the air Airbnb
I'm the best you had
You just be comparing me to me
Imma at this at you
If I put you on my phone
and upload it
It'll get maximum views
I came in through in the clutch
With the lipsticks and phones
Wear your favorite cologne
Just to get you alone
Don't be afraid to catch feels
Don't be afraid to catch
these feels
Ride drop top
and chase thrills yeah
I know you ain't afraid
about this I know
Baby I know you ain't scared
to catch feels
Feels with me
Don't be afraid to catch feels
no no
Don't be afraid baby
Ride drop top and chase thrills
woah okay
I know you ain't afraid to pop pills
I know I know I know
Baby I know you ain't scared
to catch feels
Feels with me"
