Title,Likes,Singer,Lyrics
"친구에서 연인이 되기까지 (Feat. 먼데이키즈, 백지영)","6,597",걸 프렌즈,"1Step 망설임도 없는 친구로
2Step 나는 아니기를 바랬어
하지만 너와 나는 Feeli‘ 그 이상으로
3 , 4 나의 감정조차 hittin low
1Step 망설임도 없는 친구로
2Step 나는 아니기를 바랬어
하지만 너와 나는 Feelin’ 그 이상으로
3 , 4 내게 말해죠 I don't know
난 아니기를 바랬어 그냥 친구일 뿐이라고
너를 사랑할수록 난 어색해서 널 피하곤 했지
이제는 느낄 수 있어 사랑으로 다가온 너를
함께 해야 할 이율 찾았어 너와 나의 바램 그거
(사랑해) 이 말을 꼭 하고 싶었어
(영원히) 지금 이대로 널 사랑해
너만이 날 이해할 수 있어 내가 너를 알듯이
널 사랑 할 거야 너와 떨어져 있던 만큼
내 친구에서 이제 연인이 된 기쁨과 내 맘 알아줘
영원히 사랑해 이제 나에겐 너여야 해
이대로가 좋아 너의 마음 언제나 변함없길 바래
Yo 우리 사랑은 이제부터야 그땐
그 어떤 것도 절대 걱정하지 마
친구의 모습으로 그대 바라볼 때엔
다가갈 수 없는 손끝이 애처로웠는데
이제 그대 앞에 당당하게
나의 맘을 보일 수 있어서 나 얼마나
행복한지 몰라 나에겐 오직 너뿐이니까
Baby I can leve just for you
이 말을 꼭 하고 싶었어 (영원히)
지금 이대로 널 사랑해
너만이 날 이해할 수 있어 내가 너를 알듯이
널 사랑 할 거야 너와 떨어져 있던 만큼
내 친구에서 이제 연인이 된 기쁨과 내 맘 알아줘
영원히 사랑해 이제 나에겐 너여야 해
이대로가 좋아 너의 마음 언제나 변함없길 바래
너만을 사랑할 이대로 사랑할 누구보다도
know, know, know I know
너만을 사랑할 영원히 사랑할
U know I know u know"
돌멩이,"12,392",마시따밴드,"흙먼지가 날리고 비바람이 불어와
뼈속까지 아픈데 난 이를 악문다
아등바등 거리는 나의삶을 위해서
내 맘둘곳 찾아서 난 길을 떠난다
나는 돌멩이 이리치이고 저리치여도
굴러가다 보면 좋은날 오겠지
내 꿈을 찾아서 내사랑 찾아서
나는 자유로운 새처럼
마음껏 하늘을 날고싶어
굴러 난 굴러간다
내 몸이 부서져 한줌의 흙이돼도
굴러 난 굴러간다
내 사랑 찾아서 내 꿈을 찾아서
머뭇거릴 새 없이 모두 지나버렸어
시간이라는 놈은 피도 눈물도 없어
구르고 또 굴러서 멍 투성이가 되도
세상끝에 홀로서 당당히 선다
나는 돌멩이 이리치이고 저리치여도
굴러가다 보면 좋은날 오겠지
내 꿈을 찾아서 내사랑 찾아서
나는 자유로운 새처럼
마음껏 하늘을 날고싶어
굴러 난 굴러간다
내 몸이 부서져 한줌의 흙이돼도
굴러 난 굴러간다
내 사랑 찾아서 내 꿈을 찾아서
움추렸던 가슴을 활짝 펴
이젠 나의길을 가는거야
멈추지마 멈추지마 멈추지마
꿈꾸는 돌멩이
달려라 돌멩이 날아라 돌멩이
굴러 난 굴러간다
내 몸이 부서져 한줌의 흙이돼도
굴러 난 굴러간다
내 사랑 찾아서 내 꿈을 찾아서
라라라라 라라라
라라라라 라라라
라라라라 라라라
힘내라 돌멩이"
원하고 원망하죠,"4,898",지아,"아직 누굴 사랑할 수 없는
그대 지친 가슴을
난 너무나 잘 알죠
변함없이 그대 곁을 지켜왔지만
그댄 지나버린 사랑
그 안에만 사는 걸
원하고 원망하죠 그대만을
내게 다가온 시간을
힘겹게 만드는 사람
지난 날들을
그대의 아픈 얘기를
모르고 싶은걸
소리 내어 환히 웃을 때도
그대 가슴은 울고 있는 걸 느끼죠
그런 그를 끌어안아 주고 싶지만
이런 내 맘 들키지 않기로 한걸요
원하고 원망하죠 그대만을
내게 다가올 시간을
힘겹게 만드는 사람
그대 지난 날들을
그대의 아픈 얘기를
모르고 싶은걸
지금 그대는 빈 자릴 채워줄
누구라도 필요한 거겠죠
잠시 그대 쉴 곳이 되어주기에
나는 너무나 욕심이 많은걸
원하고 원망하죠
그대만을
내게 다가와 내일을
후회로 만드는 사람
이런 내 맘을
혼자서 얘기할게요
그댈 사랑해요
그대 너무 사랑해요"
적동(붉은겨울),880,안예은,"시린 밤 어둠 지나 아침이 밝고
꽃잎 내리는 꿈을 꾸었소
얼어붙은 시냇가 재잘대는 꿈
그 곳에도 그대 모습 없네

그리워서 그려보는 봄은
눈 속에 파묻혀 사라지고
붉은 손 끝 소매에 감추어
눈물 자국 따라 걸을 뿐입니다

당신과 마주보고 크게 웃으며
햇살을 쬐는 꿈을 꾸었소
얼어붙은 나뭇잎 속삭이는 꿈
그 곳에도 그림자가 없네

보고싶어 내다보는 봄은
바람에 날리어 사라지고
붉은 두 뺨 손 안에 감추어
눈물 자국 따라 걸을 뿐입니다"
궁금해,"14,251",육성재 (비투비),"정말 궁금해
네 마음속엔 누가 있는지
그 예쁜 두눈에 난 어떻게 보이니
정말 궁금해
네 머릿속엔 누가 있는지
살짝 마주친 날
짧은 눈인사에도 두근대
혹시 내게 말 건넬까
매일 매일 준비해두는 얘기
바보처럼 보여도
감출 수 없는 기분
그래 우리 좋아한다고 말할까
네 생각도 나와 같진 않을까
매일 해가 뜰 때 까지 설레는
마음이 진정 안돼
이제 우리 솔직하게 다 말할까
네 생각도 나와 같다면 오오
오늘 기다리고 있어
널 마주치기를 너를
정말 궁금해
네 머릿속엔 누가 있는지
살짝 마주친 날
짧은 눈인사에도 두근대
혹시 내게 말 건넬까
매일 매일 준비해두는 얘기
바보처럼 보여도
감출 수 없는 기분
그래 우리 좋아한다고 말할까
네 생각도 나와 같진 않을까
매일 해가 뜰 때 까지 설레는
마음이 진정 안돼
이제 우리 솔직하게 다 말할까
네 생각도 나와 같다면 오오
오늘 기다리고 있어
널 마주치기를 너를
하루종일 간지럽게
자꾸 떠올라요
다시 만나면 또 다시만나면
이렇게 말할래
그래 우리 좋아한다고 말할까
네 생각도 나와 같을까
매일 해가 뜰 때 까지 설레는
마음이 진정 안돼
이제 우리 솔직하게 다 말할까
네 생각도 나와 같다면 오오
오늘 기다리고 있어
널 마주치기를 너를
그대를"
그리움의 거리,"7,870",엠씨더맥스 (M.C the MAX),"텅 빈 거리를 흘러 다니며
그대의 기억들을 털어내지만
가벼워질수록 나의 사랑은
그대에게 날아간다
마지막 그대 한숨이
아프게 남아있어
이 그리움의 거리에
나는 너무 늦어버린 이별을 맞이해
혼자서만 지켜온 우리 사랑
이제 모두 다 떠나보내며
돌아보아도 전부 다
잡히지 않는 꿈처럼
나는 흐릿한 무언가로 여기 남아있어
마음속에서 떨어져 내린
슬픔의 예감들을 주워 담아서
이 또한 사랑이라 여겨왔지만
늦었음을 깨달았다
마지막 그대 미소가
아프게 남아있어
이 그리움의 거리에도
나는 너무 늦어버린 이별을 맞이해
혼자서만 지켜온 우리 사랑
이제 모두 다 떠나보내며
돌아보아도 전부 다
잡히지 않는 꿈처럼
나는 흐릿한 무언가로 여기 남아있어
보이지만 멀어 닿지 못할
별이 되어 내 사랑
혼자서만 지켜온 우리 사랑
이제 모두 다 떠나보내며
돌아보아도 전부 다
잡히지 않는 꿈처럼
나는 바래진 추억으로 여기 남아있어"
우리 너무 오래 사랑했나봐,969,신지,"아무렇지 않아 전부 잊은 줄 알았어
니가 없는 내가 이렇게 편하게 지낼 줄은
아무렇지 않아 아무리 술을 마셔봐도
친구들과 여행도 가고 밤새 수달 떨어도

어쩌면 우린 너무 오래 사랑했나봐
니가 없어도 난 이렇게 잘 살아가고 있잖아

근데 웃음이 나질 않아 자꾸 눈물만 흘러
니가 없는 이 하루가 아무렇지 않은데
니 목소리만 자꾸 들려 미친 듯이 맴돌아
우린 너무 오래 사랑했나봐

아무렇지 않아 아무리 술에 취해 봐도
니가 없는 내가 이렇게 편하게 지낼 줄은

어쩌면 우린 너무 오래 사랑했나봐
니가 없으면 난 아무것도 아닐 것만 같았는데

근데 웃음이 나질 않아 자꾸 눈물만 흘러
니가 없는 이 하루가 아무렇지 않은데
니 목소리가 자꾸 들려 미친 듯이 맴돌아
우린 너무 오래 사랑했나봐

너의 향기가 니 목소리가 온통 내 주변을 맴돌고
나를 바라보던 너의 미소가 자꾸 떠올라

그래 아무렇지 않아 니 생각나지 않아
매번 이렇게 거짓말로 날 위로해왔어
미친 듯이 보고 싶어 너를 안고 싶어져
난 내 하루를 또 거짓말을 해
난 이 하루를 또 거짓말로"
바보가슴,"6,310",환희,"내 두눈엔 그대만 보여
난 보이지 않아도 보여
제발 그댄 그 두눈에도 나만 보이길
다른사람 알아보지 못하게
내 맘 속엔 그대만 살아
난 그 숨결 때문에 살아
제발 그대 맘속에도 나만 살길
다른사람 들어오지 못하게
나는 바보라서 하나만 알아요
한 사람만 알아요 아프게 눈물흘려도
바보가슴이라 죽는날까지
오직 그댈 사랑하는 일
그것 밖에 몰라요

난 오늘도 그대를 그려
더 그릴수 없도록 그려
그래도 난 가끔 그리워 해주길
나의 맘 천분의 일만이라도
나는 바보라서 하나만 알아요
한 사람만 알아요 아프게 눈물흘려도
바보가슴이라 죽는날까지
오직 그댈 사랑하는 일
그것 밖에 몰라요
내게 잊으라고 말하지마요
다른 사랑 못해요 다른 건 못해요
바보라서 참 행복합니다
오래도록 그대만 사랑할 수가 있으니
한번 내 맘속에 기억될 사람
영영 지우는 법 모르는
바보가슴 이니깐"
또 한 여잘 울렸어,"3,078",2BIC(투빅),"몇 시간째 빈 잔만
바라보다가
내겐 과분하단 핑계로
그녈 보내고
발길 닿는 그대로
하염없이 걷다보니
너와 가던 추억의 그곳에
오늘 또 한 여잘
그렇게 보냈어
너란 사람 때문에
오늘 또 한 여잘
그렇게 울렸어
나만 나쁜 놈 됐어
아무리 마음 주려해도
이미 내 맘 니가 다 가져
난 다른 사랑도 못해
오랫동안 내 주윌
서성였다고
취해 우는 후배 녀석을
돌려보내고
미안해진 마음에
술 한잔을 하다 보니
어느 샌가 또 너의 집 앞에
오늘 또 한 여잘 그렇게 보냈어
너란 사람 때문에
오늘 또 한 여잘 그렇게 울렸어
나만 나쁜 놈 됐어
아무리 마음 주려 해도
이미 내 맘 니가 다 가져
더 줄게 없는데 난
다른 사람의 어깰 빌려서라도
그렇게라도 널 잊고 싶지만
좁디좁은 나의 가슴엔
니 자리만 있어서
너 아니면 품을 수가 없나봐
또 한 여잘 울리지 않도록
돌아올 순 없겠니
더 나쁜 놈 만들지 않도록
다시 오면 안 되니
내가 있어야 할 단 한곳
오직 너의 곁인데
왜 날 이렇게 헤매게 해
세상 모든 여잘 다해도
너라는 한 여자만 못해
난 다른 사랑은 못해"
태어나줘서 고마워,"29,584",VIXX (빅스),"하루 종일 나를 괜히 미워했겠지
아직도 넌 나를 몰라 바보
일 년에 딱 한 번뿐인 너의 생일
잊을 리가 있겠어
내 맘 그동안 표현 못 해서 미안해
쑥스러웠나 봐 사랑한단 말
두 눈을 감아줄래
축하해 Happy birthday to my love
십 년이 지나도 하루가 지난 것처럼
변하지를 않기를 매일 설레기를
나는 약속해
고마워 너무 Thank you for my love
너 태어나줘서 오늘
이렇게 내게 와줘서
널 만난 건 내게 큰 행운이야
자 이제 촛불을 꺼줄래 My love
내가 해줄 수 있는 건 하나뿐이야
널 더 사랑하는 일
가끔 널 아프게 할 때도 있겠지만
이거 하나만은 꼭 알아줄래
늘 지금처럼 너를
사랑해 You’re my everything to me
십 년이 지나도 하루가 지난 것처럼
변하지 않기를 매일 설레기를
나는 약속해 My love
아직도 꿈만 같은 걸
천사 같은 사람이
날 보며 웃어
이렇게
사랑해 셀 수 없이 외쳐도
늘 부족한 그 말
혼자서 외롭고 힘든 날들
우리 함께라면
두려울 게 없을 거야
넘치고 넘쳐서 감당 안 될 일만
전부 줄 거야
고마워 너무 Thank you for my love
너 태어나줘서
그리고 내 곁에 있어줘서
널 만나서 다시 난 태어난 거야
자 이제 이 반지 껴줄래 My love"
