Title,Likes,Singer,Lyrics
가시,"4,277",초아,"너 없는 지금도 눈부신 하늘과
눈부시게 웃는 사람들
나의 헤어짐을 모르는 세상은
슬프도록 그대로인데
시간마저 데려가지 못하게
나만은 널 보내지 못했나 봐
가시처럼 깊게 박힌 기억은
아파도 아픈 줄 모르고
그대 기억이 지난 사랑이
내 안을 파고드는 가시가 되어
제발 가라고 아주 가라고
애써도 나를 괴롭히는데
아픈 만큼 너를 잊게 된다면
차라리 앓고 나면 그만인데
가시처럼 깊게 박힌 기억은
아파도 아픈 줄 모르고
그대 기억이 지난 사랑이
내 안을 파고드는 가시가 되어
제발 가라고 아주 가라고
애써도 나를 괴롭히는데
너무 사랑했던 나를
그게 두려웠던 나를
미치도록 너를 그리워했던
날 이제는 놓아줘
보이지 않아 내 안에 숨어
잊으려 하면 할수록 더 아파와
제발 가라고 아주 가라고
애써도 나를 괴롭히는데"
내 아픔 아시는 당신께,"5,016",조하문,"어둠을 헤치는 세월은
말없이 흘러만 가는데
지나간 시간이 서러워
한없는 눈물만 흐르네
그러던 어느 날 사랑을 만났네
누구도 느낄 수 없는
내 아픔 아시는 당신께
내 모든 사랑드려요
이 눈물 보시는 당신에게
내 마음드려요

어느덧 구름은 걷히고
따스한 햇살이 내게로
젖었던 내 마음 마르고
파아란 하늘이 감싸오네
이제는 나는 사랑을 배웠네
누구도 느낄 수 없는
내 아픔 아시는 당신께
내 모든 사랑드려요
이 눈물 보시는 당신에게
내 마음드려요
내 아픔 아시는 당신께
내 모든 사랑드려요
이 눈물 보시는 당신에게
내 마음드려요"
스물아홉,"2,554",스탠딩 에그,"해 질 녘 거리에서 문득 생각해
그땐 어른이 되는 게 이럴 줄 몰랐네
누군가에겐 어른 어디선간 막내
내 자리는 어딘지 가끔 어지러워
거울 속 얼굴은 변한 게 없는데
아이와 어른 사이의 나는 어디에
한잔 한잔 오늘을 위해
애썼던 나의 하루를 위하여
한잔 한잔 우리를 위해
조금씩 나아지는 작은 무언가를 위하여
갖고 싶던 그 사람과 닿고 싶던 그곳
이젠 그저 흐릿하게 웃고 마는 추억
우린 모두 누군가의 ‘그때 그 사람’
너도 어딘가에서 내 생각을 할까
너와 마시던 술은 쓴맛이 났는데
술이 달콤한 오늘 밤 너는 어디에
한잔 한잔 그대를 위해
지키지 못 한 약속을 위하여
한잔 한잔 지금을 위해
닿지 않는 곳에서 머무를 그대를 위하여
안녕 안녕 나의 지난 날
서툴고 여린 마음의 시간들
안녕 안녕 나의 젊은 날
많이 넘어졌어도 멈추지 않던 시간들"
오늘은 가지마,"5,051",벤,"잠깐 다시 앉아줄래
잠깐 내 얘기 좀 할게
잠깐 내 얼굴 좀 봐줄래
오늘이 가면 다시 안 볼거잖아
오늘은 가지마
오늘만 가지마
오늘만 더 옆에 있어주면
나 잊을 수 있어
오늘은 가지마
제발 떠나지마
오늘만 더 옆에 있어주면
나 노력해볼게
그만 다 쳐다보잖아
그만 좀 그만 울려 날
제발 내일 얘기하자
내게 생각할 시간 좀 달란말야
오늘은 가지마
오늘만 가지마
오늘만 더 옆에 있어주면
나 잊을 수 있어
오늘은 가지마
제발 떠나지마
오늘만 더 옆에 있어주면
나 노력해볼게
내가 잘못 들은 줄만 알았어
아무렇지 않은 척 해도
근데 왜 자꾸 눈물이 나는 걸까
오늘은 가지마
오늘만 가지마
오늘만 더 옆에 있어주면
나 잊을 수 있어
오늘은 가지마
오늘만 가지마
오늘만 더 옆에 있어주면
나 노력해볼게
오늘은 가지마"
푹,"6,227",헨,"사랑할 수 없는 이유가 있을까
이렇게 눈앞에 있는데도
사랑할 수 없는 이유가 있을까
같은 하늘을 볼 수 있는데도
무지개가 좋은 이유를 생각한적 있나
은하수가 좋은 이유를 생각한적 있나
그냥 그렇게
푹 빠져버렸나 봐 너에게 이렇게
푹 빠져버렸나 봐 너에게 음
무지개가 좋은 이유를 생각한적 있나
은하수가 좋은 이유를 생각한적 있나
그냥 그렇게
푹 아 빠져버렸나 봐 너에게 이렇게
푹 우 빠져버렸나 봐 너에게
말로는 설명할 수 없는
너무 커버린 내 맘은 그냥 이렇게
푹 우 아 빠져버렸나 봐
푹 우 우 푹"
이 노랠 빌려서 (Feat. 이로울 & 아이린),"6,197",디셈버,"내 눈물은 우리 사랑인가요
가슴 아픈 이유도 사랑인가요
언젠가는 내게도 다시 사랑이 올까요
왜 안되죠 아직도 그대만
내 눈물은 우리 사랑인가요
가슴 아픈 이유도 사랑인가요
언젠가는 내게도 다시 사랑이 올까요
왜 안되죠 아직도 그대만
내 사랑인가요
그대는 어때요
난아직 너무 아픈데
니가 생각나면 아무일도 못하는데
가슴이 저려서
아직도 내눈에 보여서
또 그리워서 울고만 있는데
넌 지금 다른 사랑하고 있을까
내곁에서 넌 행복했을까
내 눈물은 우리 사랑인가요
가슴 아픈 이유도 사랑인가요
언젠가는 내게도 다시 사랑이 올까요
왜 안되죠 아직도 그대만
내 사랑인가요
아픈건 어때요 바람이 차갑던데
그대 손을 데워줄 사람은 생겼나요
내 손이 제일 따듯하긴 했을까
쓸데없는 걱정만 하네요
내 눈물은 우리 사랑인가요
가슴 아픈 이유도 사랑인가요
언젠가는 내게도 다른 사랑이 올까요
왜 안되죠 아직도 그대만
내 사랑인가요
내 맘속에 언제나 그대가 제일
먼저라 다른 사랑 못하잖아
내 사랑을 저버리지는 말아요
널 붙잡을 방법이 난
이것밖에 없어서
내 마음을 대신해 말할께
제발 나를 떠나가지 말아요
내 사랑을 저버리지는 말아요
널 붙잡을 방법이 난
이것밖에 없어서
내 마음을 대신해 말할께
이 노랠 빌려서"
Floral Sense (Feat. 윈터 of aespa),"2,139",예성 (YESUNG),"하루가 갈 때
네 생각이 나면
사람들은 알까
모든 게 아름다워지네
언젠가 우리가
만났던 그때에
향기가 참 좋아서
코 끝을 맴도네
If I were a flower,
You'd be the sunshine
on a sunny day for me
Then I'd only be looking at you
My floral senses are directed at you
하루가 갈 때
네 생각이 나서
난 웃음이 차올라
널 떠올리는 게
난 참 좋아 Uh
언젠가 우리가
만났던 그때의
그 시간이 참 좋아서
파도처럼 밀려와
Life is always like a domino,
and everything collapses
when someone touches it
Then let's hold each other
so that we don't fall
If I were a flower,
You'd be the sunshine
on a sunny day for me
Then I'd only be looking at you
If I could be flower,
I'll grow up with your heart
My floral senses are directed at you
My senses are directed at you"
은하수,"12,715",길구봉구,"내 안에 단 한 사람이 있다면
내 모든 걸 다 주고 싶은 사람
오직 너뿐인 걸 이렇게 쉽게 말해도
어딜 가도 너만이 보여
천천히 걸어와요 너를 바라보면
아무 말 안 해도 두 눈이 내게
수많은 얘기를 해줘
반짝이는 저 은하수 너머로
한없이 아름다운 그대가 보여요
푸른 밤바다 보다 별빛 보다
그보다 빛나는 너를
나 어떻게 사랑하지 않을 수 있을까
나 어느새 널 닮아가는 걸까
너의 표정 그 아이처럼 웃는
매일이 새로워 다가올 날들이 기뻐
깜깜한 밤 빛을 켜준
넌 수많은 얘기를 해줘
반짝이는 저 은하수 너머로
한없이 아름다운 그대가 보여요
푸른 밤바다 보다 별빛 보다
그보다 빛나는 너를
나 어떻게 사랑하지 않을 수 있을까
내가 받은 사랑 중에
넌 과분한 선물 같았어
이렇게 소중한 너만을
영원히 지켜줄게
반짝이는 저 은하수 너머로
한없이 아름다운 그대가 보여요
푸른 밤바다 보다 별빛 보다
그보다 빛나는 너를
나 어떻게 사랑하지 않을 수 있을까"
어김없이 이 거리에,"24,136",정승환,"다 기억해 그 모든 걸
이맘때 우릴 감싸던 공기
막 차가워지던 바람
네 손을 잡았을 때의 온도
어색했던 첫인사를 나누던 날
어느새 너처럼 웃던 나
있지 돌아보면 모든 날이 좋았어
그저 너란 이유로
두 손 모아 불어 보던
입김에도 따스했었지
어김없이 이 거리에 겨울
꼭 함께 보고 싶다고
오로라 얘길 해주던 그 밤
난 그런 생각을 했어
내가 너의 곁이 되어야지
어제보다 오늘이 더 설레는
그런 사랑이 되고 싶어
다시 네가 좋아하는 그 계절이야
우리 처음 만났던
길 건너에 네가 보여
나는 항상 그게 꿈같아
어김없이 이 거리에 우리
약속처럼 기다리는 일
그 자리에 있어주는 일
내가 너의 그런 사람
그런 곳이 되고파
나의 따스함이 너이듯
다시 네가 좋아하는 그 계절이야
반가운 첫눈처럼
길 건너에 네가 있어
나는 항상 그게 꿈같아
달려가 널 안아야지
어김없이 이 거리에
잘 부탁해 우리의 겨울"
넌 너무 야해 (Feat. 긱스) (The Way You Make Me Melt),"29,043",씨스타,"수많은 촛불에 둘러 쌓인 밤
내 약지를 감싸며 그가 하는 말
사랑해 결혼해 주겠니
얼굴이 빨개지고
넌 밤에 뜬 태양
한 마디로 야해
걸을 때 마다 흩날리는 매력
너만의 것이 아니라 나의 것도
되길 그래서 오늘
내가 나이값 좀 했지
물론 촛불은 필수
cuz you already
burn me up grandline rappin u
gon have to turn it up
오늘의 감독은 나 후의 감동은
너의 것 감탄만 하지 말고
너를 보여줘
넌 너무 야해 내 볼이 빨개
어쩜 눈 코 입도 과감하게 섹시해
못 말리게 생긴 넌 매력쟁이야
난 녹아 버릴 것 같아
babe
넌 너무 야해 정말로 섹시해
너에게 푹 빠져 버린 난 어떡해
못 말리게 생긴 넌 매력쟁이야
난 녹아 버릴 것 같아 너만 보면
종이로 접은 장미 꽃을 들고
내 두손에 건네며 속삭이던 말
사랑해 난 너뿐이야
이 꽃이 시들때까지
가끔 넌 너무 야해
그런 널 볼때면 난 불안해
옷으로 너를 가려도
잘 안가려져서 너를 안아야 돼
너도 알겠지 내가 이미
너의 매력안에 퐁당 빠진 뒤
누가 뭐래도 네가 무엇을 입던
내겐 너무 야해 너의 옷 차림이
넌 너무 야해 내 볼이 빨개
어쩜 눈 코 입도 과감하게 섹시해
못 말리게 생긴 넌 매력쟁이야
난 녹아 버릴 것 같아
babe
넌 너무 야해 정말로 섹시해
너에게 푹 빠져 버린 난 어떡해
못 말리게 생긴 넌 매력쟁이야
난 녹아 버릴 것 같아
네 잠꼬대마저 난 좋은걸
그대 숨소리마저 난 좋은걸
우린 어쩌면 우린 어쩌면
오오오오
하늘이 맺어준 건가 봐
넌 너무 야해 내 볼이 빨개
어쩜 눈 코 입도 과감하게 섹시해
못 말리게 생긴 넌 매력쟁이야
난 녹아 버릴 것 같아
넌 너무 야해 정말로 섹시해
너에게 푹 빠져 버린 난 어떡해
못 말리게 생긴 넌 매력쟁이야
난 녹아 버릴 것 같아"
