Title,Likes,Singer,Lyrics
한 걸음 (Day by day),"2,779",VIVIZ (비비지),"Woo ah Woo ah ah ah

하루하루가 이어진 수많은 선택지
시간 틈에 Running Umm
답을 알 수 없는 Option 맘이 가는 대로
머뭇대지 않고 One more

난 지금 할 수 있는 걸 하면 돼 I'll do my best

All the way 길을 헤맬 때 Walking day by day
믿을래 My choice
무얼 골라도 나의 선택에 만나게 될 Good luck
Take it day by day 결국 내일에 닿게 될 거란 걸
이 순간이 소중해져 It’s now or never

이유 없는 순간들은 없어 다 내겐 오답 노트가 돼
All that time True Other view
한발 앞선 Expectation 다를 걸 알면서
늘 그렇듯 Getting over

내 맘이 끌리는 곳에 가볼래 I know the best

All the way 길을 헤맬 때 Walking day by day
믿을래 My choice
무얼 골라도 나의 선택에 만나게 될 Good luck
Take it day by day 결국 내일에 닿게 될 거란 걸
이 순간이 소중해져 It’s now or never

Woo ah Woo ah ah
I’m so luck luck lucky enough Make it up up up to me girl
Woo ah Woo ah ah
매 순간이 소중해져 Now or never
Woo ah Woo ah ah ah
Everything’s gonna be alright So come closer yeah
Always find the way trust me
Hah yeah hah baby

이제 선명해져 끝내 마주할 나의 Best of time all mine
의심하지 마 이대로 So fine

길을 헤맬 때 Walking day by day 믿을래 My choice
무얼 골라도 나의 선택에 만나게 될 Good luck
Take it day by day 결국 내일에 닿게 될 거란 걸
이 순간이 소중해져 It’s now or never"
보통여자,"5,963",린,"잊은 거니 정말 다 잊은거니
난 모든게 그대론데
아직도 널 찾아 헤매이는데
어디에 있는거니 대답해줘
한번만 더 나를 꼭 안아줘
너만 사랑해 눈이 멀어버려 볼 수 없는데
이제는 끝나버린 이야기로
덮어두긴 너무도 아파 이러는가봐
너를 못 잊고 찾고 있나봐
지운거니 정말 다 지운거니
우린 아직 못해본게
너무 많아 견딜 수 없는데
그 많은 약속들은 어떡하니
한번만 더 내게 기회를 줘
우리 사랑을 어떻게 버리니
난 안되는데 내게는 널 추억할 사진 한 장
없다는게 너무도 아파 이러는가봐
너를 못 잊고 찾고 있나봐
그래 어쩔 수 없는가봐 나도 보통 여자 인가봐
이별에 담담할 수 있을거라 살아왔는데
아닌가봐 너를 눈물로 붙잡고 싶어
되돌려줘 내 사랑을 너 없이는 살 수가 없는데
어떡하라고 난 어떡하라고
내게 이러니 이제는 끝나버린 이야기로
덮어두긴 너무도 아파 이러는가봐
너를 못잊고 찾고 있나봐"
FNTSY (feat. Jvcki Wai),"18,169",So!YoON! (황소윤),"Oh yeah this is hyperreal
발걸음 따라온 개척지
옷 빼 입고 밟는 galaxy
난 어느 별보다도 빛나지
우리에겐 더는 아냐 fantasy
우리에겐 더는 아냐 fantasy
이 땅은 우리 거 넌 뭘 겁내
어서 내 손을 잡아 걱정마 ma sis
걱정마 ma sister
걱정마 ma sister
걱정마 ma sis oh yeah
걱정마 ma sister
걱정마 ma sister
걱정마 ma sis oh yeah
걱정마 ma sister
걱정마 ma sister
걱정은 말라구 ma sis oh yeah
걱정마 ma sister
걱정마 ma sister
걱정마 ma sis oh yeah
방금 전 배웅했어
21세기 Tough old
아무도 이해못해
내 여자만 이해하지
전진한 초침 하나
뚜렷해지는 초점
변화는 불가피해
난 절대 안 봐 눈치
김치처럼 빨간 내 핏속 없어 royalty
속이지 못해 타고난
개돼지 같은 충성심
나도 똑같애 equality를
주장하기 위해 높여줘
네모창 밖 현실 내 삶의 quality
정의를 위한 정의가 넌 진정 정의냐
이 좁아 터진 대륙은 어차피
반이 섬이야
언젠간 바다에 잠기고
우린 다른 땅으로
도약해 또 달 위로
결국 다른 행성으로
내 답은 그냥 이거
중지 펴 개썅마웨이로 shine my way
I’m on my way to
방주에 올라탄 새로운 EVE
나에겐 그건 더는 아냐 fantasy
뭐든지 변하니 없다는 말이야
영원한 가치는
내 답은 그냥 이거
중지 펴 개썅마웨이로 shine my way
I’m on my way to
방주에 올라탄 새로운 EVE
아님 내가 그 방주의
주인이 되는 거지
뭐라든지 결국에는
마지막에 살아남는 놈이 이기는 거지
알 수 없는 사람들에게 붙잡혀
이상한 소리를 내는 기계를 타고
도착한 이곳엔 눈을 뜨니 이발소
모두가 제 맘대로 머리칼을 깎고
밖으로 나가보니 세상은 데자뷰
꿈에서 본 그대로 우린 웃고 있었고
아무도 우리를 지우지 않았네
누구도 우리를 분류하지 않았네
Oh yeah this is hyperreal
발걸음 따라온 개척지
옷 빼 입고 밟는 galaxy
난 어느 별보다도 빛나지
우리에겐 더는 아냐 fantasy
우리에겐 더는 아냐 fantasy
이 땅은 우리 거 넌 뭘 겁내
어서 내 손을 잡아 걱정마 ma sis
걱정마 ma sister
걱정마 ma sister
걱정마 ma sis oh yeah
걱정마 ma sister
걱정마 ma sister
걱정마 ma sis oh yeah
걱정마 ma sister
걱정마 ma sister
걱정은 말라구 ma sis oh yeah
걱정마 ma sister
걱정마 ma sister
걱정마 ma sis oh yeah"
Syndrome,"17,615",CIKI,"I wish love you
아무도 모르지
어떻게든 너와 만나서 예쁜
거짓말은 이제 아닐 거야
부디 내게 있어줄래 이대로
있잖아 이게 다 꿈이었음 해
내일 아침에도 일어나
둘이 마시던 차와
나긋한 목소리가 울려 괜찮다고
Ocean 우리 마지막으로 본 영화
Pink Paint 들고 있던 Betty
보다 네가 더 죽일 듯
아름다워 그니까
이제는 날 지겹다고 말해
아무래도 괜찮다고 말해
언제부터 그랬냐고 물을 때
네 표정엔 쓴웃음만이 가득해
내 슬픔을 견딜 수가 없어요
외로워서 죽을 것만 같아요
어쩌다 다른 사랑을 해도 널
영원히 잊을 수가 없어요
날 죽일 것만 같은 네게 병이 돼
주변에선 외면하고 다른 얘길 해
I know 이제는 없지
어딜 가도 목소리만 들려와 맞지
이젠 네가 날 데리러 와줘
아무 말도 없이 날 세게 안아줘
지금은 오직 널 만나고 싶어
태어나길 잘했다고 말할 수 있게
I was thinking you are
If I could live without you
너 없이 내가 뭘 해 아무것도 못해
이제 나도 견딜 수 없어
그때는 네가 기다리는 거야
너와 내가 만날 수 있도록
Always stay always stay
Did you die for me"
Sweet Girl,"3,003",노지훈,"내가 다가갈게 조금 천천히 갈게
네가 놀라지 않을 만큼
하늘에서 내린 천사 같은 Lady
내게 다가와
수많은 예쁜 사람들 그 속에서도
너 뿐인 걸 난 너인 걸
넌 그냥 웃어주면 돼
Girl 사랑스러운 나의 Girl
아름다운 나의 넌
나만 믿어주면 돼 My lady
내가 다가갈게 조금 천천히 갈게
네가 놀라지 않을 만큼
Say I love you
네게 다가가 네 맘에 똑똑똑
You're my lady my love
my sweet girl
네가 너무나 사랑스러워 난 Lady
첫눈이 오듯 녹아 버렸어
이렇게도 많은 사람들 속에서도
너 뿐인 걸 난 너인 걸
넌 그냥 웃어주면 돼
Girl 사랑스러운 나의 Girl
아름다운 나의 넌
나만 믿어주면 돼
내가 다가갈게 조금 천천히 갈게
네가 놀라지 않을 만큼
Say I love you
네게 다가가 네 맘에 똑똑똑
You're my lady my love
my sweet girl
내가 키도 크지만
너를 향한 내 맘은
그 무엇보다 더 크니까
나를 웃게 한 사람
내 전부를 주고픈 사람
왜 난 너여야만 할까
그게 너라서 바로 너라서
너란 사람은 하나 너 뿐이야
너만을 영원히 사랑해
You're my lady my love
my sweet girl
You're my lady my love
my sweet girl"
일상,"10,784",Stray Kids (스트레이 키즈),"피곤한 몸 씻고 나와서
또 재미없는 TV를 틀고
흥미 없는 뉴스는 오늘도
알 수 없는 말로 떠들어

제일 중요했던 일이 뭐였더라
하고 싶던 일이 많았는데 시간에 자꾸 쫓기느라
세상에 참 많은 곳이 있는데
맘 편히 한숨 푹 쉴 공간조차 주변엔 없더라

그저 두 발 뻗고 눕는다고
눈이 감기지 않아
눈을 질끈 감아봐도 다시
꿈이 없는 잠을 자
잠에서 깰 때마다 짧은 호흡
잠깐의 몽롱함
의미 없는 하루
그 끝엔 다시 반복 yeah

끊임없는 다툼
끝이 없는 한숨
늘어지는 하품
신경은 날카롭고 하는 말은 비수
이 모든 일에 싫증

어두운 방 안을 비집고 들어갔던 날
그 누구 한 명쯤은 나를 돌아봤을까
힘겹게 겨우 하루 보냈었던 오늘 난
몇 번 웃었나 그게 과연 진심이었을까

생각에 잠긴 내 모습은 웃겨
어린애가 걱정도 많구나
그저 할 일이나 똑바로 해
휑 한 내 맘속은 다 몰라준 채
웃어넘길 줄만 아는 그런
모습이 난 싫더라

그저 두 발 뻗고 눕는다고
눈이 감기지 않아
눈을 질끈 감아봐도 다시
꿈이 없는 잠을 자
잠에서 깰 때마다 짧은 호흡
잠깐의 몽롱함
의미 없는 하루
그 끝엔 다시 반복 yeah

다들 나 빼고 행복한 거야 그게 참 궁금해
아님 나만 아직 숨길 줄 모르는 어린애
모두 가면 속에 내면을 다 꽁꽁 숨겨서
외로움이라는 단어에 조금씩 무뎌져"
잠들고 싶어 (zZ),"25,791",백예린 (Yerin Baek),"하루 종일 재잘거렸어
이렇게라도 해야
기분이 나아질 것 같아서
나 원래 이런 애도 아니고
사람 많이 만나지도 않는데
이렇게 해야
덜 우울할 수 있을 것 같아서
의미 없는 시간들로 가득 때운 하루
빈틈 많은 내 행복을
누군가 잡아 줄 거란
생각도 안 하지만
요즘 난 아무것도 잡히질 않아
Need a break time
Need a time out
그냥 쿨쿨 잠들고 싶어
Need a break time
Wanna make time stop
그냥 쿨쿨 잠들고 싶어
미지근한 사람들로 가득 채운 하루
답답하기만 한 내 마음을
누군가 알아 줄 거란
생각도 안 하지만
요즘 난 헤매고 있는 중 인가 봐
Need a break time
Need a time out
그냥 쿨쿨 잠들고 싶어
Need a break time
Wanna make time stop
그냥 쿨쿨 잠들고 싶어
Need a break time
Need a time out
그냥 쿨쿨 잠들고 싶어
Need a break time
Wanna make time stop
그냥 쿨쿨 잠들고 싶어"
Stay Beautiful,"17,171",JAMIE (제이미),"Pretty boys 그게 뭔데
I don’t care 그게 뭔데
미안하단 말은 왜
나한텐 그게 넌데
또 왜 자꾸 불안해
난 항상 네 곁에 이렇게
Don’t let these haters come by
You better hold your head high
다른 사람들 신경쓸 필요는 없잖아
정답은 없어
We’re learning to fall
while climbing these walls
넌 그냥 이대로 옆에 있어 주면 돼
Stay beautiful now
너란 꽃
계속 피어나 내게
너의 향길 잃지 마
난 그게 좋으니까
Stay beautiful now
너의 단점도 OK
솔직함을 원해
I know that’s only for me
나도 너에게만 날
전부 들려주고 싶어 That’s right
Don’t let these haters come by
You better hold your head high
다른 사람들 신경 쓸 필요는 없잖아
정답은 없어
We’re learning to fall
while climbing these walls
넌 그냥 이대로 옆에 있어 주면 돼
Stay beautiful now
너란 꽃
계속 피어나 내게
너의 향길 잃지 마
난 그게 좋으니까
Stay beautiful now
Stay beautiful
Stay beautiful
Won’t you stay
옆에 있어 주면 돼
Stay beautiful now
너란 꽃
계속 피어나 내게
너의 향길 잃지 마
난 그게 좋으니까
Stay beautiful now"
I Wish,"4,233",다비치,"I Wish
너에게 꼭 받고 싶은 선물은 너야
I Wish
한쪽 손과 너의 하루 뭘 더 바랄까
하얀 눈 사이로 우리 두근거림
소리가 울려 퍼질 때
말하고 싶어
영원히 모든 겨울을 함께 하자고

겨울은 춥기에 작은 촛불도 따뜻해
고된 하루 끝에 너의 웃음이 감사하듯이
바람이 차기에 (음)
되려 두 손은 소중해 (음)
세상에 지칠 때 네 한마디에 이겨내듯이

얼어붙은 나의 뺨을 (뺨을)
녹여주던 너의 마음 (Huh Wuh)
너 하나만으로 다 가진 거니까

I Wish
너에게 꼭 받고 싶은 선물은 너야
I Wish
한쪽 손과 너의 하루 뭘 더 바랄까
하얀 눈 사이로 우리 두근거림
소리가 울려 퍼질 때
말하고 싶어
영원히 모든 겨울을 함께 하자고

따스한 입김은 고민들마저 재우네
포근한 미소에 상처들마저 꾸벅이네
괜찮아 괜찮아 올 한 해를 배웅해
한 조각 케잌과 초 깊은 한숨을 앗아가네

네가 너무 많이 좋아 소복이 쌓이는 소망
너 하나만으로 다 가진 거니까 Woo Wuh


I Wish
너에게 꼭 받고 싶은 선물은 너야
I Wish
한쪽 손과 너의 하루 뭘 더 바랄까
하얀 눈 사이로 우리 두근거림
소리가 울려 퍼질 때
말하고 싶어
영원히 함께 하자고

소중한 널 위해서
내 맘에 묶어 둔 리본
네가 풀어주면 좋겠어
이 비밀의 매듭을
Rum Pum Pum Pum
Rum Pum Pum Pum

I Wish (Hoo Woo Woo Woo)
너에게 꼭 받고 싶은 선물은 너야
I Wish
한쪽 손과 너의 하루 뭘 더 바랄까 (Huh Wuh)
하얀 눈 사이로 우리 두근거림
소리가 울려 퍼질 때
말하고 싶어 (싶어)
영원히 모든 겨울을 너와"
SCOPE,"4,441",김뮤지엄 (KIMMUSEUM),"너만 보이듯
사라지는 건 쉽기도
여태 가려진
배경들에 치여 살기로
우린 때로 어떤 것을 쫓아가기도
같이 가기로 했던 섬의 이름 XX도
너를 지켜내겠다던 다리
번개 따윈 겁이 나지 않지
마치 달려가는 모습 뭔가
여태 봐온 것만 같아 속이 상함
뒷걸음쳐가는 모습
멀리 드러나는 배경
내가 서있던 꿈 안에
멀어지는 너가 보여
Woke up from dream 오늘도
걱정에 걱정이 늘 겹쳐서
너마저 떠나면
움켜쥐었던 향은 사라져
Woke up from dream 내일도
잘려진 감정 위 걸친 말로
나 먼저 떠나며
그려놓았던 꿈은 멀어져
결국엔 하루가 멀었던
지나온 매일의 나라서
이쯤 해둔다면
무뎌지고 또 무뎌지는
얕디얕은 잠에 들어가며
Woke up from dream 오늘도
걱정에 걱정이 늘 겹쳐서
너마저 떠나면
움켜쥐었던 향은 사라져
Woke up from dream 내일도
잘려진 감정 위 걸친 말로
나 먼저 떠나며
그려놓았던 꿈은 멀어져
나에 대한 많은 말과
편식해야 했던 순간
뭔가를 얻어 가는 날과
그러지 못해 멀어지는 감각
너마저 떠나면
움켜쥐었던 향은 사라져"
