Title,Likes,Singer,Lyrics
추억의 발라드,42,장혜리,"[가사 준비중] 멜론 회원 여러분! 가사 등록을 기다리고 있어요.
가사등록하기"
5호선 여인,791,류지광,"아닐거야 아니겠지
하지만 자꾸 돌아보게 돼
그 어느날 지하철 5호선에서
우연히 마주친 여인
눈인사를 건넸지만
쓸쓸히 바라만 보다
어느 역이었나 어느 역이던가
총총히 내리면서 뒤돌아볼 때
맺힌 눈물 나는 보았네
아아아 5호선 여인
아닐거야 아니겠지
하지만 자꾸 돌아보게 돼
그 어느날 지하철 5호선에서
우연히 마주친 여인
눈인사를 건넸지만
쓸쓸히 바라만 보다
어느 역이었나 어느 역이던가
총총히 내리면서 뒤돌아볼 때
맺힌 눈물 나는 보았네
아아아 5호선 여인
맺힌 눈물 나는 보았네
아아아 5호선 여인"
백만송이 장미,155,요요미,"[가사 준비중] 멜론 회원 여러분! 가사 등록을 기다리고 있어요.
가사등록하기"
내 나이가 어때서,"3,016",장민호,"야 야 야 내 나이가 어때서
사랑에 나이가 있나요
마음은 하나요
느낌도 하나요
그대만이 정말 내 사랑인데
눈물이 나네요
내 나이가 어때서
사랑하기 딱 좋은 나인데
어느 날 우연히 거울 속에 비춰진
내 모습을 바라보면서
세월아 비켜라
내 나이가 어때서
사랑하기 딱 좋은 나인데
야 야 야 내 나이가 어때서
사랑에 나이가 있나요
마음은 하나요
느낌도 하나요
그대만이 정말 내 사랑인데
눈물이 나네요
내 나이가 어때서
사랑하기 딱 좋은 나인데
어느 날 우연히 거울 속에 비춰진
내 모습을 바라보면서
세월아 비켜라
내 나이가 어때서
사랑하기 딱 좋은 나인데
사랑하기 딱 좋은 나인데"
물레야,"4,956",이찬원,"한밤이 지났느냐
돌아라 물레야
홀로타는 등불마저
쓸쓸한 밤을
너 아니면 나는 어떡해
하루이틀 기다린 님이
달이가고 해가가도
물레만 도네
기다려도 오지않는
무심한 님이시여
돌아가는 물레야
한밤이 지났느냐
돌아라 물레야
홀로타는 등불마저
쓸쓸한 밤을
너 아니면 나는 어떡해
하루이틀 기다린 님이
달이가고 해가가도
물레만 도네
기다려도 오지않는
무심한 님이시여
돌아가는 물레야"
오늘밤에,"18,217",임영웅,"오늘 밤에 아무도 모르게
너랑 둘이서 둘이서 사랑을 할거야
오늘 밤에 아무도 모르게
뚜뚜 뚜루 뚜뚜 뚜두르
이 밤이 무서워 난 네가 없으면
내 곁에 좀 더 머물러요
리듬 속 너와 내가 춤을 출 때면
그 순간이 행복할거야
Baby 너랑 나랑
우리 둘이 영원하도록
사랑의 맹세를 난 약속할거야
오늘 밤에 아무도 모르게
너랑 둘이서 둘이서 사랑을 할거야
오늘 밤에 아무도 모르게
둘이서 하는 불장난
후우 후우 후우
뚜뚜 뚜루 뚜뚜 뚜두르
사랑이 뭐냐고 물어보신다면
나의 대답은 말해 뭐해
불타는 마음으로 지켜줄거야
당신만이 곁에 있다면
Baby 너랑 나랑
우리 둘이 영원하도록
사랑의 맹세를 난 약속할거야
오늘 밤에 아무도 모르게
너랑 둘이서 둘이서 사랑을 할거야
오늘 밤에 아무도 모르게
뚜뚜 뚜루 뚜뚜 뚜두르
꿈이라면 깨지 않게 해줘
떠나가지마 가지마 가지마 가지마
오늘 밤에 아무도 모르게
둘이서 하는 불장난
후우 후우 후우
뚜뚜 뚜루 뚜뚜 뚜두르"
연하의 남자,"7,057",영탁,"나는 나는 연하의 남자
부를 때 누나라고
누나라고 말하지만
내 맘은 설레이고 있어요
처음 본 순간부터
내 마음을 뺏겼어요
내 영혼을 흔들었어요
이제부턴 동생 아닌
남자로 봐주세요
당신을 사랑합니다
내 사랑을 받아주세요
조건없이 다 드릴께요
당신에게 빠져버린
당신에게 빠져버린
나는 나는 연하의 남자
나는 나는 연하의 남자
부를 때 누나라고
누나라고 말하지만
내 맘은 설레이고 있어요
처음 본 순간부터
내 마음을 뺏겼어요
내 영혼을 흔들었어요
이제부턴 동생 아닌
남자로 봐주세요
당신을 사랑합니다
내 사랑을 믿어주세요
행복하게 해 드릴께요
당신에게 빠져버린
당신에게 빠져버린
나는 나는 연하의 남자
당신에게 빠져버린
당신에게 빠져버린
나는 나는 연하의 남자
연하의 남자"
아가야 (哀夢),306,송민경,"많이 바쁘신가요
어제 꿈에서도 찾았는데
눈물이 앞을 가려서
차마 움직일 수 없었죠
아가야 우리 아가야
귓가에 맴돈 소리
아가야 우리 아가야
보이지가 않아요
차마 돌아갈수없는 것은
손끝이라도 닿을까
그리움 별빛에 새기고
나는 돌아갑니다
루루루 루루루
루루루루 루루루
아가야 우리 아가야
귓가에 맴돈 소리
아가야 우리 아가야
보이지가 않아요
차마 돌아갈수없는 것은
손끝이라도 닿을까
그리움 별빛에 새기고
나는 돌아갑니다
그리움 가슴에 새기고
나는 돌아갑니다
루루루 루루루
루루루루 루루루"
당신은 누구십니까,45,서미주,"시도때도 없이 사랑하더니
아무렇지 않게 떠나가네요
마음대로 왔다 마음대로
가는 당신은 누구십니까
애처로워 바라보나요
마지막 인사를 준비하나요
모르는척 눈감아봐도
가슴이 먼저 압니다
행복하여 난 몰랐습니다
당신마음 시들어 버렸다는걸
장미가시같은 아찔한
사랑 향기에 취했었네요
행복하여 난 몰랐습니다
흐르는 눈물은 내꺼 아니죠
아지랑이 같은 사라지는 사랑
다 필요없어요
애처로워 바라보나요
마지막 인사를 준비하나요
모르는척 눈감아봐도
가슴이 먼저 압니다
행복하여 난 몰랐습니다
당신마음 시들어 버렸다는걸
장미가시같은 아찔한
사랑 향기에 취했었네요
행복하여 난 몰랐습니다
흐르는 눈물은 내꺼 아니죠
아지랑이 같은 사라지는
사랑 다 필요없어요
아지랑이 같은 사라지는
당신은 누구십니까"
걷다 보면,987,남승민,"창틈 새로 속삭이는
살랑살랑 바람 소리
잠든 나를 깨우며
내 마음 흩뜨려 놓네
저 하늘 위로 떠가는 구름
나도 똑같은 걸
정처 없이 사라져도
잡지 못할 뿐인 걸
한발 두발 걷다 보면
내 시간의 저 끝인데
어느새 지나버린 세월 뒤로 한 채
한 번 두 번 넘어져도
내 심장은 더 뛰는데
먼 훗날 후회 없이 웃을 수 있게
시작조차 아득했던
길고 또 긴 내 여행길
품어 왔던 내 꿈들 언제쯤 이뤄지나
저 언덕 너머 희미한 연기
나도 똑같은 걸
소리 없이 사라져도
잡지 못할 뿐인 걸
한발 두발 걷다 보면
내 시간의 저 끝인데
어느새 지나버린 세월 뒤로 한 채
한 번 두 번 넘어져도
내 심장은 더 뛰는데
먼 훗날 후회 없이 웃을 수 있게
이젠 멈출 수 없는데
돌아갈 수도 없는데
아직 까마득한 저 외길이
펼쳐져 있는 걸
나에게
한발 두발 걷다 보면
내 시간의 저 끝인데
어느새 지나버린 세월 뒤로 한 채
한 번 두 번 넘어져도
내 심장은 더 뛰는데
먼 훗날 후회 없이 웃을 수 있게"
