Title,Likes,Singer,Lyrics
널 사랑하겠어,"1,564",이지형,"내 뜨거운 입술이 너의
부드러운 입술에 닿길 원해
내 사랑이 너의
가슴에 전해지도록
아직도 나의 마음을
모르고 있었다면은
이 세상 그 누구보다
널 사랑하겠어
널 사랑하겠어 언제까지나
널 사랑하겠어
지금 이 순간처럼
이 세상 그 누구보다
널 사랑하겠어
어려운 얘기로 너의
호기심을 자극할 수도 있어
그 흔한 유희로 이 밤을
보낼 수도 있어
하지만 나의 마음을
이제는 알아줬으면 해
이 세상 그 누구보다
널 사랑하겠어
널 사랑하겠어 언제까지나
널 사랑하겠어
지금 이 순간처럼
이 세상 그 누구보다
널 사랑하겠어
널 사랑하겠어 언제까지나
널 사랑하겠어
지금 이 순간처럼
이 세상 그 누구보다
널 사랑하겠어
널 사랑하겠어 언제까지나
널 사랑하겠어
지금 이 순간처럼
이 세상 그 누구보다
이 세상 그 누구보다
이 세상 그 누구보다
널 사랑하겠어
사랑하겠어
사랑하겠어
사랑하겠어 사랑하겠어
널 사랑하겠어"
나야,"3,624",최유리,"나의 짝을 이룰게
변하지 않을 나와 같은
내 마음이 가장 솔직해
널 흘려보내지 않게
나의 짝이 돼줄래
아픈 말과 잠에 들곤 해
그래도 금세 날 토닥이며
괜찮아질 수 있어
아 언제인지
내가 날 놓았을 때
쓰러져 있지 않게
아 누구인지
대체 넌 누구였나
버거운 눈치를 하나둘 셋 또
누구도 날 홀리지 못해
나는 내 마음에 소홀해
누구와도 잘 맞고 싶어
그랬나 봐 지금도 그렇고
나는 내 아픈 날에 살아
나는 내 마음에 인색해
우리와도 잘 맞고 싶어서
그랬나 봐 날 좀 안아줘
아 언제인지
내가 날 놓았을 때
쓰러져 있지 않게
아 누구인지
대체 넌 누구였나
버거운 눈치를 하나둘 셋 또
누구도 날 홀리지 못해
나는 내 마음에 소홀해
누구와도 잘 맞고 싶어
그랬나 봐 지금도 그렇고
나는 내 아픈 날에 살아
나는 내 마음에 인색해
우리와도 잘 맞고 싶어서
그랬나 봐 날 좀 안아줘
여전히 아픈 날에 살아
누구도 나와 함께 지내긴
어려움 한참이지만
그래도 나와 있어 주면 돼
살자 그래 못난 날
이렇게 또 사랑이
번져온 나의 핑계들로 가득해질
우리 사이가
조금 겁이 나지만
그래도 나는 우리야"
응원가,"17,165",어쿠스틱 콜라보,"그대여 쉽지않은 하루였죠
마음먹은일 하나도 되지않는
힘든 하루였죠
그대의 그런마음 알아요
그대여 너무 바쁜 하루였죠
마음편히 커피한잔 할
여유도 없는
하루였죠
그대의 그런마음 이해해요
꿈꾸던 세상과
많이 다른 현실에
많이 실망하고 점점 지쳐가지만
그래도 언젠가
이루어질 그대의 세상
내가 그대를 항상 응원할게요
그대여 정말 바쁜 하루였죠
정신없이 이리저리
치이기만 했던 하루였죠
그대의 그런마음 이해해요
꿈꾸던 세상과
많이 다른 현실에
많이 실망하고 점점 지쳐가지만
그래도 언젠가 이루어질
그대의 세상
내가 그대를 항상 응원할게요
내가 그대를 항상 응원할게요
내가 그대를 항상 응원할게요"
그때는 맞고 지금은 틀리다고,"3,064",문문 (MoonMoon),"작은 감기도 내가 들면 유난이라고
하나라도 더 껴입으라고
커피 같은 게 내게 가장 독약이라고
대신 코코아 타주겠다고
이런 날씨는 제발 먼저 꽉 안아달라고
계절감 한 번 제대로 느끼게 해달라고
니가 떠줬던 목도린 보풀 만 남았어
음음음
라라라라라 기침은 늘었고
라라라라라 술도 좀 늘었어
나쁜 건 몸에 바짝 달고 사는데
좋은 사람만 먼저 떠난다
모자란 놈에게는 항상 답이 없었어
모자란 공백 그래 그게 답이었나 봐
니가 타줬던 코코아 거품만 남았어
음음음
라라라라라 기쁨은 줄었고
라라라라라 잠도 좀 줄었어
모든 건 서둘러서 말라가는데
좋은 사람만 오래 걸린다
어디까지가 바닥인지 물어보길래
제목 하날 뒤집어 주었어
그땐 맞고 지금은 틀리다고"
편지,"6,993",백아,"그대 한참을 헤매요
안녕이란 말에 담을게 많아서
그대여 나 들떠버리면
고백을 해버릴까
마음을 눌러봐요
예쁘게 말려놓은
꽃 갈피에 끼우고
붉게 물들은 내 마음
향기에 전하면
품어둔 꽃이 피는
계절의 내음 따라
어떤 구름을 타고
내 마음 가네요
우
못다 핀 내 맘의
이유가 되어
피어나서야 안
이른 아름다움에
마음이 아파요
그대 나는 선을 그었죠
이유 없이는 나도 없는 것 같아서
그대여 이 평행선들에
내 오랜 꿈들에
눈물이 나요
우
못다 핀 내 맘의
이유가 되어
피어나서야 안
이른 아름다움에
마음이 아파요
우
머나먼 당신은 아름다워서
조용히 스며드는
그댈 놓지 못하고
마음을 앓아요
언젠간 그대도 내게 잊혀지기를
그대 한참을 헤매다
안녕이란 말에
눈물이 나요"
Our Story,503,박창근,"Think what you've done yesterday
Think what you'll do tomorrow
It is rainy, recalls all the past
um~~

Think what you've done yesterday
Think what you've eaten all
You feel dizzy, annoying, and nothing
um~~

Freezing walls of fear stand in my poor way
Just like garbages in Galaxy wandering the space
um~~
Nowhere to work oh~
Nothing to make money no no no~
You would be better to pick up dirty~
the old masks throwaway
um~

Think what you've done yesterday
Things what you've thrown away
oh~ tears again and again
clouds and shadow, window

Freezing walls of fear stand in my poor way
Just like garbages in Galaxy wandering the space
um~~
Nowhere to work oh~
Nothing to make money no no no~
You would be better to pick up dirty~
the old masks throwaway
um~
what the hell the mask? the dirty masks?
your dirty mask, my dirty mask
um~~"
보통의 고백,"1,459",크르르,"말해도 넌 모를 거야 얼마나 널 사랑하는지
짐작도 못하겠지
만약 우리 다른 날과 다른 곳에서 만났대도
서로를 알아봤을까

늦은 밤 침대 맡 별것 아닌 흔한 이야기
매일 난 너랑 노는 게 좋아 질리지도 않아
어떻게 해야 내 감정을 모두 네게 전할 수 있겠어

내 가장 빛나던 모든 시간을 돌아봐도
너랑 있는 지금이 제일 소중한 거야
파도가 멈추고 태양은 빛을 잃더라도
난 영원히 변치 않아 나의 나의 사랑은 나의 사랑은

바다보다 넓을 거야 하늘만큼 우주보다 더
좀 유치하긴 해도
네가 나의 꿈인 거야 이루고픈 모든 것들이
다 널 위한 걸 알까

늦은 밤 침대 맡 별것 아닌 흔한 이야기
매일 난 너랑 노는 게 좋아 질리지도 않아
어떻게 해야 내 감정을 모두 네게 전할 수 있겠어

내 가장 빛나던 모든 시간을 돌아봐도
너랑 있는 지금이 제일 소중한 거야
파도가 멈추고 태양은 빛을 잃더라도
난 영원히 변치 않아 내 마음이 그런 거야
널 위해 주고 싶은 나의 나의 사랑은 나의 사랑은 나의 사랑은 나의 사랑은"
Slainte!,"3,611",이무진,"아직
남아있지 맘속에 한 청년이
꿈틀거려 자유를 갈망하는지
넌 뭘 그토록 원하고 또 바랬니
마치
무지개 같아 이곳을 바라보면
리스너로서 음악을 들어보면
이렇게까지나 행복할 수 있었다니
Oh 날 비춰봐 줘
따사로운 햇살과 함께라면
난 주인공이야
날 봐 자유롭잖아
몰라
자꾸 기억나
처음 만났지만
익숙해 이 거리가
잔을 높이 슬란챠
이제야 생각나
쉬는 날 만날
친구가 있었던가
꽃은 피었나
플레이리스트
꺼내지마 폰 거리가 음악이지
빼둬 두 귀 이어폰
여기는 Grafton Street
그저 걸어가기만 하면
Surround Music
아이
그래 어린아이란 말이 가장 어울려
아기싱어에게서 봤던 순수함이 있어
함께해줘 함께라면
No problem, Paul
온 맘 다 맡겨다
불어오는 바람이
날 데려간다면
난 이제 두렵지 않아
몰라
자꾸 기억나
처음 만났지만
익숙해 이 거리가
잔을 높이 슬란챠
이제야 생각나
쉬는 날 만날
친구가 있었던가
몰라
자꾸 기억나
처음 만났지만
익숙해 이 거리가
잔을 높이 슬란챠
이제야 생각나
쉬는 날 만날
친구가 있었던가
가자
어디든 괜찮아
내 충동의 소향이
내가 갈 곳이야
잔을 높이 슬란챠
이제야 생각나
쉬는 날 만날
친구가 있었던가
꽃은 피었나"
볕,"5,690",김현창,"우리 같이 마주 보다
꿈을 말했던
네가 없는 내 방에는
볕도 들지 않네요
내 안에 잠든 바다야
난 너를 사랑해
머릴 쓰다듬는 손길은
언제부턴가 더 미워요
우리 머물던 자리엔
물이 고여요 밟지 말아요
짓다 말았던 표정엔
눅눅함이 오래
오래 머물러요
우리 같이 마주 보다
꿈을 말했던
네가 없는 내 방에는
볕도 들지 않네요
그림자를 이어서
함께일 수 있다면
난 놓지 않을래요
겨울엔 목이 말라
마른침을 삼켜도
우리 손은 따듯할 거예요
뒤척이는 숨소리를
듣다 잠들던
네가 없는 내방에는
볕도 들지 않네요"
소확행,"19,858",스탠딩 에그,"알람이 울리고도
한참이 지나도록 늦잠을 잤을 때
또 지각일까
걱정을 했지만 주말일 때
잡힌 약속도 없고
딱히 할 일도 없어 버스를 탔을 때
내 옆자리에 앉게 된 사람이
바로 너였을 때
행복한걸 행복한 걸
어제와 똑같은 하루지만
오늘 하루가 왠지
조금 행복하게 느껴지는 건
because of you because of you
이런 내 맘을 모르겠지만
잠깐이라도 잔잔하게
미소 짓게 만드는 순간
그건 너 때문인 걸
평소 안 쓰던 일기를 다 쓰네
널 생각하며
잘 안 치던 기타를 다치네
평소랑 다른 시간 생각도 못했지만
너와 마주칠 때
많은 사람들 속에서
우리만 서로 느껴질 때
행복한걸 행복한 걸
어제와 똑같은 하루지만
오늘 하루가 왠지
조금 행복하게 느껴지는 건
because of you because of you
이런 내 맘을 모르겠지만
잠깐이라도 잔잔하게
미소 짓게 만드는 순간
그건 너 때문인 걸
행복한걸 행복한 걸
너의 얼굴을 떠올릴 때면
내일 하루가
오늘보다 행복해질 것만 같은 걸
Only for you baby only for you
이런 내 맘을 모르겠지만
잠깐이라도
잔잔하게 미소 짓게 만드는 순간
너에게 주고 싶어
다시 불을 켜
자꾸만 가슴이 두근거려서
손 글씨를 연습해
몇 번씩 네 이름을 써
네 이름을 화분에 붙일게
물을 줄 때면
곧 사랑이 시작될 것 같애"
