Title,Likes,Singer,Lyrics
행복한 꿈을 꾸길 바래,249,Kid Wine,"쉽게 지친 하루
네 생각이 나는
어두운 밤이 또 오겠죠
스쳐 지나는 사랑
더 무뎌지는 만남
그리워한 채로 그대로 두겠죠

사랑이라는
사랑이란 건
왜 지워지지는
않는 건가요

아픈 시간들이 전부 다
지나고 나면
그땐
행복한 꿈을 꾸길 바래

사랑이라는
사랑이란 건
왜 지워지지는
않는 건가요

아픈 시간들이 전부 다
지나고 나면
그땐
행복한 꿈을 꾸길 바래

사랑이라는
사랑이란 건
왜 지워지지는
않는 건가요

아픈 시간들이 전부 다
지나고 나면
그땐
행복한 꿈을 꾸길 바래"
사랑은 너와 별을 보는 것,"7,824",디셈버,"사랑은 너와 별을 보는것
사랑은 너와 손을 잡고 걷는것
이젠 말할게 너에게
사랑해 세상 그 누구보다
네 마음에 슬픈 비가오면
내가 지붕이 되줄게
세찬 바람 불어도
지켜줄 그런 한사람이 되어줄게
지난 과거에 지쳤던
나의 손을 잡아줬던
너에게 모든걸 걸게
너만 있으면 돼
사랑은 너와 별을 보는것
사랑은 너와 손을 잡고 걷는것
이젠 말할게 너에게
사랑해 세상 그 누구보다
네 생일엔 촛불 하날 켜고
축하해 너를 사랑해
밤하늘의 빛나는 별처럼
내 가슴에 빛나는 한사람
오랜 세월이 지나도
나의 발걸음 맞춰줄
네가 있어서 행복해
우린 둘이니까
사랑은 너와 별을 보는것
사랑은 너와 손을 잡고 걷는것
이젠 말할게 너에게
사랑해 세상 그 누구보다
어제보다 더 많이 오늘은 더 사랑하도록
너의 그림자가 되어줄게
난 너이니까 you're my love
둘이어서 너무 행복해
너의 그 손을 잡을게
다시는 놓지않게
약속할게 (i wanna love)
나의 곁에 영원히 있어줘
너에게 마지막 사람이길
너에게 마지막 운명이길"
나를 잊지 말아요,"13,442",허각,"사랑이란 멀리 있는 것
눈에 보이면 가슴 아파
눈물이 나죠
그래서 널 떠나요
사랑을 사랑하려고
안녕 안녕 안녕
나를 잊지 말아요 일 초를 살아도
그대 사랑하는 마음 하나 뿐이예요
그 하나를 위해서
슬픈 눈물 숨기고 떠나가는
나를 기억해주세요
나를 잊지 말아주세요
사랑한다는 한마디도
못하고 가는 혼자 했던 사랑이
떠날 땐 편한 것 같아
안녕 안녕 안녕
제발 잊지 말아요 천 년을 살아도
그대 사랑하는 마음뿐인 바보였죠
그대 핸드폰이 난 너무 부럽습니다
지금도 니 옆에 같이 있잖아요
혹시 이 세상에서
그댈 사랑한 사람이 한 사람 뿐이면
그건 나라는 걸 나라는 걸 기억해
나를 잊지 말아요 일 초를 살아도
그대 사랑하는 마음 하나 뿐이 예요
그 하나를 위해서
슬픈 눈물 숨기고 떠나가는
나를 잊지 말아줘요
제발 잊지 말아요 천년을 살아도
그대 사랑하는 마음뿐인 바보였죠
그대 핸드폰이 난 너무 부럽습니다
지금도 니 옆에 같이 있잖아요
나를 잊지 말아요"
U & I (With Crush & 빈지노),"62,948",토이,"you know 너 땜에 자꾸
난 전화길 못 놔
니가 올린 음식 사진도
네 친구들 댓글에
내 마음 두근 대
내가 생각해도 내가 웃겨
너의 하루가 다 궁금해
난 네가 정말 좋은가 봐
you know 니 SNS
업데이트될 때 내 입가엔
oh no
제일 먼저 내가 좋아요
누르곤 해
뭐 하는 건지 참
내가 생각해도 내가 웃겨
너의 모든 게 다 궁금해
난 네가 정말 좋은가 봐
잠이 오질 않아
니가 숨 쉬는 방은 어떤 모습일까
무슨 꿈 꿀까
나처럼 너도 내 생각하고 있는 건
아닐까
혹시 아닐까
너를 안아 줄래
네게 입 맞출래
내 품에 담을래
you and me
수많은 사람
살아가는 이 세상 속에서
that just you
너를 만난 건 믿지 못할 놀라운 기적
love you
영원히 함께 U and I
Things I wanna do with you' list
첫 번째는 아무 이유 없이
너에게 전화를 거는 거
두 번째도 아무 이유 없이
너의 이름 대신
특별한 별명을 붙여 부르고 싶어
세 번짼 i wanna cook you
김치볶음밥
and go party with you up all night
그리고 한강을 따라 걸으며
노을이 묻은 하늘을 보면서 넋을
놓고파
그리고 난 말하고 싶어
내 눈에는 너가 더 예뻐
니가 보고 싶어
오늘 밤 지금 너는 뭘 입고 있을까
잠들었을까
나처럼 너도 썼다 지웠다 고민해
봤을까
망설였을까
너를 안아줄래 네게 입 맞출래
내 품에 담을래
you and me
수많은 사람
살아가는 이 세상 속에서
that just you
너를 만난 건
믿지 못할 놀라운 기적
you and me
불안한 내일
날 지켜준 단 한 사람 바로
that just you
그게 너란 게 벅찰 만큼
love you forever
I love you
영원히 함께
U and I
U and I"
난 좋아,"23,543",성시경,"그 동안 어떻게 지냈니
물어보진 못했지
그저 어색한 안녕
참 반가웠던 너무 짧았던
인사가 끝나고
어렴풋한 미안함을 나는 보았어
괜찮아 괜찮아 지나간 일인걸
너를 보고도 웃지 못한 이유는
원망이 아냐
괜찮아 괜찮아 다만 묻고 싶어
너에게도 나는 따뜻한 기억일까
서로가 마지막이 되길
우린 약속했지만
그저 스쳐간 인연
주고 싶은 것 주지 못한 것
마음에 남아서
넌 떠나도 난 그곳에 고여 있었지
괜찮아 괜찮아 지나간 일인걸
너를 보고도 웃지 못한 이유는
원망이 아냐
괜찮아 괜찮아 다만 묻고 싶어
나로 인해 너도 조금은 울었을까
하고 싶은 말이 너무 많은데
이미 돌아선 너를 잡을 수 없어
괜찮아 이제는 지나간 일인걸
내가 감당한 외로움만큼
네가 편해졌다면
괜찮아 괜찮아 미안해 하지마
넌 내게 언제나 고마운 기억인걸
혹시 돌아오고 싶다면 지금이라도 난"
너의 밤은 어때 (취향저격 그녀 X 정은지),"27,106",정은지,"왜 오늘따라 생각이 많은지
눈을 감아도 잠은 오지를 않고
한참을 멍하니 침대 위에 누워서
또 너를 그려보네
오늘 같은 밤엔 궁금해지곤 해
지금 너의 방도 불이 켜져 있을까
나와 같은 달을 보면서
긴 밤을 보내고 있을까
너의 밤은 어때
이렇게 잠 못 드는 밤이면
내가 줬던 꽃다발을 생각하며
한 번쯤은 날 위한
예쁜 미소를 너는 지었을까
나의 밤은 그래
이렇게 잠 못 드는 밤이면
처음 느낀 그날의 향기가 나
오늘도 네가 많이 보고 싶나 봐
유난히 긴 오늘 밤
네가 내 마음을 알아주지 않아도
괜찮을 거라 생각했는데
사실은 저 하늘에 별들처럼
항상 네 곁에 있고 싶어
너의 밤은 어때
이렇게 잠 못 드는 밤이면
내가 줬던 손 편지를 꺼내보며
한 번쯤은 날 위한
예쁜 미소를 너는 지었을까
나의 밤은 그래
이렇게 잠 못 드는 밤이면
처음 느낀 그날의 향기가 나
오늘도 네가 많이 보고 싶나 봐
유난히 긴 오늘 밤
나의 밤은 그래
이렇게 잠들지 못할 때면
자꾸만 너의 모습이 떠올라
생각보다 널 많이 좋아하나 봐
네가 보고픈 이 밤"
미소속에 비친 그대,"10,720",신승훈,"너는 장미보다
아름답진 않지만
그보다 더 진한 향기가
너는 별빛보다 환하지 않지만
그보다 더 따사로와
탁자위에 놓인
너의 사진을 보며
슬픈 목소리로 불러 보지만
아무 말도 없는 그댄
나만을 바라보며
변함없는 미소를 주네
내가 아는 사랑은
그댈 위한 나의 마음
그리고 그대의 미소
내가 아는 이별은
슬픔이라 생각했지 하지만
너무나 슬퍼
나는 울고 싶지 않아
다시 웃고 싶어졌지
그런 미소속에 비친
그대 모습 보면서
다시 울고 싶어지면
나는 그대를 생각하며
지난 추억에 빠져 있네 그대여

내가 아는 사랑은
그댈 위한 나의 마음
그리고 그대의 미소
내가 아는 이별은
슬픔이라 생각했지 하지만
너무나 슬퍼
나는 울고 싶지 않아
다시 웃고 싶어졌지
그런 미소속에 비친
그대 모습 보면서
다시 울고 싶어지면
나는 그대를 생각하며
지난 추억에 빠져 있네 그대여

울고 싶지 않아
다시 웃고 싶어졌지
그런 미소속에 비친
그대 모습 보면서
다시 울고 싶어지면
나는 그대를 생각하며
지난 추억에 빠져 있네 그대여"
이 밤이 가면 그대 올까요,"6,579",펀치 (Punch),"이밤이 가면 그대 올까요 내게
저 달이 숨어야 그대 볼 수 있나요
오늘 이 밤이 내 맘을 전해준다면
좀 더 빨리 내게 올 수 있나요
어서 돌아와줘요
어둠이 찾아오려 두드린
하늘을 문득 바라보다
머리 맡에 자리한 너의 기억에
조용히 잠기어 가네
나 그대가 내게 남기고 간
그 맘을 모른척 해봐도
내 방 가득히 차버린 너의 흔적에
잠들지 못할 것 같아
이밤이 가면 그대 올까요 내게
저 달이 숨어야 그대 볼 수 있나요
오늘 이 밤이 내 맘을 전해준다면
좀 더 빨리 내게 올 수 있나요
어서 돌아와줘요
나 그대가 떠오를 때 마다
이런 마음이 이내 겁이 나요
그대 언제쯤 내게서 멀어질까요
아니요 영원히 있어줘요
이밤이 가면 그대 올까요 내게
저 달이 숨어야 그대 볼 수 있나요
오늘 이 밤이 내 맘을 전해준다면
좀 더 빨리 내게 올 수 있나요
어서 돌아와줘요
저무는 푸른 밤의 그 끝에
그리움도 다 사라질까요
오늘이 가면 그대 올까요 내게
저 달이 떠나야 그대 볼 수 있나요
저 하늘 별이 오는 길 알려준다면
조금 더 빨리 찾을 수 있을까요
그대 기다릴게요"
The Name 名字(명자),"9,792",더 네임,"수천번 수만번 불러봤던 이름을
다시애써 지우려고 하는데
누구를 만나도 누굴 불러보아도
너의 이름이 귓가에 맺혀서
얼굴을 그려보아도 체온을
느끼려해도
아무것도 생각나질 않아
모두 잊은듯한데
I remember name
시간이 흐른지금도
내맘속에 슬픔으로 남아있어
The Name
먼훗날 내게도 그런날이 오겠지
남은 하나의 숨쉬는 그날이
마지막 부르는 니 이름이 될거야
어서그날이 오면 좋을것같아
하지만 하늘이 있어 그속에
삶이있다면
또 다시 널
그리워 지우며 살아야 하는 걸까
I forgot your name
다시는 부를수 없는
이름으로 날아가
이젠 모두버려 너의 아름다웠던
모습도 미소도 향기도 이름마저
이젠지워버려
I remember name
I forgot your name
Cause your my love
눈 감아 또다른 삶이 있다하여도
I remember name
다시 또 부를수있는 이름으로
기억되지 않았으면
The Name"
선인장,"10,560",성시경,"눈 뜨지 말아요
잠든 채 그냥 있어요
그대 눈물 못 본 척 할게요
한번만 더 그대의 고운 얼굴을
가슴에 새길 수 있게 해줘요
날 잡지 말아요
내 못난 사랑 안에서
그댄 너무 힘들었잖아요
내 욕심이 그대를 깨울 수 없게
이대로 말없이
떠날 수 있게 도와줘요
사랑해서 내가 가까이 갈수록
그대 맘엔 상처가 깊어져
우리는 너무나 닮지 못했죠
우리에게 허락된 건
그저 바라보는 일
거짓을 말할 땐
내 눈을 피하던 그댈
내가 너무나 잘 알잖아요
변함없이 사랑한다는 거짓말
오히려 내 맘을
병들게 했죠 알잖아요
사랑해서 내가 가까이 갈수록
그대 맘엔 상처가 깊어져
우리는 너무나 닮지 못했죠
우리에게 허락된 건
그저 바라보는 일
혼자 가야 할 그대의 길이
힘이 들 땐 나의 이름을 불러요
안아줄 수는 없지만
그댈 지켜줄 수 있도록
가끔씩만 날 찾아줄 순 없나요
다른 사람 함께라도 좋아요
그대의 모습만 볼 수 있다면
괜찮아요 얼마든지
견뎌낼 수 있어요
나 기다릴게요"
