Title,Likes,Singer,Lyrics
밤양갱,"126,657",비비 (BIBI),"떠나는 길에 니가 내게 말했지
‘너는 바라는 게 너무나 많아
잠깐이라도 널 안 바라보면
머리에 불이 나버린다니까’
나는 흐르려는 눈물을 참고
하려던 얘길 어렵게 누르고
‘그래 미안해’라는 한 마디로
너랑 나눈 날들 마무리했었지

달디달고 달디달고 달디단 밤양갱 밤양갱
내가 먹고 싶었던 건 달디단 밤양갱 밤양갱이야

떠나는 길에 니가 내게 말했지
‘너는 바라는 게 너무나 많아’
아냐 내가 늘 바란 건 하나야
한 개뿐이야 달디단 밤양갱

달디달고 달디달고 달디단 밤양갱 밤양갱
내가 먹고 싶었던 건 달디단 밤양갱 밤양갱이야

상다리가 부러지고
둘이서 먹다 하나가 쓰러져버려도
나라는 사람을 몰랐던 넌

떠나가다가 돌아서서 말했지
‘너는 바라는 게 너무나 많아’
아냐 내가 늘 바란 건 하나야
한 개뿐이야 달디단 밤양갱"
To. X,"139,988",태연 (TAEYEON),"처음 본 널 기억해
We skipped the small talk
바로 다음 단계였지 뭐
단점이라곤 없는 게 단점이라던
그 허세도 마냥 좋았어

하지만 내 일기가
재미없어진 이유
내가 없어진 나의
매일들은 허전해

좀 이상해 왜 둘 사이에
너만 너만 보이는 걸까
난 까다롭고 힘든 아이라
그런 피곤한 생각만 한대

오늘 나눈 문자 속에
새로 산 티셔츠
그 얘기뿐이야
이제야 난 알 것 같아
Gonna block you
불을 꺼 To. X

그 좋아했던 립스틱
싫단 말에 버린
널 좋아했던 만큼
다 맞추려 했어

‘나 아님 누가
그런 세상 안아주겠어’
그 말이 그땐 그리
달콤했던 거야 Oh no

새벽의 긴 통화도
이젠 피곤해졌어
Every day, every night
나로 채우고 싶어

좀 이상해 왜 둘 사이에
너만 너만 보이는 걸까
난 까다롭고 힘든 아이라
그런 피곤한 생각만 한대

오늘 나눈 문자 속에
새로 산 티셔츠
그 얘기뿐이야
이제야 난 알 것 같아
Gonna block you
불을 꺼 To. X

Gonna block you
불을 꺼 To. X

Say Bye
Gonna block you
불을 꺼 To. X

깜빡거리는
흔들거리는 Light
Gonna block you
불을 꺼 To. X

좀 이상해 왜 둘 사이에
너만 너만 보이는 걸까
(너만 보일까)
난 까다롭고 힘든 아이라
그런 피곤한 생각만 한대

오늘 나눈 문자 속에
(이제 불을 꺼)
새로 산 티셔츠
그 얘기뿐이야
이제야 난 알 것 같아
Gonna block you
불을 꺼 To. X

Gonna block you
불을 꺼 To. X"
Smart,"34,322",LE SSERAFIM (르세라핌),"I’m a smarter baby, smarter
Smarter baby, smarter
하날 보면 열까지
간파해서 돌파하지

Wanna be a winner
Wanna be a winner
계획대로 돼가지
난 나비가 될 애송이

원하는 건 승리란 놈
I call it “sugar”
Plan대로라면 놓칠 리가 없지
내 sugar, sugar

누군 말해, 내가 mean-mean-mean-mean-mean
신경 안 써 쉿 쉿 쉿 쉿 쉿
내 패배 위에 필 아름다움 대신
더 강한 이름 ""villain""을 택했지

So 그게 바로 me-me-me-me-me
내겐 보여, see-see-see-see-see
르세라핌 날 이끌어 to victory

I’m a smarter baby, smarter
Smarter baby, smarter
하날 보면 열까지
간파해서 돌파하지

Wanna be a winner
Wanna be a winner
계획대로 돼가지
난 나비가 될 애송이
I’m a smarter baby

Work hard in secret
아귀가 착착 맞게
I planned that, don’t be mad

Plan대로라면 난 될 수가 없지
그 loser, loser

누군 말해, 내가 mean-mean-mean-mean-mean
신경 안 써 쉿 쉿 쉿 쉿 쉿
내 패배 위에 필 아름다움 대신
더 강한 이름 ""villain""을 택했지

So I just wanna be me-me-me-me
내겐 보여, see-see-see-see-see
르세라핌 날 이끌어 to victory

I’m a smarter baby, smarter
Smarter baby, smarter
하날 보면 열까지
간파해서 돌파하지

Wanna be a winner
Wanna be a winner
계획대로 돼가지
난 나비가 될 애송이
I’m a smarter baby

내 시계는 tick-tock
필요했던 shortcut
찾아내고 난 잡았지, huh

누구는 말해, “that’s all luck”
난 말해, “no, it’s not luck""
내 땀은 not lying, lying

Don’t slow down, 이 삶은 superfast
Best scheme, 내 머릿속에
갓생, 난 준비를 끝냈어

Dinner of the winner,
That is what I want to get

I’m a smarter baby, smarter
Smarter baby, smarter
하날 보면 열까지
간파해서 돌파하지

Wanna be a winner
Wanna be a winner
계획대로 돼가지
난 나비가 될 애송이
I’m a smarter baby"
"Yes or No (Feat. 허윤진 of LE SSERAFIM, Crush)","39,310",그루비룸 (GroovyRoom),"What’s on your mind
넌 이미 알고 있잖아
궁금해 난
정말 뭔지 너의 맘이
Baby don’t smile
더 기다리기 지쳐 난
Look at my eyes
(Ha) 지금이잖아 타이밍

Feel yourself, and free yourself
(If you) feel me
말해줄래 Yes or No
Feel yourself, and free yourself
(If you) feel me
말해줄게 Yes or No

Do you wanna ride or die with me
어딜 가든지 따라와 줄 거야?
아니면서 계속 맴돌지
자꾸 내 주위를 좁혀가 우리 사이
I’ve never been the one to plead 'cause boys are cheap
차라리 끝내자
But I know 결국 다시 back on repeat

처음부터 달랐어 불길하게 달콤한 느낌
이미 난 흔들렸어
내 맘대로 되는 게 없어서 싫은데 좋아
So love, so pain

What’s on your mind
넌 이미 알고 있잖아
궁금해 난
정말 뭔지 너의 맘이
Baby don’t smile
더 기다리기 지쳐 난
Look at my eyes
(Ha) 지금이잖아 타이밍

Feel yourself, and free yourself
(If you) feel me
말해줄래 Yes or No
Feel yourself, and free yourself
(If you) feel me
말해줄게 Yes or No

이런 사이는 Not my taste
애매하게 흘리는 Night and day
Don't play with me 넌 알고 있잖니
어서 빨리 Oh just let me know

What’s on your mind
전부 알고 싶어 난
언제까지 이렇게 날
애태울 셈이야
지금이야 순간 It’s time to decide
I can't wait no more
다시 반복해 또

What’s on your mind
넌 이미 알고 있잖아
궁금해 난
정말 뭔지 너의 맘이
Baby don’t smile
더 기다리기 지쳐 난
Look at my eyes
(Ha) 지금이잖아 타이밍

Feel yourself, and free yourself
(If you) feel me
말해줄래 Yes or No
Feel yourself, and free yourself
(If you) feel me
말해줄게 Yes or No"
Merry PLLIstmas,"19,970",PLAVE,"Starry night
오늘을 준비했어
널 위한 노래와 크리스마스 선물들이
떨리는 내 심장소린
널 향한 연주가 되었죠

Mistletoe
우리들의 멜로디
하얀 솜
쌓여가는 이야기
따듯한 겨울눈이 falling
산타는 없죠

Say I love you
Don’t leave me alone
I will tell you one thing, lady
사랑에 빠져버린 것 같아

꿈을 꾼다
흰 눈이 널 닮은 이 순간
멜로 영화처럼
마침내 우린 결말이 되었죠
Christmas for you

꿈만 같아
온 세상이 멈춘 이 순간
너를 바라볼 때
눈송이가 수많은 별이 되어
반짝일 거야
사랑일까

새하얀 눈이 (펑펑)
내리는 거리 (펑펑)
만나러 가지
떨리는 아이
Christmas party

12시 지나면 종이 울릴 텐데
I swear to god
I’ll love you forever babe

Say I love you
Don’t leave me alone
I will tell you one thing, lady
사랑에 빠져버린 것 같아

꿈을 꾼다
흰 눈이 널 닮은 이 순간
멜로 영화처럼
마침내 우린 결말이 되었죠
Christmas for you

꿈만 같아
온 세상이 멈춘 이 순간
너를 바라볼 때
눈송이가 수많은 별이 되어
반짝일 거야

눈이 내리죠
그대 올까요
혹시라도
내가 놓칠까 봐
그대가 보여
내리는 눈 사이로 ooh

꿈을 꾼다
흰 눈이 널 닮은 이 순간
멜로 영화처럼
마침내 우린 결말이 되었죠
Christmas for you

꿈만 같아
온 세상이 멈춘 이 순간
너를 바라볼 때
눈송이가 수많은 별이 되어
반짝일 거야

Merry Christmas"
UNKNOWN,"23,535",NCT DREAM,"지친 하루 끝에
다시 무너져 내려
멈춰 서지 않게
내 이름을 불러줘

홀로 웅크린 채
점점 깊이 헤매 넌
So you keep on holding it back
But you can’t see how

낯선 세상 속에서
널 기다리고 있어
Why’d you ever doubt it?
No never be scared of trying

잠시 잊었던 꿈들에
다시 닿을 수 있게
너의 맘의 소리를 들어 baby
So, what if all of this could just
be so easy just like

Don't change, let go
Be brave, be strong
But take it easy, no rush
I know you got it
Go, fail forward
Go get your voice heard, don’t fold
다시 널 찾아가 Into the UNKNOWN

Don’t let it be
Go chase your dreams
Dive in, dive in, into the UNKNOWN
한 걸음씩 더 가까이

다시 널 찾아가 Into the UNKNOWN

잊지는 마 Your reasons
오늘의 너를 위해
달려왔던 날의 Story
I won’t let it fade away

어둠 속의 Memory
길을 잃어버렸던 You & Me
And in the ice cold nights,
I’ll be guiding you right
And I promise that
you can count on me like

You got one more shot
Tell me how you gon’ get it
(gon’ get it)
Don’t try
and you never gon’ get it
(oh yeah)
첨 그날처럼 널 Rewind
다시 Look in your eyes
지금 이 순간

설렘이 다시 몰아칠 때
한 번 더 널 맡긴 채
용기 내볼 수 있게
새로운 꿈을 꿔
We won’t stop
You can break it
갇혀버린 한계를 깨
And now you see that

같은 장면 속에서
아직 헤매고 있어
Why’d you ever doubt it?
No never be scared of trying

잠시 잊었던 꿈들에
다시 닿을 수 있게
너의 맘의 소릴 들어 baby

Don't change, let go
Be brave, be strong
But take it easy, no rush
I know you got it
Go, fail forward
Go get your voice heard, don’t fold
다시 널 찾아가 Into the UNKNOWN

Don’t let it be
Go chase your dreams
Dive in, dive in, into the UNKNOWN
한 걸음씩 더 가까이

And I know that

뛰어들어 너를 향해
두려워도 네가 만들어낸
파동에 Dive in
Dive in
I don’t know what ocean
긴 숨 쉬고 밑에 닿아
Pearls reflect our
Diamonds

거친 파도보다
마음의 갈망이 더 일으켜 Wave
Be brave (Be brave)
Be strong (Be strong)
Dive into the UNKNOWN now

Don't change, let go
Be brave, be strong
But take it easy, no rush
I know you got it
Go, fail forward
Go get your voice heard, don’t fold
다시 널 찾아가 Into the UNKNOWN

Don’t let it be
Go chase your dreams
Dive in, dive in, into the UNKNOWN
한 걸음씩 더 가까이

다시 널 찾아가 Into the UNKNOWN

Say what you like
이렇게 너를 부르잖아 oh yeah
I know you try
꿈꾸던 너를 잊지는 마
(I know you try)

So say what you like
또 다른 꿈에 닿을 때까지

다시 널 찾아가 Into the UNKNOWN"
Either Way,"75,529",IVE (아이브),"누가 내 말투가 재수없대
잘난 척만 한대
또 누구는 내가 너무 착하대
바보같을 정도래

가끔은 이해조차 안 되는 시선들
억울하기도 하지만
오해가 만든 수많은 나와 얘기해
우리 모두 다 ‘나’야

Either way, I’m good
전부 좋다구
누가 맞고 틀린 게 아닌 걸
모두 다르게 사랑하듯
Either way, I’m good
Either way

내게는 언니같은 친구인데
어리광이 심하대
털털한 줄 알았던 저 아이는
마음이 넘 약한 걸

쟤 I 라서 그래 넌 E 라서 그래
됐고 그냥 V 나 하자

Either way, you’re good
전부 좋다구
누가 맞고 틀린 게 아닌 걸
모두 다르게 사랑하듯
Either way, you’re good
Either way

I, I, I 또다른 나
나, 나, 나

누가 맞고 틀린 게 아닌 걸
모두 다르게 살아가 듯
전부 좋다구
사랑과 미움

모두 다 가지면 되는 거야
하나만 고를 필요 없는 거야

Either way, we’re good
웃어주자구 우후후
이렇게"
SHEESH,"4,097",BABYMONSTER,"Da la lun dun
Da la lun dun
Da la lun dun

BABY I’mma MONSTER

Mano a mano
I see you in slow mo’
You know you’re in trouble
Ooh hoo hoo hoo

발버둥 쳐봐
어차피 손바닥
위에서 못 나가
You know that

눈을 뜬 순간
피어나
All eyes on me
불을 질러라

Do or die
On my life
Yeah you ain’t seen nothing yet

Got them all going
Sheesh Sheesh
Sheesh Sheesh Sheesh yeah

B.A.B.Y.M.O.N
Sheesh Sheesh
Sheesh Sheesh Sheesh yeah
Got them all going

Yo hold on 쉿
걍 들이부어라 네 달팽이관에
이건 네 귀에 줄 축복
음악에 맞춰 걍 춤 춰

히비리 합 합 boom boom pow
분위기 타올라 너네들 눈 돌아
띵하니 적잖이 충격일 거야

Crown this queen
홈런은 쳤고 내 다음은 위
어중이떠중이 중간 아님
날 보고 닫혔던 입들 say
Sheesh Sheesh Sheesh

You know what it is
I be running this
Pull up in a ghost
Peek a peek a boo hoo
Vroom vroom
너네 심장에 박동이 pump pump pop
Pedal to the metal
Click clack click
Put’em up to the sky
High high high high

눈을 뜬 순간
피어나
All eyes on me
불을 질러라

Do or die
On my life
Yeah you ain’t seen nothing yet

Got them all going
Sheesh Sheesh
Sheesh Sheesh Sheesh yeah

B.A.B.Y.M.O.N
Sheesh Sheesh
Sheesh Sheesh Sheesh yeah
Got them all going

마음껏 웃어봐
이젠 내 차례니까

천천히 불태워 네가 잠든 사이

Time’s up
올라가 올라가 더

꼭대기 꼭대기로
하늘 위 하늘 위로

Fly away
온 세상을 뒤집어
Come on let’s ride

BABY I’mma MONSTER

B A B Y M O N
Tell a friend tell a friend tell a friend
B A B Y M O N
Tell a friend tell a friend tell a friend

Let's go
Jump jump and let it go
Watch out we on a roll
Rum pump pump pump it up then

Jump jump and let it go
Watch out we on a roll
Rum pump pump pump it up then"
"Shh.. (Feat. 혜인(HYEIN), 조원선 & Special Narr. 패티김)","27,111",아이유,"It's not about F (F)
not about L (L)
We got something else

뒷짐을 진채
따라갈래
그녀의 긴 발자국

서로를 이어 (서로를 이어)
How special we are (special we are)

그 존재감에
입을 다무네
영원히 날 앞서는
그 이름은 Shh...

음 아마 첫사랑이지
또한 내 첫 세상
뚫어져라 무언가
바라보는 시선 역시
같은 눈동자를 가진 그녀를
닮아서일까

음 즐거운 악몽이지
우리는 시소에 올라
또 오르락내리락
도통 이해가 안 되는 일이지
유쾌하지 않은 꿈에서까지
널 보며
왜 웃고 있을까

It's not about F (F)
not about L (L)
We got something else

굵고 까맣게 (F)
땋은 양갈래 (L)
이야길 담은 입술

서로를 이어 (서로를 이어)
How special we are (special we are)

참 시시하게 (F)
혹은 비범하게 (L)
한 조각씩 내어준
그 이름은 Shh..

옷자락 휘날리던 등장에 대하여
(Salute)
그보다 꼿꼿하던 퇴장을 향하여
빛에 맞서던 순간도
빛을 등지던 순간도 음음
내내 자신답던 그녀를 위하여

멈춘 적 없는
오랜 혼잣말처럼
나의 시간 어딘가 영원히
풀리지 않는 암호 같은 그녀들에게

It's all about F (F)
All about L (L)
We got something else

난 마주할래 (F)
오랜 감정에 (L)
이름을 붙일 자유

서로를 이어 (서로를 이어)
How special we are (special we are)

끝내 재가 될 때 (F)
까지 내 안에 (L)
빨갛게 숨 타오를
그 이름은 Shh..

여기
낡은 이야기 하나 있죠
모두가 다 아는, 그러나 또 모르는
그 이름은 Shh.."
Square (2017),"298,695",백예린 (Yerin Baek),"All the colors and personalities
모든 색깔과 성격들
you can’t see right through what I truly am
그것들 사이로는 내가 정말 어떤 사람인지 볼 수 없어
you’re hurting me without noticing
넌 예고도 없이 나에게 상처를 주고
I’m so, so broke like someone just robbed me
누가 날 털어간 것 마냥 부서진 것 같아

I’m no invincible
난 강한 사람이 아니야
I have much memories of getting more weaker
난 점점 약해져가는 기억들이 훨씬 많은 걸
I know I’m not loveable
나도 내가 사랑받을 수 없는 거 알아
but you know what you’d have to say
그래도 네가 어떤 말을 해줘야 하는지 알지?


“Come on let’s go to bed
“나와 같이 침대로 가자
we gonna rock the night away
우린 이 밤을 신나게 보낼 거야
who did that to you, babe
누가 너에게 그런 짓을 한 거야
If you’re not in the right mood to sleep now then,
네가 당장 잠들 수 있는 기분이 아니라면
Come on, let’s drink and have very unmanageable day
나와서 나랑 한잔하고, 감당하기 힘든 하루를 보내자!
would you want me in bae
내가 거기 있길 바라?
If you’re not in the right mood to sleep now then
네가 당장 잠들 수 있는 기분이 아니라면
come take my arms and go
나와 함께 가자!
I’II be yours for sure”
내가 너의 것이 되어줄게!”


All the traces and reminiscences
모든 흔적들과 과거를 회상하는 일들
You can’t sense right through how I truly was
그 사이로는 내가 정말 어땠는지 느낄 수 없을 거야
You were gripping me without noticing
넌 날 예고도 없이 끌어당겼고
Was so, so strange like Someone never loved me
마치 누가 날 사랑한 적이 없는 것처럼 정말 낯설었어

I’m no invincible
난 강한 사람이 아니야
I have much memories of getting more weaker
난 점점 약해져가는 기억들이 훨씬 많은 걸
I know I’m not loveable
나도 내가 사랑받을 수 없는 거 알아
but you know what you’d have to say
그래도 네가 어떤 말을 해줘야 하는지 알지?


“Come on let’s go to bed
“나와 같이 침대로 가자
we gonna rock the night away!
우린 이 밤을 신나게 보낼거야
who did that to you, babe
누가 너에게 그런 짓을 한거야
If you’re not in the right mood to sleep now then,
네가 당장 잠들 수 있는 기분이 아니라면
Come on, let’s drink and have very unmanageable day
나와서 나랑 마시고, 감당하기 힘든 하루를 보내자
would you want me, in bae
내가 거기 있길 바라?
If you’re not in the right mood to sleep now then
네가 당장 잠들 수 있는 기분이 아니라면
come take my arms and go
나와 함께 가자
I’ll be yours for sure”
내가 너의 것이 되어줄게”


You’re the only one, who saw my yesterday
너는 내 어제를 본 유일한 사람이야
the one who knows I’m here alive today
여기, 오늘 내가 살아있다는 걸 아는 사람이고
Comfort me say, what I’m meant to you
날 위로해줘, 내가 너에게 어떤 뜻인지 말해줘
you should know what you have to say
네가 뭐라고 해야 하는지 알아야 해


“Come on let’s go to bed
“나와 같이 침대로 가자
we gonna rock the night away
우린 이 밤을 신나게 보낼 거야
who did that to you, babe
누가 너에게 그런 짓을 한거야
If you’re not in the right mood to sleep now then,
네가 당장 잠들 수 있는 기분이 아니라면
Come on, let’s drink and have very unmanageable day
나와서 나랑 마시고, 감당하기 힘든 하루를 보내자
would you want me in, bae
내가 거기 있길 바라?
If you’re not in the right mood to sleep now then
네가 당장 잠들 수 있는 기분이 아니라면
come, take my arms and go
나와 함께 가자
I’ll be yours for sure”
내가 너의 것이 되어줄게”"
