Title,Likes,Singer,Lyrics
노랑색 (with 이고도),142,마르슬랭 까이유,"불안해하지는 마
봄의 한가운데로 난
이끌리듯
안착했어
아련하게 다가와
봄바람 타고 넘어와
그댈 비출 색 가득해
잠시 멈춰
그대에게 나
봄을 접어보내
yellow I’ll give it to you
아플 일 없이
잘 봐 이 계절은
그대가 불안해하지 않아도 돼
보다시피 여기는 봄
알 수 없는 감흥에 이끌려
무작정 나를 데려다 놓은
이곳은 노랗게 더 무르익어
What are you waiting for
이 계절의 몸짓은 내게 영감을 줘
채우지 못하는 빈칸은 노랑으로
물들이고 해질녘처럼
번져 사방에
봄기운은 들뜬 나를
달래줘 다정하게
기억해 넌 이미 추위를 견뎌낸
씨앗이야 왜 벌써부터
겨울을 걱정해
함께 꽃을 피우자고 그래 저들처럼
화려하지 않아도 그대로 아름다워
바람에 넘실대는
들판에 돛단배를 띄워
노란 물결을 따라 네게 노를 저
마중 나갈게 잠시 멈춰
이 순간을 바라보자 아주 천천히
그대에게 나
봄을 접어보내
yellow I’ll give it to you
아플 일 없이
잘 봐 이 계절은
그대가 불안해하지 않아도 돼
아무 말도 하지 마
여기 서서 잠시만
들어봐 저 꽃들과
수군거리는 들판을
아무 걱정 하지 마
여기 서서 잠시만
바라보자 따스한
이 계절의 걸음마를
그대에게 나
봄을 접어보내
yellow I’ll give it to you
아플 일 없이
잘 봐 이 계절은
그대가 불안해하지 않아도 돼"
Escape (Feat. Grizzly),"1,158",Rosy(로지),"Midnight
We have to go now
지금 데려갈 거야 Right now
차분하게 걸으며 Right out
Beach 우린 갈 거야
let's get out
I can't tell you right now
I've been thinking of you a lot
Late night 전화해
내 와드 너의 품에
Oh my god 주말은 빨리 가
일요일 밤 되면
나 그냥 울다 지쳐 잠에 들래
Plz don't make me wait for you
날 맥 빠지게 만들지 마
So what you want 어떡할래
baby i know where you are
Pick
I wanna go
We need to talk
숨 좀 쉬자고 바다 위에 섬
I need a ride
It's our chance
멀리 떠나자 하루빨리
Baby I leave here sorry
너와 헛물켜긴 싫어
Baby I’m in a rush
I’m in a rush
Yeah
Baby so bad
Come on where you at
Don't you remember
우리 자유로울 때
I'll always love u baby
멀리가도 돼
멀리가도 돼
내가 다가갈게
I promise 너의 한마디면
Done yeah
지나간 예전의 우리 관계는
Burn yeah
Beautiful angel
마른 땅에 오아시스 같아
어디든 떠날 수 있어
바다 아님 섬에
Plz don't make me wait for you
날 맥 빠지게 만들지 마
So what you want 어떡할래
Baby i know where you are
Pick
I wanna go
We need to talk
숨 좀 쉬자고 바다 위에 섬
I need a ride
It's our chance
멀리 떠나자 하루빨리
Baby I leave here sorry
너와 헛물켜긴 싫어
Baby I’m in a rush
I’m in a rush
Midnight 자정이 되면 Yo
I fall in love with u babe yeah
여름 밤보다 뜨겁게 Yeah
We make it love 라라라라라라
Midnight 자정이 되면 나 갈거야
I fall in love with u babe yeah
여름 밤보다 뜨겁게 Yeah
We make it love 라라라라라
Pick
I wanna go
We need to talk
숨 좀 쉬자고 바다 위에 섬
I need a ride
It's our chance
멀리 떠나자 하루빨리
Baby I leave here sorry
너와 헛물켜긴 싫어
Baby I’m in a rush
I’m in a rush"
Welcome (feat. Daowl),"3,594",공기남,"Please 내게도 사랑이 찾아왔으면 해
수없이 너를 생각해 늘 그려 보곤 했어
1 2 3 4 5 6 7 9 10
외롭던 밤은 다 지나갔을까
1 2 3 4 5 6 7 9 10
별을 담아 내게 와줄래
어서 와 내 맘 받아줘
이미 준비하고 있어
아무 생각 말고 다가와도 돼
어서 와 내 맘 받아줘
이미 준비하고 있어
아무 생각 말고 들어와도 돼
you 생각 말고 들어와도 돼
you 생각 말고 다가와도 돼
아무런 말도 없이 너는 내게 왔고
어느 새부터 나는 네게 빠져들어
나만큼 너를 좋아하는가 봐
아무런 말도 없이 네게 빠졌나 봐
1 2 3 4 5 6 7 9 10
외롭던 밤은 다 지나갔을까
1 2 3 4 5 6 7 9 10
별을 담아 내게 와줄래
어서 와 내 맘 받아줘
이미 준비하고 있어
아무 생각 말고 다가와도 돼
어서 와 내 맘 받아줘
이미 준비하고 있어
아무 생각 말고 들어와도 돼
you 생각 말고 들어와도 돼
you 생각 말고 다가와도 돼
you 생각 말고 들어와도 돼
you 생각 말고 다가와도 돼
Please 내게도 사랑이 찾아 왔으면 해"
잊기로해,"2,006",12월,"우리 다시는 사랑 안하기로 해
우리 이젠 어쩔 수도 없는 사이잖아
우리 다시 그때로 돌아가려고 해
너를 보면 아픈 내 맘 사랑이 아니니까
혹시라도 우리 다시 사랑한대도
행복했었던 그때의 우린
돌아갈 수 없잖아
너를 내가 떠나는거야
너를 다시 볼 수 없어서
하루하루 눈물이 내 미련이
널 붙잡겠지만
이제 다시 볼 수 없지만
너를 다시 볼 수 없지만
사랑한단 말로 또 그렇게 너를
불러본다
혹시라도 우리 다시 사랑한대도
날 보는 눈빛 너의 목소리
같을 수가 없잖아
너를 내가 떠나는 거야
너를 다시 볼 수 없어서
하루하루 눈물이 내 미련이
널 붙잡겠지만
이제 다시 볼 수 없어도
너를 다시 볼 수 없어도
사랑한단 말로 또 그렇게 너를
그려본다
너를 다시 또 그리워하는 내 이 맘은
미련이라서 사랑이라서
오늘도 이렇게 그대가 또 아픔으로 남아
너를 내가 떠났던거야
다시 니가 보고싶어서
구차하게 너를 또 이렇게 불러
아직 너를 사랑하는데
내가 너를 떠난다는게
무서워서 그래 또 이렇게 너를
불러본다"
그만 미워할래,"1,555",WH3N (웬),"그런 눈으로 날 보지 마
아침의 달처럼 보이던
우리의 사랑은 거의 사라지고 있어
왜 이렇게 가까운 거리엔
두 팔을 뻗어도 안아줄 수 없는
서로의 어깨너머에
숨은 거짓말
I don't wanna be your hero
이젠 날 놓아주라 oh please
너를 싸이코라 부르는 나를 좀 봐
I don't wanna be your lover
어젠 어디 있던 건지 난 몰라
양심의 가책이 사라지며
그만 미워할래
널 머물게 하던 마음엔
걱정 없는 듯한 웃음과
짜릿한 눈맞춤 거의 사라지고 있어
변명과 울음 그 사이에
날 만지고 꽉 안아줄 때면
이런 망할 느낌 사라지지만
이건 잠깐뿐이잖아
I don't wanna be your hero
이젠 날 놓아주라 oh please
너를 싸이코라 부르는 나를 좀 봐
I don't wanna be your lover
이젠 더 이상 널 믿지 않아
양심의 가책이 사라지며
그만 미워할 수 있는 내가 되길
나의 침대에 핀 너의 향기까지
정말 바보같이 널 구할 수 있을 거란
내 보잘것없는 마음까지
I don't wanna be your hero
이젠 I don't love you
너를 싸이코라 부르는 나를 좀 봐
I don't wanna be your lover
이젠 I don't love you
양심의 가책이 사라지며
그만 미워할래"
크리스마스에 혼자 남은 너를 위한 노래,"2,890",네이비쿼카 (NavyQuokka),"하얀 눈이 내리는 크리스마스에
혼자 남은 너를 위한 노래
남일 같겠지만 지금 연인들도
내년은 어떨지 잘 몰라
매년 마다 반복되는 그날
나 홀로 집에 첨부터 보는 날
길거리마다 행복한 웃음이
어떻게 된 게 끊어지질 않아
Sad 크리스마스 멜로디
혼자 남은 널 위한 노래
Say it 크리스마스 sing with me
혼자 남은 우릴 위해 불러봐
하얀 눈이 내리는 크리스마스에
혼자 남은 너를 위한 노래
남일 같겠지만 지금 연인들도
내년은 어떨지 잘 몰라
Sad 크리스마스 멜로디
혼자 남은 널 위한 노래
Say it 크리스마스 sing with me
혼자 남은 우릴 위해 불러봐
이건 홀로 보내는 크리스마스에
혼자 남은 너를 위한 노래
남일 같겠지만 지금 연인들도
내년은 어떨지 잘 몰라
Merry Merry Christmas for me
Merry Merry Christmas for me
하얀 눈이 내리는 크리스마스에
혼자 남은 너를 위한 노래"
생각이 나서 그래 (Feat. 임수),326,현서 (HYUN SEO),"처음 너를 마주했을 때 내 감정
그때의 기분을 나 어떻게 잊겠어
You're my ex girl, even not a friend more
널 만난 그때와 똑같아
여전히 널 잊는 법도 몰라 난
내게 좋은 사람 만나라 했었던
너가 보고 싶어져서 그 골목길을 달려갔지
Singing alone 홀로 방에 남아 행복했던 추억을 불러
내 가사들이 언젠간 네게 닿을 듯해서
우리 얘기들로 노래를 써서 미안해
유치한 가사지만 ""나는 너 아님 안 돼""
너가 좋아했던 것들로 나를 채워
그럼 비로소 니가 날 찾게 될까 봐
아무것도 아니었던 날
사랑해 준 너가 고마웠어
너 없는 하루는 lonely
우리 사인 좀 멀리에
너 같은 여잔 없어
Always love and pray for you
비겁한 세상 가운데
난 너밖에 you are my only one
때론 아프더라도
우리 다시 사랑해 보자
우리 같이 발을 맞췄던
홍대 거리에 난 남아 있어
예전처럼 날 안아 줄래
내가 바보 같아서 그래
우리 추억들 돌아 보면
너무 아름다웠던 그대가
내게 사랑뿐이었던 그때가
그냥 생각이 나서 그래
비행하고 있어 웜홀 안
탈출하려 했어 네 공간
너 없는 날도 보내 보는 거야
날갯짓해 멀리
도약해 더 높이
나도 잘 모르겠어 내 마음
칸트도 이번엔 못 주네 답
차라리 멀리 보이는 게 너였담
Umm
Can I go back?
She like ‘nonono’
Just Conversation?
She like ‘umm umm umm’
I know what you need bae
우리 있던 위치에
돌아와 보지 매일
Tell me ETA
빛 보다 빠르게 dash dash dash
너 없이는 나는 그저 애 같애
쥐었던 풍선을 놓아
누르기 직전이야 긴급전화
너 없는 하루는 lonely
우리 사인 좀 멀리에
너 같은 여잔 없어
Always love and pray for you
비겁한 세상 가운데
난 너밖에 you are my only one
때론 아프더라도
우리 다시 사랑해 보자
우리 같이 발을 맞췄던
홍대 거리에 난 남아 있어
예전처럼 날 안아 줄래
내가 바보 같아서 그래
우리 추억들 돌아 보면
너무 아름다웠던 그대가
내게 사랑뿐이었던 그때가
그냥 생각이 나서 그래"
웃자 (Feat. Bas Bao),188,안재우,"내가 했던 말도 기억을 잘 못하는 난
우리 마지막 장소 시간까지 기억나
이건 아마 팔지도 못할 미련 아닐까
어쩌면 내가 원한 거니까
울 만큼 울었겠지
어디가 선 말도 잘 못했겠지
이별이 그런 거래
그럼 안 하고 싶어 더 이상
이제 안 울고 싶어 더 이상
이제 그만그만
다시 만날 그날엔

우리 다시 마주친다면 그냥 웃자
네 옆 사람이 눈치 못 채게 웃자
만나 본 적 없는 사람처럼 웃자
그냥 웃자
우리 다시 마주친다면 그냥 웃자
네 옆 사람이 눈치 못 채게 웃자
만나 본 적 없는 사람처럼 웃자
그냥 웃자

아직도 아물지가 않아서
그냥 흉지게 더 내버려 뒀어
기억하고 싶어
널 지우고 싶진 않아
날 사랑하지 못해서
더 그랬어
넌 착해 빠져서
없던 것도 다 내어준다는 널
모질게 했었던 건 나야
후회해 안아주지 못한 게
그래도 다신 사랑하지 말자
그게 우릴 위하는 거야

우리 다시 마주친다면 그냥 웃자
네 옆 사람이 눈치 못 채게 웃자
만나 본 적 없는 사람처럼 웃자
그냥 웃자
우리 다시 마주친다면 그냥 웃자
네 옆 사람이 눈치 못 채게 웃자
만나 본 적 없는 사람처럼 웃자
그냥 웃자

이제 울자
우리 참을 만큼 참았어 그냥 울자
마지막 일 거야 생각 없이 울자
그냥 울자"
샐러드 기념일 (윤은혜 샐러드 송 원곡),"2,518",HUS (허밍어반스테레오),"라라랄라 라라랄라 워어 워어
너가 맛있었다고 했던
살구빛 샐러드
맛있어서 또 먹고 싶어
너가 좋아했던 것들을
나에게 자그마한 행복들 달력
안 기념일들로
채워지네 채워지네 Yeah
나나나나나나 너가 좋아했던
살구빛 샐러드
그 날은 샐러드 기념일
우후나나나나나
너가 좋아하던 멜로디언 소리
그 날은 멜로디 기념일
우 라라라나나나 너가
예뻤었다고
했던 조그만 고양이
귀여워서 또 보고 싶어
너가 좋아했던 것들을
나에게 자그마한 고양이들 방에
한가득하게
채워지네 채워지네 Yeah
나나나나나나 너가 좋아했던
살구빛 샐러드
그 날은 샐러드 기념일 우후
나나나나
너가 좋아하던 멜로디언 소리
그 날은 멜로디 기념일 우우
라라라나나나
너가 좋아했던
살구빛 샐러드
그 날은 샐러드 기념일 우후
나나나나
너가 좋아하던 멜로디언 소리
그 날은 멜로디 기념일 우우
라라라나나나"
그대를 사랑할수록,"4,052",브리즈,"그대를 사랑할수록
살아갈 힘이 생겨서
모든걸 주고 싶어 받는것만 같아서
그대는 말이 적지만
내 손을 잡고 걷는게
행복한가봐 그래서 나도
이 거리가 좋아요
이제 제법 차가와요
주어진 그대의 손을 주머니에 담그고
따뜻하고 근사한 곳을 찾지만
그대는 지금이 좋다하며 고집 피우네요
첨과 같이 지금처럼 변치마요
그대 내 사랑
난 그대를 사랑하면 할수록
그럴수록 눈물이
기쁜 눈물이 맺혀
이 눈이 내려요
이제 제법 차가와요
주어진 그대의 손을
주머니에 담그고
따뜻하고 근사한 곳을 찾지만
그대는 지금이 좋다며
고집피우네요
첨과 같이 지금처럼 변치마요
그대 내사랑
난 그대를 사랑하면 할수록
그럴수록 눈물이
기쁜 눈물이 맺혀
어제가 지나갔듯이
내일은 오지 않았죠
서툰 후회나 약속보단
내 매순간 그를 다해서 사랑할꺼야
그대가 모든거니까
내리는 눈 속에서
난 그댈 힘껏 안아요
변치마요 그대 내사랑
난 그대를 사랑하면 할수록
그럴수록 눈물이
기쁜 눈물이 맺혀
이 눈이 내려요"
