Title,Likes,Singer,Lyrics
이제 나만 믿어요,"174,182",임영웅,"무얼 믿은 걸까 부족했던 내게서
나조차 못 믿던 내게 여태 머문 사람
무얼 봤던 걸까 가진 것도 없던 내게
무작정 내 손을 잡아 날 이끈 사람
최고였어
그대 눈 속에 비친 내 모습
이제는 내게서 그댈 비춰줄게
궂은 비가 오면
세상 가장 큰 그대 우산이 될게
그댄 편히 걸어가요
걷다가 지치면
내가 그대를 안고 어디든 갈게
이제 나만 믿어요
나만 두고 가던
나만 스쳐 간 행운이 모여
그대가 되어서 내게 와준 거야
궂은 비가 오면
세상 가장 큰 그대 우산이 될게
그댄 편히 걸어가요
걷다가 지치면
내가 그대를 안고 어디든 갈게
이제 나만 믿어요
나의 마지막 주인공이 되어
다신 누구 앞에서도
그대는 고개 숙이지 마요
내가 보지 못했던 홀로 고단했던 시간
고맙고 미안해요 사랑해요
이 세상은
우리를 두고 오랜 장난을 했고
우린 속지 않은 거야
이제 울지 마요
좋을 땐 밤새도록 맘껏 웃어요
전부 그대 꺼니까
그대는 걱정 말아요
이제 나만 믿어요"
"애인이 되어줄게요 (Prod. 알고보니, 혼수상태)","26,969",김호중,"누가누가 당신 맘을 외롭게 합니까
누가누가 당신 맘에 눈물을 주나요
바람결에 떨어지는 꽃잎이
여자의 마음인가요
내 품에 안겨 걱정을 말아요
영원히 지켜줄게요
애인이 되어줄게요
애인이 되어줄게요
내가내가 잘해줄게요
사랑이 되어줄게요
사랑이 되어주세요
내가 당신 애인이 되어줄게요
사연 없는 사람 있나 아픔이 없을까
우연처럼 만나는 게 사랑이란 것을
반했어요 마음을 열어요
놓치면 후회할 거야
내 품에 안겨 걱정을 말아요
영원히 지켜줄게요
애인이 되어줄게요
애인이 되어줄게요
내가내가 잘해줄게요
사랑이 되어줄게요
사랑이 되어주세요
내가 당신 애인이 되어줄게요
내가 당신 애인이 되어줄게요"
시절인연 (時節因緣),"33,540",이찬원,"사람이 떠나간다고
그대여 울지 마세요
오고 감 때가 있으니
미련일랑 두지 마세요
좋았던 날 생각을 하고
고마운 맘 간직을 하며
아아아 살아가야지
바람처럼 물처럼
가는 인연 잡지를 말고
오는 인연 막지 마세요
때가 되면 찾아올 거야
새로운 시절인연
친구가 멀어진다고
그대여 울지 마세요
영원한 것은 없으니
이별에도 웃어주세요
좋았던 날 생각을 하고
고마운 맘 간직을 하며
아아아 살아가야지
바람처럼 물처럼
가는 인연 잡지를 말고
오는 인연 막지 마세요
때가 되면 찾아올 거야
새로운 시절인연
새로운 시절인연
사람이 떠나간다고
그대여 울지 마세요"
우산이 없어요,"31,282",김호중,"저기 저 골목길은 우리가 함께 있던
모든 게 그대론데 나는 변해 버렸네
갑자기 구름이 끼더니
회색빛 하늘을 만들고
참아왔던 서러움에 눈물이 터지네
비가 와요 비가 와요
나는 우산이 없어요
비 내리면 빗물 속에
그대 기다렸었잖아
영원을 약속했잖아요
그런데 왜 떠나셨나요
미워하는 이 마음을 가슴에 남기고
비가 와요 비가 와요
나는 우산이 없어요
비 내리면 빗물 속에
그대 기다렸었잖아
비가 와요 비가 와요
나는 우산이 없어요
빗물 속에 빗물 속에
이젠 잘 가요 내 사랑
이젠 잘 가요 내 사랑"
나만의 길 (My Way),"26,288",김호중,"저 강물을 따라 흐르는 꽃잎들처럼
어제 꿈에 보았던 곳 닿을 수만 있다면
또 눈을 감는다 무엇을 기도하는가
저기 울리는 종소리 마음 흔들리지만
가야 할 나만의 길이 있어
가슴에 묻어둔다 이 외로움
먼 훗날 깊어진 강물 위에
담대한 나의 꿈을 띄우리라
가야 할 나만의 길이 있어
가슴에 묻어둔다 이 외로움
먼 훗날 깊어진 강물 위에
담대한 나의 꿈을 띄우리라 my way"
찐이야,"69,690",영탁,"찐찐찐찐 찐이야 완전 찐이야
진짜가 나타났다 지금
찐찐찐찐 찐이야 완전 찐이야
찐하게 사랑할 거야
요즘 같이 가짜가 많은 세상에
믿을 사람 바로 당신 뿐
내 모든 걸 다 줘도 아깝지 않은
내 인생에 전부인 사람
끌리네 끌리네 자꾸 끌리네
쏠리네 쏠리네 자꾸 쏠리네
심장을 훔쳐간 사람
찐찐찐찐 찐이야 완전 찐이야
진짜가 나타났다 지금
찐찐찐찐 찐이야 완전 찐이야
찐하게 사랑할 거야
찐이야
요즘 같이 가짜가 많은 세상에
믿을 사람 바로 당신 뿐
내 모든 걸 다 줘도 아깝지 않은
내 인생에 전부인 사람
끌리네 끌리네 자꾸 끌리네
쏠리네 쏠리네 자꾸 쏠리네
심장을 훔쳐간 사람
찐찐찐찐 찐이야 완전 찐이야
진짜가 나타났다 지금
찐찐찐찐 찐이야 완전 찐이야
찐하게 사랑할 거야
찐하게 찐하게 찐하게 찐하게
찐하게 사랑할 거야"
별빛 같은 나의 사랑아,"78,332",임영웅,"당신이 얼마나 내게
소중한 사람인지
세월이 흐르고 보니
이제 알 것 같아요
당신이 얼마나 내게
필요한 사람인지
세월이 지나고 보니
이제 알 것 같아요
밤하늘에 빛나는
별빛 같은 나의 사랑아
당신은 나의 영원한 사랑
사랑해요 사랑해요
날 믿고 따라준 사람
고마워요 행복합니다
왜 이리 눈물이 나요
밤하늘에 빛나는
별빛 같은 나의 사랑아
당신은 나의 영원한 사랑
사랑해요 사랑해요
날 믿고 따라준 사람
고마워요 행복합니다
왜 이리 눈물이 나요
왜 이리 눈물이 나요"
바람 바람아,"3,573",정서주,"어디서 왔다가 어디로 가느냐
낯선 바람 바람아
덧없는 한 세상 답답한 맘을
너는 달래주려나
세상에 지쳐 울고 싶은 날
나는 바람이 되어
한없이 위로가 되는
당신 곁으로 가서
참아온 눈물을 쏟고 싶구나
바람 바람 바람아

어디서 왔다가 어디로 가느냐
낯선 바람 바람아
떠나간 세월 내 청춘처럼
너도 떠나가느냐
마음이 다쳐 울고 싶은 날
나는 바람이 되어
꽃향기 흐드러지는
그 먼 곳으로 가서
참아온 눈물을 쏟고 싶구나
바람 바람 바람아
바람 바람
바람아 바람아
바람아 바람아
덧없는 한세상 답답한 맘을
너는 달래주려나
바람 바람 바람아"
진또배기,"45,862",이찬원,"어 허야듸야 허야듸야
어 허야듸야 허야듸야
허야듸야
어촌마을 어귀에 서서
마을에 평안함을 기원하는
진또배기 진또배기 진또배기
오리 세마리 솟대에 앉아
물 불 바람을 막아주는
진또배기 진또배기 진또배기
모진 비바람을 견디며
바다의 심술을 막아주고
말없이 마을을 지켜온
진또배기 진또배기
어허 허야듸야
풍어와 풍년을 빌면서
일년내내 기원하는
진또배기 진또배기
진또배기 진또배기
어 허야듸야 허야듸야
허야듸야 허야듸야
배띄워라 노를 저어라
파도가 춤을 춘다 노래한다
진또배기 진또배기
진또배기 진또배기
어허 허야듸야
허야듸야 허야듸야 얼 쑤"
니가 왜 거기서 나와 (Narr. 고은아),"64,354",영탁,"어디야
집이야 피곤해서 일찍 자려구
아 그래 잠깐 볼랬더니
오늘 피곤했나 보네 언능 자
어 끊어
근데 니가
니가 왜 거기서 나와
니가 왜 거기서 나와
사랑을 믿었었는데
발등을 찍혔네
그래 너 그래 너 야 너
니가 왜 거기서 나와
피곤하다 하길래
잘자라 했는데
혹시나 아픈건가
걱정도 했는데
뭐하는데
여기서 뭐하는데
도대체
너네집은 연신내
난 지금 강남에
시끄런 클럽을
무심코 지나는데
이게 누구십니까
니가 왜 거기서 나와
니가 왜 거기서 나와
내 눈을 의심해보고
보고 또 보아도
딱봐도 너야
오마이 너야
니가 왜 거기서 나와
니가 왜 거기서 나와
사랑을 믿었었는데
발등을 찍혔네
그래 너 그래 너 야 너
이런건 사랑이 아냐
노는 남자 싫다매
술은 못한다매
그것 땜에 나는 다
끊어버렸는데
지금 넌 왜
혀가 꼬이는 건데
도대체
근데 지금 니 옆에
이 남잔 누군데
교회 오빠하고
클럽은 왜 왔는데
너네 집 불교잖아
니가 왜 거기서 나와
니가 왜 거기서 나와
내 눈을 의심해보고
보고 또 보아도
딱봐도 너야
오마이 너야
니가 왜 거기서 나와
니가 왜 거기서 나와
사랑을 믿었었는데
발등을 찍혔네
그래 너 그래 너 야너
이런건 사랑이 아냐
그래 너 그래 너 야너
니가 왜 거기서 나와"
