Title,Likes,Singer,Lyrics
사랑은 (with 안미옥),174,강아솔,"사랑은
너의 눈빛 속에서
깊은 어둠을 보고

사랑은
너의 시간 속에서
환한 빛을 찾네

사랑
사랑
수많은 대답 속의 물음들

사랑은
믿을 수 없는 것들을
사랑은
믿게 하네

사랑
사랑
너와 내가 우리라는 이름으로

사랑은
사랑할 수 없는 것들을
사랑은
사랑하게 하네

하는 것이 아닌
할 수밖에 없는
사랑은

하는 것이 아닌
할 수밖에 없는
사랑은"
우리 또 같이 놀자,126,김이불,"보고 싶은 사람들아
가끔은 너의 안부가 궁금해
할 일 없이 전화를 걸어
별 시덥지 않은 얘길 하고파

그날이 너무 멀어져
사라질까 두려워
그때가 또다시 올까
난 오늘도 머뭇거리네

조그만한 단칸방에
함께 울고 웃던 그날들을
나는 아직도 기억하지
우리가 함께 시간을 태웠던

그날이 너무 멀어져
사라질까 두려워
그때가 멀리 떠나버린데도
우리 또 같이 놀자"
Do-gooder,68,에몬,"어여쁜 너의 옆얼굴에
흐르는 눈물을 보면서도
난 말해줄 순 없었어

고단한 너의 두 어깨에
따가운 시선이 쌓인대도
난 외면할 순 없었어
좋음은 그들의 것이 아니니

Uh uh

우리가 적이 아니라는 걸
이해할 수 있는 그날까지
수많은 밤낮, 어쩌면 영원

하지만 나의 확신들이
언젠가의 너의 슬픔들을
누그러뜨릴 수 있을까?

의도 없는 착한 애정이
어딘가의 너의 외로움을
선명히 비춰낸다면
나쁨은 이곳에 있는 것일지

Uh uh

우리가 적이 될 순 없다고
미워할 이윤 없는 거라는
생각들이 아무렇지 않기까지
수없는 날들, 막연한 기대

수많은 밤낮, 어쩌면 영원"
My Wonderland (epilogue),51,디에이드 (The Ade),"실수투성이인 내 모습
문득 밀려오는 서러움
어린 날 그렸던 행복한 꿈은
어디로 간 걸까

다른 사람의 시선들을
온종일 신경 쓰느라
정작 나를 바라보지 못했던 시간

My Wonderland
나의 바람들을 그려보는 거야
My Wonderland
그 어떤 꿈들도 다 이뤄질 거야

Ah-

바삐 움직이는 세상에
나만 홀로 멈춰 버린 기분
하지만 올 거야 나를 보여줄 그때

My Wonderland
나의 바람들을 그려보는 거야
My Wonderland
그 어떤 꿈들도 다 이뤄질 거야

My Wonderland
지금껏 달려온 나를 믿으며
My Wonderland
원하는 색깔로 다 이뤄질 거야

Ah-"
내 인생은 나의 것,91,김현준,"내인생은 나의 것 내 인생은 나의 것
그냥 나에게 맡겨 주세요
내 인생은 나의 것 내 인생은 나의 것
나는 모든 것 책임 질 수 있어요
사랑하는 부모님
부모님은 나에게
너무도 많은것을 원하셨어요
때로는 감당하기 어려웠지만
따라야 했었지요
가지말라는 곳엔 가지 않았고
하지말라는 일은 삼가했기에
언제나 나는 얌전하다고
칭찬받는 아이였지요
그것이 기쁘셨나요
화초처럼 기르시면서
부모님의 뜻대로 된다고 생각하셨나요
그러나 이젠 말하겠어요
부모님은 사랑을 다 주셨지만
나는 아직도 아쉬워 하는데
이렇게 그늘진 나의 마음을
그냥 버려두지 마세요
내 인생은 나의 것 내 인생은 나의 것
그냥 나에게 맡겨 두세요
내 인생은 나의 것 내 인생은 나의 것
나는 모든것 책임질 수 있어요

부모님이 부모님이 살아오신 그 길이
나의 인생은 될 수 없어요
시대는 언제나 가고 가는 것
모든 것은 달라졌어요
부모님의 어린 시절을
다시 한번 돌아보세요
그때는 아쉬운 마음이 없으셨나요
나는 이미 알고 있어요
부모님이 말하는 그 모든것이
사랑인줄을 나는 알아요
그러나 내가 원하는 것도
부모님은 알아주세요
내 인생은 나의 것 내 인생은 나의 것
그냥 나에게 맡겨주세요
내 인생은 나의 것 내 인생은 나의 것
나는 모든 것 책임질 수 있어요
내 인생은 나의 것 내 인생은 나의 것
그냥 나에게 맡겨주세요
내 인생은 나의 것 내 인생은 나의 것
나는 모든 것 책임질 수 있어요"
Starry Night,"2,666",스탠딩 에그,"한 번도 본 적 없는
별하늘 가득한 밤
한참을 바라보네 아무런 말없이
별 하나 떨어지면 기도를 하기로 해
서로를 꼭 안고서 기다리기로 해
너는 내 꿈속으로 나는 네 꿈속으로
오늘 밤 같은 꿈에 서있어
here we are close to star
이대로 그대와
영원히 머물고 싶은 걸
here we are close to star
끝없이 가득한
별하늘 그리고 너와 나
너는 내 꿈속으로 나는 네 꿈속으로
오늘 밤 같은 꿈에 서있어
here we are close to star
이대로 그대와 영원히 머물고 싶은 걸
here we are close to star
끝없이 가득한 별하늘 그리고 너와 나
별 쏟아지는 밤하늘 끝에다
넌 어떤 바램들을 새기고 있을까
starry night"
아름다운 것들,282,양희은,"꽃잎 끝에 달려있는
작은 이슬방울들 빗줄기
이들을 찾아와서
음 어디로 데려갈까
바람아 너는 알고 있나
비야 네가 알고 있나
무엇이 이 숲 속에서
음 이들을 데려갈까
엄마 잃고 다리도 없는
가엾은 작은 새는
바람이 거세게 불어오면
음 어디로 가야 할까
바람아 너는 알고 있나
비야 네가 알고 있나
무엇이 이 숲 속에서
음 이들을 데려갈까
모두가 사라진 숲에는
나무들만 남아있네
때가 되면 이들도 사라져
음 고요만이 남겠네
바람아 너는 알고 있나
비야 네가 알고 있나
무엇이 이 숲 속에서
음 이들을 데려갈까
바람아 너는 알고 있나
비야 네가 알고 있나
무엇이 이 숲 속에서
음 이들을 데려갈까
음 이들을 데려갈까"
가시리,60,양하영,"가시리 가시리잇고
바리고 가시리잇고
날러는 엇디 살라하고
바리고 가시리잇고
잡사와 두어리마나난
션하면 아니올셰라
셜온님 보내옵나니
가시난닷 도셔오셔서
얄리얄리 얄라셩
얄리얄리 얄라셩
얄리얄리얄리 얄라리
얄리얄리 얄라셩
살어리 살어리랏다
청산에 살어리랏다
머루랑 다래랑 먹고
청산에 살어리랏다
청산 별곡이야
청산에 살어리랏다
머루랑 다래랑 먹고
청산에 살어리랏다
얄리얄리 얄라셩
얄리얄리 얄라셩
얄리얄리얄리 얄라리
얄리얄리 얄라셩
얄리얄리 얄라셩
얄리얄리 얄라셩
얄리얄리얄리 얄라리
얄리얄리 얄라셩
얄리얄리 얄라셩
얄리얄리 얄라셩
얄리얄리얄리 얄라리
얄리얄리 얄라셩
얄리얄리 얄라셩
얄리얄리 얄라셩
얄리얄리얄리 얄라리
얄리얄리 얄라셩"
선선한,154,연우 (Yeonwoo),"선선한 바람 부는 아침에
기지개를 켜고 일어나서
어젯밤 못 다 정리한 맘을
이불 맡에 털어놓는다
커지는 마음 덜어내고
어리숙한 나를 쳐다보다
무언갈 해내지 않아도
되는 오후를 걸어본다
내 맘을 담아냈던 매일
오늘만은 아무렇지 않은
기대하지 않는, 걱정하지 않는
하루가 매일 같기를
음
무거운 숨을 덜어내고
세상의 소음 다 걷어내고
무언갈 해내지 않아도
되는 오후를 걸어본다
내 맘을 담아냈던 매일
오늘만은 아무렇지 않은
기대하지 않는, 걱정하지 않는
하루가 매일 같기를
음
선선한 바람 부는 아침에"
진아의 꿈,55,김만수,"아카시아 파란잎 입에물고
무지개뜬 하늘을 바라보던
진아의 그 꿈많은 눈빛이
잊어지지 않아서 걷는다
꿈많아 외로운 소녀 진아는
꿈많아 떠나간 소녀 진아는
먼훗날 언젠가 나에게 돌아와
기나긴 꿈속의 얘기하겠지
하얀손을 흔들어 안녕하며
행복하자 우리는 행복하자
남겨놓은 진아의 그말이 생각이나
오솔길 걷는다
꿈많아 행복한 소녀 진아는
꿈찾아 떠나간 소녀 진아는
먼훗날 언젠가 나에게 돌아와
행복한 꿈속의 얘기하겠지

안개속에 기적이 울릴때면
나를 찾아 행여나 오시려나
기다리는 마음에 그려보는
진아의 그 활짝핀 그 미소
밀리는 안개속 가로등 밑에
밀리는 안개속 모퉁이 길에
진아의 모습이 있을것 같아서
자꾸만 걷는다 옛길 따라서
자꾸만 걷는다 옛길 따라서
자꾸만 걷는다 옛길 따라서"
