Title,Likes,Singer,Lyrics
나는 아픈 건 딱 질색이니까,"98,752",(여자)아이들,"오늘도 아침엔 입에 빵을 물고
똑같이 하루를 시작하고
온종일 한 손엔 아이스 아메리카노
피곤해 죽겠네

지하철 속 이 장면 어제 꿈에서 봤나
아참 매일이지 지나치고
바쁜 이 삶에 그냥 흔한 날에
그 애를 보고 말야

평온했던 하늘이 무너지고
어둡던 눈앞이 붉어지며
뭔가 잊고 온 게 있는 것 같아
괜히 이상하게 막 울 것만 같고
그냥 지나치는 게 나을 것 같아
나는 생각은 딱 질색이니까

카페인으로 잡은 정신은 빠졌고
하루 종일 신경 쓰여 토할 것 같아
저녁이 돼도 배고픔까지 까먹고
그치 이상하지 근데 말야 있잖아

처음 본 순간 뭐라 할까 그립달까
나도 웃긴데 말야

평온했던 하늘이 무너지고
어둡던 눈앞이 붉어지며
뭔가 잊고 온 게 있는 것 같아
괜히 이상하게 막 울 것만 같고
그냥 지나치는 게 나을 것 같아
나는 생각은 딱 질색이니까

오랫동안 나를 아는
슬픈 표정을 하고 Oh
흔적 없는 기억 밖
혹 과거에 미래에 딴 차원에 세계에
1 2 3 4 5 6 7 8

평온했던 하늘이 무너지고
어둡던 눈앞이 붉어져도
다시 놓쳐버리는 것만 같아
괜히 이상하게 막 울 것만 같고
그냥 지나치는 게 나을 것 같아
나는 생각은 딱 질색이니까

아냐 지나치는 게 나을 것 같아
나는 아픈 건 딱 질색이니까"
첫 만남은 계획대로 되지 않아,"103,794",TWS (투어스),"Ay ay ay ay ay

거울 속에 내 표정 봐 봐
느낌 So good 기다려온 D-day
연습했던 손든 인사도 그대로 하면 돼
Hairstyle check하고 한 번 Turn around

발걸음은 매일 걷던 그 길로
계획은 완벽
빨리 말 걸어보고 싶어, Hey

Woo 문 앞에서 셋을 세어본다, Yeh

(셋, 둘, 하나)

첫 만남은 너무 어려워
계획대로 되는 게 없어서
첫 만남은 너무 어려워
내 이름은 말야

Hey,
안녕, 첫 마디를 건넬 때
주변 소린 Canceled
네 말소리는 Playlist

Yeh,
질문은 나의 용기, 알려줘 너의
“이름이 뭐야?”

너와 내 거리는 세 걸음 남았어, Yeh

(셋, 둘, 하나)

첫 만남은 너무 어려워
계획대로 되는 게 없어서
첫 만남은 너무 어려워
내 이름은 말야

이 순간, Feels so wonderful
조금은 뚝딱거려도
어색한 인사까지도
너와 나의 첫 만남

우리의 사이 Beautiful
내일도 내일모레도
기억해, 영원히 반짝일 순간

Wait wait!

Na na na-

이렇게 만나서 반가워
내일 또 봐 안녕"
Magnetic,"34,152",아일릿(ILLIT),"Baby
I’m just trying to play it cool
But I just can’t hide that
I want you

Wait a minute 이게 뭐지?
내 심장이 lub-dub
자꾸만 뛰어

저 멀리서도 oh my gosh!
끌어당겨 you’re my crush!
초능력처럼

거대한 자석이 된 것만 같아 my heart
네 모든 게 내 맘에 달라붙어버려 boy

We’re magnetized 인정할게
This time I want

You You You You like it’s magnetic
U U U U U U U U super 이끌림
You You You You like it’s magnetic
U U U U U U U U super 이끌림

BAE BAE BAE BAE BAE BAE BAE BAE BAE
Dash-da-da Dash-da-da Dash-da
Like it’s magnetic
BAE BAE BAE BAE BAE BAE BAE BAE BAE
Dash-da-da Dash-da-da
Baby don’t say no

정반대 같아 our type
넌 J 난 완전 P
S와 N 극이지만
그래서 끌리지

내가 만들래 green light
여잔 배짱이지
So let’s go let’s go
Let’s go let’s go

숨기고 싶지 않아 자석 같은 my heart
내 맘의 끌림대로 너를 향해 갈게 boy

We’re magnetized 인정할게
This time I want

You You You You like it’s magnetic
U U U U U U U U super 이끌림
You You You You like it’s magnetic
U U U U U U U U super 이끌림

No push and pull
전속력으로 너에게 갈게
(In a rush in a rush)
Our chemistry
난 과몰입해 지금 순간에
(Baby you’re my crush you’re my crush)

No push and pull
네게 집중 후회는 안 할래
(Gonna dash gonna dash)
Never holding back
직진해 yeah
This time I want

You You You You like it’s magnetic
U U U U U U U U super 이끌림
You You You You like it’s magnetic
U U U U U U U U super 이끌림

BAE BAE BAE BAE BAE BAE BAE BAE BAE
Dash-da-da Dash-da-da Dash-da
Like it’s magnetic
BAE BAE BAE BAE BAE BAE BAE BAE BAE
Dash-da-da Dash-da-da
Baby don’t say no"
Love 119,"91,659",RIIZE,"1 2 Let’s go

뺏긴 My heart
that girl’s a killer
Love so good
feels like a thriller
시작됐지
이건 Emergency (Vroom)
1-1-9 1-1-9
Save my life save my life
She sets me free
이건 Emergency (Love)

너는 마치 Flashlight
자꾸만 시선을 뺏겨
많은 사람 속에서
순간 너만 보였어
다들 말하지
Love is so sweet
아직 난 뭔지 모르겠지
Right now

처음 느낀 이상한 떨림
이건 진심 I’m not kidding
친구이기엔 더
Deeper deeper deeper
어쩌면 Love song yah

뺏긴 My heart
that girl’s a killer
Love so good
feels like a thriller
시작됐지
이건 Emergency (Vroom)
1-1-9 1-1-9
Save my life save my life
She sets me free
이건 Emergency (Love)

이상해 나 What do I do
너에 관한 건 뭐라도
신경 쓰여 난 All day
넌 만들어 My day
이 감정은 Someday
난 알고 싶어
귓가에 울린
Love is so sweet
멈출 수 없이
빠져버린 나야

네가 자꾸 궁금해 왜지
말도 안 돼
I’m not kidding
시간이 갈수록
깊어 깊어 깊어져
가는 나잖아

뺏긴 My heart
that girl’s a killer
Love so good
feels like a thriller
시작됐지
이건 Emergency (Vroom)
1-1-9 1-1-9
Save my life save my life
She sets me free
이건 Emergency (Love)

이건 뭘까
You know what I’m talking about
왜 이렇게
나의 맘이 어지러운 걸까
이 모든 게
내가 널 좋아하는 건가
난 그럼 더 이상
끌고 싶지 않아
다른 건
Nothing but
I want it all with you

뺏긴 My heart
that girl’s a killer
Love so good
feels like a thriller
시작됐지
이건 Emergency (Vroom)
1-1-9 1-1-9
Save my life save my life
She sets me free
이건 Emergency (Love)"
Perfect Night,"112,707",LE SSERAFIM (르세라핌),"Me and my girlies
We gon party til its early
Got me feeling otherworldly tonight
Caught in some traffic
But the radio is blasting
Drop a red light and we’ll sing it goodbye
Ooh
By the morning, feel like magic
I got all I need you know nothing else can beat
The way that I feel when I’m dancing with my girls
Perfect energy yeah we flawless yeah we free
There’s no better feeling in the whole wide world
Tonight
I don’t care what’s wrong or right
Don’t start blowing up my line
I’d care at 11:59
But nothing counts after midnight
Come and take a ride with me
I got a credit card and some good company
Some come through
Make the fit real good
Why you still stuck on loading
Waiting on you babe
Ooh
Night to morning, live slow motion
I got all I need you know nothing else can beat
The way that I feel when I’m dancing with my girls
Perfect energy yeah we flawless yeah we free
There’s no better feeling in the whole wide world
Tonight
I don’t care what’s wrong or right
Don’t start blowing up my line
I’d care at 11:59
But nothing counts after midnight
Ooh
By the morning, feel like magic
I got all I need you know nothing else can beat
The way that I feel when I’m dancing with my girls
Perfect energy yeah we flawless yeah we free
There’s no better feeling in the whole wide world
Tonight
I don't care what’s wrong or right
Don’t start blowing up my line
I’d care at 11:59
Don’t start blowing up my line"
Drama,"84,140",aespa,"Ya Ya I’m the Drama
Ziggy ziggy zag I’m new
'Cause I go biggie biggie bad It’s true
날카로운 눈 안에 비친 Toxic
내 본능을 당겨 Zoom
Hold up, What? Oh my god
You say, What? 다쳐 넌
You better watch out
우린 이미 거센 Boom
달려가고 있어 Vroom
I li-li like me when I roll
Li-li-like me when I’m savage
Li-li-like me when I go
Li-li-likie when I baddest
Hold up 빛을 따라서
달아 다 다 달려나가 Run
Go Finally Ra ta ta ta
다음 세계를 열어 난
1, 2 It’s time to go
후회 없어 난
맞서 난 깨버렸지
날 따라서 움직일 Rules
손끝으로 세상을 두드려 움직여
Yeah I’m coming
I bring I bring
all the Drama-ma-ma-ma
I bring Drama-ma-ma-ma
With my girls in the back
Girls in the back
Drama
Trauma-ma-ma-ma
I break Trauma-ma-ma-ma
With MY WORLD in the back
나로 시작되는 Drama
(All that)
Drama-ma-ma-ma
(Bring it that)
Drama-ma-ma-ma
With my girls in the back
Girls in the back Yeah
I break
Trauma-ma-ma-ma
(We them)
Trauma-ma-ma-ma
With MY WORLD in the back
나로 시작되는 Drama
Drama-ma-ma-ma
Drama-ma-ma-ma (3, 2, 1)
Drama-ma-ma
You know I’ve been kind of like
1, 2, 3 깜짝 놀랄 다음 Scene
키를 거머쥔
주인공은 나
4, 3, 2 Going down
쉽게 Through
Deja Vu 같이
그려지는 이미지
날 굳이 막지 말아
이건 내 Drama
도발은 굳이 안 막아
Uh I’m a stunner
1, 2 It’s time to go
타오르는 날 (타는 날)
느껴 난 And I love it
새로워지는 Rules
난 눈을 떠 (두 눈을 떠)
시작된 걸 (넌) 알아 (Now)
It’s coming
I bring I bring
all the Drama-ma-ma-ma
I bring Drama-ma-ma-ma
With my girls in the back
Girls in the back
Drama
Trauma-ma-ma-ma
I break Trauma-ma-ma-ma
With MY WORLD in the back
나로 시작되는 Drama
Into the REAL WORLD
다가온 Climax
두려워하지 마
You and I
함께 써 내려가는 Story
날 가로막았던 No
한계를 뛰어 넘어 Every day
Oh Imma make it my way
Out of the way Yeah
I bring I bring
all the Drama-ma-ma-ma
I bring Drama-ma-ma-ma
With my girls in the back
Girls in the back
Drama
Trauma-ma-ma-ma
I break Trauma-ma-ma-ma
With MY WORLD in the back
나와 함께하는 Drama
(All that)
You know, I’m savage
거침없는 Baddest
나를 둘러싼 Thrill
거친 여정 속의 Drama
(Drama-ma-ma)
내가 깨트릴 모든 Trauma
(Drama-ma-ma)
지금 시작되는 Drama
Ya Ya 너로 시작될 MY Drama"
I AM,"212,185",IVE (아이브),"다른 문을 열어 따라 갈 필요는 없어
넌 너의 길로 난 나의 길로 음
하루하루마다 색이 달라진 느낌
밝게 빛이 나는 길을 찾아
I’m on my way 넌 그냥 믿으면 돼
I’m on my way 보이는 그대로야
너는 누군가의 Dreams come true
제일 좋은 어느 날의 데자뷰
머물고픈 어딘가의 낯선 뷰
I’ll be far away
That’s my
Life is 아름다운 갤럭시
Be a writer, 장르로는 판타지
내일 내게 열리는 건 big big 스테이지
So that is who I am
Look at me
Look at me
Look at me
now
어제랑 또 다른 짜릿한 나
두려운 모든 게 설레이게
I’m in sky high, OMG
사소한 건 다 아득해져 와
Look at me now
Look at me now
I’m on fire
I’m on my way 넌 그냥 믿으면 돼
I’m on my way 보이는 그대로야
너는 누군가의 Dreams come true
제일 좋은 어느 날의 데자뷰
머물고픈 어딘가의 낯선 뷰
I’ll be far away
That’s my
Life is 아름다운 갤럭시
Be a writer, 장르로는 판타지
내일 내게 열리는 건 big big 스테이지
So that is who I am
어느 깊은 밤 길을 잃어도
차라리 날아올라 그럼 네가
지나가는 대로 길이거든
1, 2, 3
1, 2, 3
1, 2, 3
Fly up
I hope you’d be someone’s
dreams come true
제일 좋은 어느 날의 데자뷰
머물고픈 어딘가의 낯선 뷰
I’ll be far away
That’s my
Life is 아름다운 갤럭시
Be a writer, 장르로는 판타지
내일 내게 열리는 건 big big 스테이지
So that is who I am"
Seven (feat. Latto) - Clean Ver.,"207,171",정국,"Weight of the world on your shoulders
I kiss your waist and ease your mind
I must be favored to know ya
I take my hands and trace your lines

It’s the way that we can ride
It’s the way that we can ride
Think I met you in another life
So break me off another time

You wrap around me
and you give me life
And that’s why night after night
I’ll be lovin’ you right

Monday Tuesday Wednesday
Thursday Friday Saturday Sunday
Monday Tuesday Wednesday
Thursday Friday
Seven days a week
Every hour every minute every second
You know night after night
I’ll be lovin’ you right
Seven days a week


You love when I jump right in
All of me I’m offering
Show you what devotion is
Deeper than the ocean is
Wind it back I’ll take it slow
Leave you with that afterglow
Show you what devotion is
Deeper than the ocean is

It’s the way that we can ride
It’s the way that we can ride
Think I met you in another life
So break me off another time

You wrap around me
and you give me life
And that’s why night after night
I’ll be lovin’ you right

Monday Tuesday Wednesday
Thursday Friday Saturday Sunday
Monday Tuesday Wednesday
Thursday Friday
Seven days a week
Every hour every minute every second
You know night after night
I’ll be lovin’ you right
Seven days a week

Monday Tuesday Wednesday
Thursday Friday Saturday Sunday
Monday Tuesday Wednesday
Thursday Friday
Seven days a week
Every hour every minute every second
You know night after night
I’ll be lovin’ you right
Seven days a week

Tightly take control
Tightly take his soul
Take your phone
and put it in the camera roll
Leave them clothes at the door
What you waiting for,
better come and hit ya goals
He jump in it both feet
Going to the sun-up,
we ain’t getting no sleep
Seven days a week,
seven different sheets, seven different angles
I can be your fantasy

Open up say ahhh
Come here baby
let me swallow your pride
What you on I can match your vibe
Hit me up and I’mma Cha Cha Slide

You make Mondays feel like weekends
I make him never think about cheatin’
Got you skipping work and meetings,
let’s sleep in

Seven days a week
Monday Tuesday Wednesday
Thursday Friday Saturday Sunday
Monday Tuesday Wednesday
Thursday Friday
Seven days a week
Every hour every minute every second
You know night after night
I’ll be lovin’ you right
Seven days a week

Monday Tuesday Wednesday
Thursday Friday Saturday Sunday
Monday Tuesday Wednesday
Thursday Friday
Seven days a week
Every hour every minute every second
You know night after night
I’ll be lovin’ you right
Seven days a week"
Super Lady,"33,220",(여자)아이들,"I am the top, super lady (Oh)
I never lose yeah
(’Cause got a super power)
I am a god, super lady (Oh)
I NEVER DIE 봤지? 모두 Follow

Boy boy boy 거기 비켜 어서
우린 Love love love 따위 하긴 바빠
여긴 War war war 자비 따윈 없어
날 막는다면 Slay it (Lock it)

남자들의 뻔한 가식 (Drop it)
억 소리 나는 그 사치
영웅은 조금의 흔들릴 틈 없이
Ready to shoot

입술이 다 번져도
그 어떤 놈보다 멋지게
(누구보다 멋지게)
웃어 보이지 더 거칠게
독하다 해 That’s my name
I never bow on my way

Lady lady
Call me ‘Super Lady’
Lady lady

Follow, ladies
Onward, ladies
Super ladies
하나 둘 셋

Mama said 넌 언젠가 세상을 망칠 악
그 겁에 질린 눈빛도 참 못됐으니까

그 눈빛은 패왕색 패기 여왕의 자질 The Baddie
100이면 100이 다 기절한 각성에 겁먹은 Devil
그래 뵈는 게 없거든 Do you know?

불길이 다 번져도
그 어떤 놈보다 멋지게
(누구보다 멋지게)
뛰어들 테지 더 뜨겁게
독하다 해 That’s my name
I never bow on my way

Lady lady
Call me ‘Super Lady’
Lady lady

Follow, ladies
Onward, ladies
Super ladies

Let’s go on fearless
We came to take a win

Back it up (Oh)
Back it up (Oh-oh)
Back it up (Oh)
Back it up
Everybody say

누가 우릴 부른다면 Yes sir, super fast
누가 우릴 막는다면 Yes sir, supernatural
누가 봐도 우린 Yes, stronger than Superman
Yes sir, I got super power
Yes sir, I’m a"
MANIAC,"51,081",VIVIZ (비비지),"힘껏 내팽개친 Roses
말론 안 통하지 역시 어쩜 이리 안 변해
인정 같은 소린 됐고
이쯤에서 끝내 Let go 인내심도 Out of space

얼룩지는 Red carpet 그렇게 또 Fade away
치워줘 Scarred face 끝까지 신경 쓰여 Huh

This love is maniac maniac maniac
But I can’t killin’ it killin’ it killin’ it
사랑 말고 다른 말론 설명할 수 없는 멜로
It’s maniac maniac maniac

자극적 이끌림 잔인해진 Orbit
지겨운 Love-phobic yeah
그래 솔직하자 넌 지금 즐긴 거야

얼음처럼 날 선 말 부서질 듯 던져 막
심장을 푹 찌르고 또 Melted
완벽하게 Cliche 웃기지도 않는 꼴
갈피 없이 뒤집히는 Magnet

답이 없는 Zero-sum game 뭐가 문제였던 건데
결국 또 미뤄진 End 이것도 재주야 Perfect

This love is maniac maniac maniac
But I can’t killin’ it killin’ it killin’ it
사랑 말고 다른 말론 설명할 수 없는 멜로
It’s maniac maniac

Crystal처럼 조각난 Lighting 그 아래 선 우린
Living in a moment Bloody truth
짓이겨져 물든 Rose 결국 벗어던진 Mask
말해 What you wanna do Woo woo ah

This love is maniac maniac maniac
And I’m okay with it okay with it okay with it
끝내 너와 나마저도 이해할 수 없는 멜로
It’s maniac maniac maniac

화려한 이 Tragic 이거 사랑 맞지
영원할 Scenery yeah
그래 솔직하자 우리는 즐긴 거야

Never ever
It’s coming down It’s coming down
It’s coming down
Maniac
Yeah yeah woo woo woo"
