Title,Likes,Singer,Lyrics
이별길 (GOODBYE ROAD),"106,324",iKON,"goodbye goodbye 이별을 알았다면
그토록 사랑하지 말 걸 그랬나 봐요

(check it out yo)

무덤덤해져 가는 서로의 감정 때문에 상처를
주는 것조차도 이제 무덤덤한 우리
이미 사랑은 떠났고 정밖에 남지 않았어
그냥 그런가 하고 뜨뜻미지근 해졌지
(where you at)
관심은 집착이 되어 버리고
(where you at)
의심은 거의
밥 먹듯이 해 너와 내가 쌓았던 신뢰란 성은 무너지고
넌 이제 이별길을 걸으며 새사람을 찾지

같이 울기 위해 널 만난 건 아닌데
(눈물이 난다)
상처받기 위해 쌓은 추억이 아닌데
(잊혀져 간다)
너무 쉽게 또 한 사람과 남이 돼
고작 이별하기 위해 널 사랑한 건 아닌데
(익숙해져 간다)


잘 가요 그 험한 이별길을
나를 떠나 부디 꽃길만 걸어요

조심히 가요 외로운 이별길을
가는 길에 나의 모든 기억을 버려요

(check it out)

지나간 기억 속에서 산다는 건
그 얼마나 무기력한 외로움일까
그 기억 속에서조차 잊혀진다는 건
또 어떤 순간보다 잔인한 아픔인가
죽도록 사랑했건만 끝내 나 죽지 않았네
숨을 깊게 들이마셔도 내뱉으면 한숨이 돼
누구나 하는 이별이니 우리 슬퍼 말아요
난 또 그대 닮은 듯 아닌 사람 찾아갈게요

같이 울기 위해 널 만난 건 아닌데
(눈물이 난다)
상처받기 위해 쌓은 추억이 아닌데
(잊혀져 간다)
너무 쉽게 또 한 사람과 남이 돼
고작 이별하기 위해 널 사랑한 건 아닌데
(익숙해져 간다)

잘 가요 그 험한 이별길을
나를 떠나 부디 꽃길만 걸어요

조심히 가요 외로운 이별길을
가는 길에 나의 모든 기억을 버려요

(check it out)


goodbye goodbye 이별을 알았다면
그토록 사랑하지 말 걸 그랬나 봐요


goodbye goodbye 어차피 떠난다면
어떤 미련도 남지 않게 보란 듯이 살아요

(check it out)


잘 가요 어여쁜 내 사람아
나를 떠나 행복하게만 살아요

(행복하게만 살아요)

조심히 가요 가슴 아픈 사랑아
내 곁에 있을 때처럼 아프지 말아요

(그대 아프지 말아요)

나
나나나나나나
나나나나나나
나나나나나

나나나나
나
나나나나나나
나나나나나나
나나나나나

(check it out)"
사랑은 언제나 목마르다 (N번째 연애 X 이해리 (다비치)),"19,315",이해리 (다비치),"그렇게 많이 사랑한다 했는데
이제야 사랑을 알 것 같아요
부탁이 있어 제발 용서 마세요
오늘 난 당신을 버리려고 해
제발 얼굴을 들어봐요
나를 위해서 참아왔던 아픈
사랑으로 나를 잡아줘요
단 하나의 그 하나로
사랑하고 싶었던
그 아픈 약속과 눈물들이
가슴속 멍으로 남겠지만
난 떠나요
이제 돌아오지 못할 거예요
난 사랑에 목이 마르겠지요
그대는 항상 미안하다고 했죠
지금도 눈물을 참고 있나요
나를 위해 울지 마세요
나를 사랑하며 참아온 모든
이 상처를 오늘 다 버려요
단 하나의 그 하나로
사랑한다 했었던
그대의 약속과 눈물들이
다시 또 나를 울리겠지만
괜찮아요
날 위해 슬퍼하지 마세요
이젠 나를 사랑하지 마요
오직 하나의 그 하나로
사랑하자 했었던
우리의 약속과 추억들이
가슴속 상처로 남을 거야
난 떠나요
이제 돌아오지 못할 거예요
난 사랑에 목이 마르겠지요"
눈이 내리는 새벽 창가에서,"2,116",경서예지,"온 세상 새하얗게 눈이 내려요
울적한 내 마음을 달랠 길 없죠

가만히 창문을 열어
혹시 그대 닮은 사람이 지날 것 같아
바라보고 또 바라보죠


떠난 그대 그리워 울던 밤
잠 못 이루었던 그 오랜 밤

시린 계절 돌아오면 더욱 보고 싶어

눈이 내리는 새벽 창가에서
맥주 한 캔을 마시면서
좋았던 기억들만 떠올리며
혼자 우두커니 앉아 있어요

창밖은 너무 눈부신데
여전히 눈물이 나
내 가슴은 그대 생각만
사랑했던 그대 생각만

나처럼 지금 눈을 보고 있나요
이제는 나란 사람 다 잊었겠죠

창문에 입김을 불어
아픈 그대 이름 세 글자
셀 수도 없이 적어보고 또 적어보죠

떠난 그대 그리워 울던 밤
잠 못 이루었던 그 오랜 밤

시린 계절 돌아오면 더욱 보고 싶어

눈이 내리는 새벽 창가에서
맥주 한 캔을 마시면서
좋았던 기억들만 떠올리며
혼자 우두커니 앉아 있어요

창밖은 너무 눈부신데
여전히 눈물이 나
내 가슴은 그대 생각만
사랑했던 그대 생각만

하얀 거리 위에 눈송이 같은 연인들
그 틈에 나도 그대와
두 손을 꼭 잡고 걷고 싶어

그 날처럼 눈 오는 새벽 창가에서
그대의 품에 안기어서
내 귀에 불러주던 그 노래를
다시 한번 들려 줄 수 없나요

사람들 모두 행복한데
이렇게 나 혼자만
슬픈가 봐 그대 추억에

잊지 못할 추억에

눈이 내리는 새벽 창가에서
맥주 한 캔을 마시면서
좋았던 기억들만 떠올리며
혼자 우두커니 앉아 있어요

창밖은 너무 눈부신데
여전히 눈물이 나
내 가슴은 그대 생각만
사랑했던 그대 생각만

그대도 날 그리나요

그렇다면 다시 와 줘요
내 곁으로 돌아와 줘요"
첫사랑 (feat.SOLE(쏠)),"18,154",정준일,"설명이 어려운 밤
집에 가던 버스를 기다리다
문득 네 생각이나서
멍하니 창문 밖을 바라보다
혹시 너도 내 생각 하고 있을까
전화를 해볼까
아무렇지도 않게
조금 더 친해질거야
어제보다 잘 해줄거야
티나지 않게 너 모르게
더 가까이 날 보여줄거야
내일은 좀 더 날 알아볼 수 있게
조금 느리게 점점 더 가까이
다가가도 되겠니
같은 반 옆자리에
앉았던 날을 기억하니
그림 그리길 좋아했던
너의 연습장을 보여주던 그때
가까이 볼수록 두근대던 맘을
모른척 했던 건
내겐 다 처음이라서
조금 더 친해질거야
어제보다 잘 해줄거야
티나지 않게 너 모르게
더 가까이 날 보여줄거야
내일은 좀 더 날 알아볼 수 있게
조금 느리게 점점 더 가까이
다가가도 되겠니
우연히 너와 같은 시간에
함께 집에 오던 길
어색하게 네 손을 스칠때
마침 내리던 눈을 핑계삼아
널 안을때
나는 하늘을 나는 것만 같아
있잖아 내가 널 사랑해
꿈에서라도
먼저 고백해준다면
얼마나 좋을까
언젠간 너도 날 사랑할지 몰라
첫눈보다 더 기다렸던
너와 손 잡을지 몰라"
사랑했던 우리가 어떻게 친구가 되니,"16,481",송하예,"넌 잘 지냈니
오랜만야 익숙한 네 목소리
넌 아무렇지도 않게 내게 인사해
꽤 시간이 흘러서 넌 편해졌나봐
나만 널 잊지를 못했나봐
남 얘기하듯이 그때 그랬지 하며
내가 좋아했었던 그 웃음 지으면
어떡해
사랑했던 우리가 어떻게 친구가 되니
너는 행복했는지 잊었나봐
내맘 흔들지 말고
내가 좋아한 웃음 짓지말고
그냥 지나가
난 너와는 달라
우리가 어떻게 친구가 되니
다른 사람 생겼냐고 내가 물었을땐
이미 넌 대답을 했던것 같아
남 얘기하듯이 그때 그랬지 하며
날 사랑할때의 그 눈빛 으로 날 보면
어떡해
사랑했던 우리가 어떻게 친구가 되니
너는 행복했는지 잊었나봐
내맘 흔들지 말고
내가 좋아한 웃음 짓지말고
그냥 지나가
난 너와는 달라
우리 헤어지던 날까지 싸웠었지만
좋았던 기억이 많아서
이렇게 널 그리워 하나봐
난 힘들어 편하게
널 대할 자신이 없어
우린 미치도록 사랑했잖아
내가 좋아한 웃음 지으며
내맘 흔들지 말고
가끔 이라도 전화 하지마
난 안돼 친구가
난 너와는 달라
우리가 어떻게 친구가 되니"
Be There,"36,327",CHEEZE (치즈),"눈이 감기는 나른한 오후
불어오는 봄바람에 문득
스쳐 지나간 그대 생각
지금쯤 뭐할까요
왠지 모르게 울적하던 날
기다린 그대 연락 한 통에
꽃처럼 피어난 내 얼굴에
미소가 번져요
be there be there be there
밤하늘 은하수로 와줘요
be there be there be there
눈부신 저 너머로
지금 날아와 줄 순 없냐고
장난스럽게 던진 말들과
귀여운 그대의 작은 투정
날 웃음짓게 해요
꿈 속에서도 우리 만날까
따뜻한 별들 속 한 가운데
먼저 찾아줘요 그대 품에
안기러 가볼까요
be there be there be there
밤하늘 은하수로 와줘요
be there be there be there
눈부신 저 너머로
be there be there be there
밤하늘 은하수로 와줘요
be there be there be there
눈부신 저 너머로
be there be there be there
밤하늘 은하수로 와줘요
be there be there be there
눈부신 저 너머로
눈부신 저 너머로"
너에게로 또 다시,"18,623",변진섭,"그 얼마나 오랜 시간을
짙은 어둠에서 서성거렸나
내 마음을 닫아 둔채로
헤매이다 흘러간 시간
잊고 싶던 모든 일들은
때론 잊은 듯이 생각됐지만
고개 저어도 떠오르는건
나를 보던 젖은 그 얼굴
아무런 말없이 떠나버려도
때로는 모진 말로
멍들이며 울려도
내 깊은 방황을
변함없이 따뜻한
눈으로 지켜보던 너
너에게로 또다시
돌아오기까지가
왜 이리 힘들었을까
이제 나는 알았어
내가 죽는날까지
널 떠날 수 없다는 걸
아무런 말없이 떠나버려도
때로는 모진 말로
멍들이며 울려도
내 깊은 방황을
변함없이 따뜻한
눈으로 지켜보던 너
너에게로 또다시
돌아오기까지가
왜 이리 힘들었을까
이제 나는 알았어
내가 죽는날까지
널 떠날 수 없다는 걸"
사랑 참...,"1,955",제이세라,"사랑합니다 그댈 사랑합니다
이 말 한마디 너무 어려웠죠
그런 내 모습에 그댄 예쁘게 웃었죠
마음 까지도 아름다운 사람
그댄 아직 모르나봐요
행복하라 하네요
내가 그댈 어찌 잊나요
그댄 내 사랑인데 내겐 한 사람인데
떠나 가려 하네요 어떡하죠
기다리면 될까요
혼자서라도 사랑하면 될까요
사랑 참 못됐네요
그대조차 눈물이겠죠 착한 사람이니까
내가 먼저 걱정 이겠죠
그댄 내 사랑인데 내겐 한 사람인데
떠나 가려 하네요 어떡하죠
기다리면 될까요
혼자서라도 사랑하면 될까요
사랑 참 못됐네요
미안한 일밖에 생각나지 않네요
그런 나라서 두고 가나요
그댄 내 사랑인데 내겐 한 사람인데
떠나 가려 하네요 어떡하죠
그리워도 될까요
그댄 없는데 살아가도 될까요
사랑 참 아프네요
사랑이 이런 건가요"
비오는 날 뭐해,"61,147",하은 (포맨),"쏟아 내리는 소나기처럼
이별은 피할 수 없나 봐
지금 흐르는 내 눈물처럼
너는 비가 되어 내려와
넌 비오는 날 뭐해 난 네 생각만 해
이 빗속에 네가 오는 날을 기다려
넌 비오는 날 뭐해 종일 네 생각에
외로워 비오는 날 넌 뭐해
Rainy day Rainy day
오늘처럼 비가 내리면
Rainy day Rainy day
너를 마주칠 것만 같아
비가 오는데 너는 왜 안 와
비도 오는데 너는 왜 안 와
다시 올 거란 비 소식처럼
아직 기다려 난 네 소식
눈에 흐르는 저 빗물처럼
너는 추억이 돼 내려와
넌 비오는 날 뭐해 난 네 생각만 해
이 빗속에 네가 오는 날을 기다려
넌 비오는 날 뭐해 종일 네 생각에
외로워 비오는 날 넌 뭐해
Rainy day Rainy day
오늘처럼 비가 내리면
Rainy day Rainy day
너를 마주칠 것만 같아
비가 오는데 너는 왜 안 와
비도 오는데 너는 왜 안 와
매일 난 널 기다려
Baby I'm walking in this rainy day
혹시 너 돌아올까 봐
기다리는데 너는 왜 안 와
기다려도 넌 대체 왜 안 와
내리는 이 비만큼
내 눈물의 개수를 셀 수가 있어
비오면 더 생각나 널 잊지 못한 난
내리는 이 비만큼 아직 널 사랑해
넌 비오는 날 뭐해 난 너만 생각해
이 슬픈 비오는 날 넌 뭐해
넌 비오는 날 뭐해"
If You,"78,696",에일리(Ailee),"일하는 사이 사이마다
니 생각이 나
건널목 앞에 설 때마다
난 너만 떠올라
Wooh 너란 공기는
내 숨이 가쁘게 그렇게 사라져 가
If you 내 사랑이 100이었다면
그 반을 남겨놓지 않았으면
내 곁에 아직까지 있을까
사랑은 하고 있을까 우린
다 주고 싶지 않아서가
아니었어 난
다만 시간이 필요했어
몇 번의 이별에
다친 내 기억에 다 주기 겁이 났어
If you 만약 내 사랑이 100이었다면
Wooh 그 반을 남겨놓지 않았으면
내 곁에 아직까지 있을까
사랑은 하고 있을까 우린
맘 속에 숨겨 둔 반쪽의 사랑
반까지 마저
꺼내 줄 수 있어 이제는
돌아와 줘 오늘은
If you 만약 내 사랑이 100이었다면
Wooh 그 반을 남겨놓지 않았으면
내 곁에 아직까지 있을까
사랑은 하고 있을까 우린
너란 곳에 살아보니까
다른 곳에서는 단 하루도
난 나로 살 수 없는 걸 안 되는 걸
다시 또 사랑한다면
그때도 니가 아니면
사랑은 못 해 나는"
너에게,"44,974",김민석,"너무 가까워져 마냥 좋을 땐
몰랐던 나의 마음들
이제야 알 것만 같은 내 마음속
너를 향한 그리움
기분 좋게 시간을 보냈던 거리도
나 혼자 걷는 거리는
왠지 부족하게만 느껴졌지
지금 다가가도 좋을까
혹시나 부담되진 않을까
우리라는 새로운 시작으로
함께 할 수 있을까
옆에 있어서 모르고 있던
내게는 소중한 사람
그게 너라는 걸 멀어진 뒤에야
나는 알게 된 거야
그러다 나 우연히 듣게 된 네 소식
너도 날 보고 싶어 한다고
나를 좋아하고 있었다고
지금 다가가도 좋을까
혹시나 부담되진 않을까
우리라는 새로운 시작으로
함께 할 수 있을까
소중한 마음을 돌볼 줄 몰랐던
그저 바보 같은 사람이라
생각해줬으면
너와 함께여서 즐겁던
날들을 그 순간들을
이제 알아 너 없인 절대
있을 수 없는 날들인 걸
다시 우리가 될 수 있다면
다시 널 웃게 해줄 수 있다면
내가 가장 사랑하는 너에게
용기 내어 다가갈게"
"간지럽게 (Feat. 다연, 건호, J.Fe)","17,505",열아홉,"지금 이 마음이
너에게로 전해진다면
또 말해볼까 아직 아닌가 하면서
또다시 나는 네게로 달려가
지금 이 마음이
너에게로 전해진다면
너도 내 맘과 같을까 또 떨려오는
내 맘을 아는 네가 좋아
간지럽게 간지럽게
설레이는 내 마음이
마냥 그렇게 싫진 않은데
간지럽게 간지럽게
내 귓가에 속삭여줘
너의 마음이 다 전해지도록 해줘
나는 네가 좋아 잠깐 stop
아니 말해볼까 접을까
말하긴 아직 나 설레서
떨리는 입술이 떨어지지 않아
뭐야 이게 뭐야
몰라 이런 기분 나 몰라
요즘 따라 기분이 정말 좋아 아아
올라간 입 꼬리 떨어지지 않고
간지럽게 간지럽게
설레이는 내 마음이
마냥 그렇게 싫진 않은데
간지럽게 간지럽게
내 귓가에 속삭여줘
너의 마음이 다 전해지도록 해줘
너 아닌척해도 나 숨기려 해도
넌 알고 있잖아
널 사랑하는 내 맘을
Alright 괜히 한번
뭔가 말하는 게 결심이 필요해
왜 또 작아지고 멍해지고
바보가 되는데
넌 뭔데 아 진짜로 아닌데 해봐도
네가 웃으면
그게 다 맞는 게 돼 맞는 게 돼
간지럽게 너무 간지럽게
나를 빤히 보면 나도 장담 못 해
비밀은 비밀일 때 더 매력이 있지만
새로 만들어보자고
우리 둘만의 비밀의 방
간지럽게 간지럽게
설레이는 내 마음을
이젠 더 이상 숨기지 않을래
하루하루 더할수록
커져가는 내 마음을
말해주는 너 그래서 네가 좋더라"
영화,"4,020",피아노맨,"사랑한다는 말로는 부족한
내 맘을 어떻게 표현을 해야 좋을까

너와 함께 보낸 1분 1초가 내겐 모자라
이 순간을 영원히 담기로 해

주인공은 너 하나면 돼
장르는 로맨스가 좋겠어

내 눈에 담은 네 모습들이 최고의 영화가 될 것만 같아

여기 봐봐, 너의 그 예쁜 미소 한 번 보여줘 봐, 사랑스러워
오늘의 여주인공다워

처음부터 이 영화는 예감이 좋았어. 모든 장면들이 빛나
다음 컷 바로 가자

슬픈 엔딩은 없을거야
행복한 여주인공뿐이야
내 눈에 담은 네 모습들이 최고의 영화가 될 것만 같아

여기 봐봐 너의 그 예쁜 미소 한 번 보여줘 봐, 사랑스러워
오늘의 여주인공다워

처음부터 이 영화는 예감이 좋았어. 모든 장면들이 빛나
다음 컷 바로 가자

너와 내가 입을 맞추면
아마 멋진 이 노래에 조명까지 켜질꺼야
이 영화의 명장면이야.
여태껏 기다려왔던
따스한 너의 온기 그대로 전해져.
시간아 잠깐 이대로 멈춰줄래

아무 말 없이 쳐다보는 네 눈빛에 너무 황홀한 그 장면이 끝나고 나면
그때는 내게 사랑한다고 말해줄래
너와 내 엔딩은 바로 그래야 할 것 같아"
넌 좋은 사람,"35,344",SG 워너비,"평생 살아가다 수 많은 인연
그 중에 너를 만난 건
어떤 말로도 어떤 표현도
전할 수 없어 난
가만히 널 바라보면서
너의 손을 잡고서
우리가 함께한 시간들로
너를 위한 노래할게
바라만봐도 넌 좋은 사람
행복해서 눈물 나는 사람
너는 나에게 전부가 되고
선물같은 하루를 주고
괜히 울컥해지는
눈물나는 날에는
언제나 내 곁에 기대어
넌 편히 쉬면 돼
때론 아플때마다
날 안아준 너로 인해 버텨냈어
별 볼 일 없던 하루가 왠지
특별해지니까
나의 품에서 오래오래
마음껏 사랑받길
한없이 너에게 주고 싶어
너를 안아주고 싶어 MY LOVE
바라만봐도 넌 좋은 사람
행복해서 눈물 나는 사람
너는 나에게 전부가 되고
선물같은 하루를 주고
괜히 울컥해지는
눈물나는 날에는
언제나 내 곁에 기대어
넌 편히 쉬면 돼
오랜 시간이 지나
내 옆에 미소 띤 한사람
너라면 좋겠어
나에겐 첫 사람 너이니까 약속해
I wanna love with you everyday
I`ll be there for you
별처럼 빛나는 그런 사람
나를 빛나게 만드는 사람
사랑 그대로의 사랑으로
너를 영원히 지켜줄게
세상에 소리쳐
너를 사랑한다는 그말
너라서 고마워
나에게 선물 같은 사람
내 곁에서 날 믿어주는 넌 좋은 사람"
밤하늘의 별을(Original),"23,462",임한별,"너의 집 앞에서 한참 동안 기다린 거야
네가 오는 길에 혹시나 마주칠까 봐
널 만나게 되면 어떤 얘길 먼저 꺼낼까
우연히 널 만난 것처럼 보여야 할 텐데
첫눈에 반해 널 사랑했어
어떻게 표현할지도 몰라
눈치도 없이 나의 심장만 두근거려
골목을 돌아서 네가 걸어오는 게 보여
준비한 선물과 편질 전해줘야 하는데
용기를 낸 순간 네 곁으로 다가갔지만
안녕이란 말만 하고서 지나쳐버렸네
첫눈에 반해 널 사랑했어
어떻게 표현할지도 몰라
눈치도 없이 나의 심장만 두근거려
너를 기다리다가 문득 행복한 상상이
현실이 되길 기도하니까
내 눈엔 너만 빛나고 있어 yes you
지금 고백할 거야 나를 받아줘
밤하늘의 별을 따서 너에게 줄래
너는 내가 사랑하니까 더 소중하니까
오직 너 아니면 안 된다고 외치고 싶어
그저 내 곁에만 있어줘 떠나지 말아 줘
그저 내 곁에만 있어줘 떠나지 말아 줘
바보처럼 돌아서던 내 모습 뒤로
내 이름을 부르는 목소리 바로 너였어
나와 함께하고 싶다는 그 말을 전하고
그렇게 우리의 사랑은 시작됐던 거야
라라라라 랄라라랄라
라라라 랄라라라라
라라라 랄랄라랄라 라랄랄라
내 곁에 있어줘
라라라라 랄라라랄라
라라라 랄라라라라
라라라 랄랄라랄라 라랄랄라"
녹슨 가슴,"18,888",먼데이 키즈 (Monday Kiz),"녹슨 가슴

가슴도 녹슬거야
오래 버려두면
너를 그리는 일 힘에 부쳐
손 뗄 날 올거야
기억도 해질거야
자꾸 쓰다보면
남아 있는 너를 지우다가
닳아 없어질거야
보낼게 그럴게
결국 이별일 사랑인데
이쯤 뒤도는게
더 나을테니
그게 옳은걸테니
그러니까
슬퍼하면 안돼
나처럼 무너지면 안돼
빚만 더 늘까봐
사랑한단 말조차
숨기는 날 봐서라도
웃어야 돼
힘이 들겠지만
웃는게 더 아프겠지만
세상에 태어나
니가 전부였었던
한 남잘 위해
한 남잘 위해서
믿을게 그럴게
나를 살게 한 사람인데
사랑한 걸로도
고마웠다고
그래 다행이라고
그러니까
슬퍼하면 안돼
나처럼 무너지면 안돼
빚만 더 늘까봐
사랑한단 말조차
숨기는 날 봐서라도
웃어야 돼
힘이 들겠지만
웃는게 더 아프겠지만
세상에 태어나
니가 전부였었던
한 남잘 위해
한 남잘 위해서
사랑한다는 이유로
참 많이 울렸나봐
이제 해줄 수 있는건
이별 뿐인가봐
그 뿐인가봐
잊어야 돼
보고 싶겠지만
미칠 듯 안고 싶겠지만
내 몹쓸 가슴에
두는것도 미안한
한 여잘 위해
한 여잘 위해서"
사랑한다 말할 걸,"1,021",이영현,"아무런 말 없이 떠난 너를 두고
이 밤이 지새도록 한참을 울었어

사랑한단 말도 없이
아픈 기억들로 남은 채
그렇게 밉게 날 떠나갔어

또 그렇게 계절이 하나씩 변할 때
그려나갈 추억의 공백이 느껴져

어떤 계절도 너 없인
아무런 의미가 없단 걸
아는 만큼 네가 더 아파와

사랑한다 말할 걸
떠나기 전에 말해줄 걸
아무리 너를 사랑한다
불러도 흩날려 그렇게

함께 지냈던
우리 추억에 남겨둔
지우고 버릴 아픔도
이제는 사랑한다 말할게

아무렇지 않은 듯 웃고 지냈어도
문득 생각난 너의 다정한 말들에

참고 지내온 날들이
한순간에 무너져 버리고
그렇게 난 또다시 울었어

사랑한다 말할 걸
떠나기 전에 말해줄 걸
아무리 너를 사랑한다
불러도 흩날려 그렇게

함께 지냈던
우리 추억에 남겨둔
지우고 버릴 아픔도
이제는 사랑한다 말할게

지나간 계절 속의
사랑했던 너의 말들로
나는 오늘도
하루를 겨우 버티곤 했어

널 지워보려 더 발버둥 쳐봐도

사랑한다 했었던
떠나기 전에 말했었던
너의 말들이 아직도 난
잊혀지지 않아 그렇게

너와 함께한 추억 가운데
가끔씩 내뱉은 서툴던 말도
이제는 사랑한다 말할게"
첫사랑,"32,407",Sondia,"처음 널 만나던 그 순간
숨이 벅차 오르던 기억
혹시 네가 들었을까봐
들켰을까봐 마음 졸이던 날 기억해
넌 참 목소리가 좋았어
같이 걸을 때 더 좋았어
그래 그럴 때가 있었어
가슴 시리게 사랑했었던 날 있었어
넌 나에게 매일 첫사랑
봄눈이 오듯 그렇게 나는 기다려
설레이던 그날도 취했었던 그 밤도
마음이 이상해 바람 불어올 즘이면
넌 나에게 매일 첫사랑
봄눈이 오듯 그렇게 나는 기다려
슬퍼 울던 그 날도 비틀대던 그 밤도
마음이 이상해
바람 불어올 즘이면 여전히
때로 사랑은 참 외로워
그래 삶이란 늘 어려워
알아 우리 함께 했던 날
가슴 시리게 사랑했었던 날 있었어
넌 나에게 매일 첫사랑
봄눈이 오듯 그렇게 나는 기다려
설레이던 그날도 취했었던 그 밤도
마음이 이상해 바람 불어올 즘이면
넌 나에게 매일 첫사랑
봄눈이 오듯 그렇게 나는 기다려
슬퍼 울던 그 날도 비틀대던 그 밤도
마음이 이상해
바람 불어올 즘이면 여전히"
여우야,"23,252",투개월,"창 밖엔 서글픈 비만 내려오네
내 마음 너무 안타까워
이제 다시 볼 수가 없기에
처음 만났던 그날도 비가 왔어
우산도 없이 마냥 걸었었지
너의 눈빛 촉촉히 빛났지
이 밤 너에게 주고 픈 노래
너만을 사랑하고 있다는걸
들어 줄 사람도 없이 빗속으로
흩어지네
너의 이름을 불러 보지만
닿을 수 없다는 걸 알고 있어
긴 밤을 꼬박 세우고 빗속으로
어느새 새벽이 오고 있어
한때는 너를 만나서 행복했어
그런 꿈 속에 빠져 있었지만
이런 아픔 느낄 줄 몰랐어
이별을 느낄때면 난 생각해봐
우리 사랑을 위한 시간인걸
너는 이런 내 맘을 아는지
이 밤 너에게 주고 픈 노래
너만을 사랑하고 있다는걸
들어 줄 사람도 없이 빗속으로
흩어지네
너의 이름을 불러 보지만
닿을 수 없다는걸 알고 있어
긴 밤을 꼬박 세우고 빗속으로
어느새 새벽이 오고 있어
이 밤 너에게 주고 픈 노래
너만을 사랑하고 있다는걸
들어 줄 사람도 없이 빗속으로
흩어지네
너의 이름을 불러 보지만
닿을 수 없다는 걸 알고 있어
긴 밤을 꼬박 세우고 빗속으로
어느새 새벽이 오고 있어"
둘만의 비밀로,"2,924",멜로망스,"외로워 가던 내 모습과
혼자서 간직해야만 했던 날들
당연한 듯 자연스레 다가와
우리 마음 닿았었던 시간들
사라져만 가던 기대와
한켠에 숨기고 싶었던 모습들
우연이 만들어 준 우리들로
어둡던 만큼 환하게 빛났죠

숨기고 싶었던 비밀들조차
소중했던 추억으로
사랑할 수밖에 없는 모습으로
우린 만난 거죠

다를 거라 생각했었던 서로가
너무 다른 모습이라던 우리였기에
지금에 와서야 서로여야만 하는 이유였죠

숨기고 싶었던 비밀들조차
소중했던 추억으로
사랑할 수밖에 없는 모습으로
우린 만난 거죠

차마 기대할 수 없던
이해조차 바랄 수 없던
숨겨온 내 모습 이해받고 있죠

애써 외면해 왔었던 아픔도
안아줄 이유가 됐죠
나만의 아픔들 모두
우리를 위한 길이 돼준 거죠

둘만의 비밀로"
금지된 사랑,"4,571",반하나,"울지 마 여기에 새겨진
우리 이름을 봐
소중한 초대장이 젖어버리잖아
슬퍼 마 너의 가족들이
보이지 않아도
언젠가 용서할 그날이 올 거야
내 사랑에 세상도 양보한 널
나 끝까지 아끼며 사랑할게
약속해 줘 서로만 바라보다
먼 훗날 우리 같은 날에 떠나
긴 세월 흐른 뒤 돌아보아도
아무런 후회 없도록
단 하루를 살아도
너 행복하도록 만들 거야
내 사랑에 세상도 양보한 널
나 끝까지 아끼며 사랑할게
약속해 줘 서로만 바라보다
먼 훗날 우리 같은 날에 떠나
같은 날에 떠나"
"사랑해, 이 말 밖엔...","19,624",리치,"그렇게 싫었니 웃는 날 보며
말할 만큼
너무 갑자기라 눈물도 놀라
흐르지 않나 봐
보내주고 싶은데 널 위해
그래야 하는데
So I got say good bye
네가 없는 내 모습
걱정이 돼서 너무 잘 알아서
쉽지가 않아 나를 봐
어쩌면 늦었겠지만
니 마음은 저만치 가버렸겠지만
그래도 한번만 내 얘길 들어 줄래
I don't cry never cry
눈물은 보이지 않을게
늘 너에게 부족했었기에
미안함 뿐인걸
Still with me Still with you
이대로 널 보낼 순 없어
단 하루라도 내게 기횔 줘
널 지킬 수 있도록
다 잊고싶은데 그래야 나도
편할 텐데
늘 함께 있어도 그립던
너를 하루도
비워낼 자신이 없어
지금이 끝인 걸 알고 있지만
그 어떤 말도 너에게는
소용없겠지만 그래도
한번만 내 얘길 들어줄래
I don't cry never cry
눈물은 보이지 않을게
늘 너에게 부족했었기에
미안함 뿐인걸
Still with me Still with you
이대로 널 보낼 순 없어
단 하루라도 내게 기횔 줘
널 지킬 수 있도록
참아야만 해 하지만
이젠 내 마음을 어쩔 수 없어
네가 없는 세상을 한번도
생각한적 없어
사랑해 사랑해 난 이말 밖에
못하지만
그 수많은 날을 너만 보며
살아 왔었잖아
미안해 하지만 이렇게라도
잡고 싶어
단 하루라도 내게 기횔 줘
그럴 수 만 있다면
Baby just say I love you"
