Title,Likes,Singer,Lyrics
그대가 첫사랑인 이유,"4,480",한동근,"이거저거 많이 샀네요
조금만 사려고 했는데
이런 한가득이네요
꽃잎들이 떨어지는 곳
난 그대를 기다리네요
저녁노을을 맞으며
오늘 안 좋은 일이 좀 있었어요
근데 왜 난 웃고 있죠
그대는 나를 웃게 하죠
그거 알아요
알려줄까요
그대가 첫사랑인 이유
지나온 많이 가까운 사이가
사랑인 줄 알았지 뭐예요
그러니까 사랑은 처음이 되는 거잖아요
참 빨리도 해보게 되네요
그대를 만나기 위해서
서툰 인연을 지나서
긴 시간을 헤맸나 봐요
다른 사랑 필요 없어요
아니 있기나 할까요
그대와 함께 걷는 지금이 좋아
오늘 저녁 기대해요
맛있는 거 해줄게요
그거 알아요
알려줄까요
그대가 첫사랑인 이유
지나온 많이 가까운 사이가
사랑인 줄 알았지 뭐예요
그러니까 사랑은 처음이 되는 거잖아요
원래 못해요 이런 말 조금 오글거려서
근데 이상하죠 하고 싶어 하고
해도 모자란걸요
다 표현해 주고 싶은데
보고 있어도
보고 싶은 건
그대가 첫사랑인 이유
몇 번의 많이 친했던 사이가
사랑인 줄 알았지 뭐예요
그러니까 사랑은 처음이 되는 거잖아요
어서 와요 나의 첫사랑"
미소속에 비친 그대,"10,725",신승훈,"너는 장미보다
아름답진 않지만
그보다 더 진한 향기가
너는 별빛보다 환하지 않지만
그보다 더 따사로와
탁자위에 놓인
너의 사진을 보며
슬픈 목소리로 불러 보지만
아무 말도 없는 그댄
나만을 바라보며
변함없는 미소를 주네
내가 아는 사랑은
그댈 위한 나의 마음
그리고 그대의 미소
내가 아는 이별은
슬픔이라 생각했지 하지만
너무나 슬퍼
나는 울고 싶지 않아
다시 웃고 싶어졌지
그런 미소속에 비친
그대 모습 보면서
다시 울고 싶어지면
나는 그대를 생각하며
지난 추억에 빠져 있네 그대여

내가 아는 사랑은
그댈 위한 나의 마음
그리고 그대의 미소
내가 아는 이별은
슬픔이라 생각했지 하지만
너무나 슬퍼
나는 울고 싶지 않아
다시 웃고 싶어졌지
그런 미소속에 비친
그대 모습 보면서
다시 울고 싶어지면
나는 그대를 생각하며
지난 추억에 빠져 있네 그대여

울고 싶지 않아
다시 웃고 싶어졌지
그런 미소속에 비친
그대 모습 보면서
다시 울고 싶어지면
나는 그대를 생각하며
지난 추억에 빠져 있네 그대여"
너의 밤은 어때 (취향저격 그녀 X 정은지),"27,110",정은지,"왜 오늘따라 생각이 많은지
눈을 감아도 잠은 오지를 않고
한참을 멍하니 침대 위에 누워서
또 너를 그려보네
오늘 같은 밤엔 궁금해지곤 해
지금 너의 방도 불이 켜져 있을까
나와 같은 달을 보면서
긴 밤을 보내고 있을까
너의 밤은 어때
이렇게 잠 못 드는 밤이면
내가 줬던 꽃다발을 생각하며
한 번쯤은 날 위한
예쁜 미소를 너는 지었을까
나의 밤은 그래
이렇게 잠 못 드는 밤이면
처음 느낀 그날의 향기가 나
오늘도 네가 많이 보고 싶나 봐
유난히 긴 오늘 밤
네가 내 마음을 알아주지 않아도
괜찮을 거라 생각했는데
사실은 저 하늘에 별들처럼
항상 네 곁에 있고 싶어
너의 밤은 어때
이렇게 잠 못 드는 밤이면
내가 줬던 손 편지를 꺼내보며
한 번쯤은 날 위한
예쁜 미소를 너는 지었을까
나의 밤은 그래
이렇게 잠 못 드는 밤이면
처음 느낀 그날의 향기가 나
오늘도 네가 많이 보고 싶나 봐
유난히 긴 오늘 밤
나의 밤은 그래
이렇게 잠들지 못할 때면
자꾸만 너의 모습이 떠올라
생각보다 널 많이 좋아하나 봐
네가 보고픈 이 밤"
12월 32일,"6,636",서은광 (비투비),"올해가 가기 전에 꼭 돌아온다고
걱정하지 말고 기다리면 된다고
기다렸던 만큼 우리 행복할거라고
조금 힘들어도 날 기다려 달라고
그래서 나는 웃으며 기다렸어
기다림은 오히려 즐겁게만 느껴졌어
달력을 한 장씩 넘길 때마다
너의 모습이 보이는 것 같아
하지만 올해가 다 가도록
마지막 달력을 넘기도록
너는 결국 오질 않고 새해만 밝아서
기뻐하는 사람들 속에서 나만 울었어
내게 1월1일은 없다고
내 달력은 끝이 아니라고
32일이라고 33일이라고
네가 올 때까지 나에겐 아직
12월이라고
힘들 걸 알지만 쉽지 않을 걸 알지만
나의 말을 믿고 기다려 줄 수 있냐고
기다려 준다면 나는 곧 돌아온다고
그리고 영원히 너와 함께 할 거라고
떨어지는 낙엽을 바라보며
내 가슴은 조금씩 설레였고
첫눈이 아름답게 내리던 날
네가 올 때가 됐다 생각했어
하지만 올해가 다 가도록
마지막 달력을 넘기도록
너는 결국 오질 않고 새해만 밝아서
기뻐하는 사람들 속에서 나만 울었어
내게 1월 1일은 없다고
내 달력은 끝이 아니라고
32일이라고 33일이라고
네가 올 때까지 나에겐 아직
12월이라고
12월이라고"
너로 가득 찼었던,31,노랑 (Yellow),"참 힘들었어 너와 헤어지고
수많은 날이 지나도
여전히 니가 그립고 보고 싶어
아직 너를 사랑해

하나부터 열까지 너로 가득 찼었던
내 맘 비우는 게 어려워
너를 미워하는 게 차라리 쉬울 것 같아
그만큼 너를 사랑한 내가 미워


참 행복했어 너와 함께했던
아름다웠던 날들이
그래서 아직 보내지 못하는 걸
지울 수가 없는 널

하나부터 열까지 너로 가득 찼었던
내 맘 비우는 게 어려워
너를 미워하는 게 차라리 쉬울 것 같아
그만큼 너를 사랑한 내가 미워

그날의 공기도 이렇게 선명한데
내 눈물 닦으며 안아주던 너

처음부터 끝까지 너로 물들었었던
내 맘 지우는 게 어려워
나를 미워하는 게 차라리 쉬울 것 같아
그만큼 너를 사랑한 내 죄니까"
Rainbow,"13,906",데이먼스 이어 (Damons year),"내가 바랬던 건
그대가 아니에요
하늘을 바라볼
누군가가 필요했어
그대가 없으면
사실 나는 안 돼요
난 수줍어서 더듬거려요
어둠이 깔리고
밤에 비가 내려도
난 젖은 채로 곁에 있죠
시간이 지나면
우리는 없겠죠
영원이라는 건 있지 않아요
그게 뭐 어때서요
우리가 눈을 맞출 땐
다음 말은 생각나지 않아요
난 지금 열이 나지만
잠든 건 그대 품이죠
사랑은 아닐 테니 숨지 말아요
언젠가 다시 만나면
그때는 지나치겠죠
우리에게는 남은 것이 없어요
그리움은 남았지만
난 표현하지 않겠죠
우리는 저물어간 노을 같아요"
오랜만이야 안녕,"3,931",이소정,"오랜만이야 안녕
끝까지 묻어두려 했어
하루 이틀 며칠이 지나도
툭툭 떨어지는 이 말
괜스레 소란스런 맘에
밤이 새도록 너에게 취해
하지 못했던 얘길 털어놨어
미칠 듯이 사랑했고
아팠던 기억은 모두
지워져 잊혀져 버려져
다 지나간 우리 사랑
그리워서 한숨 또 한숨
내쉬어보면
울다가 또 하루 가고
어제보다 더 네가 생각나
서툴렀던 너와의 시간
모든 게 낯설어 보여
담지 못했던 내 맘 아쉬웠어
미칠 듯이 사랑했고
아팠던 기억은 모두
지워져 잊혀져 버려져
다 지나간 우리 사랑
그리워서 한숨 또 한숨
내쉬어보면
울다가 또 하루 가고
어제보다 더 네가 생각나
돌고 돌아 다시 너로
무너진 내 맘에
가득 차올라
네가 있던 빈자리에 남겨져
잘 지내니 보고 싶어
한 번만 더 기회를 줘
미안해 용서해 다 늦은
후회들 속에 남겨진 나
잊혀지진 않을 거야
너 하나만
마지막 사랑이라서
안녕 잘 지내
네게 말할게"
사랑에 빠져보자 (Feat. 황세현),313,Kid Wine,"우리 사랑에 빠져보자
눈에 넣어도 아프지 않을 너를 안고서
많은 시간이 지난대도
언제나 변함없이
서로를 볼 수 있게

사랑인 거야
맘을 열어줘
조금 서툴더라도
괜찮아 처음이니까

오랜 날 동안
사랑이 없었다는 걸
널 만난 순간부터
알게 된 거야

둘러봐도 너 같은 사람은 없더라고
해변 위에 파도처럼 스쳐 가더라고
어린 날 불장난처럼 전부 데이거나
다 흐트러지더라고

그저 내 볼을 만지며 웃어줘
내가 너를 사랑할 수 있게
이 떨리는 맘
모든 게 변한대도
기억할 수 있게

우리 사랑에 빠져보자
눈에 넣어도 아프지 않을 너를 안고서
많은 시간이 지난대도
언제나 변함없이
서로를 볼 수 있게

We ain't even got no time to sleep
너무 아까워 우리 시간이 이렇게 (의미없이)
흘러가기만 하는데 oh girl

첨 봤을 때 부터 느꼈어
저 파도 같은 일들이 우릴 갈라놔도
영원히 사랑하기로

몇 시간도 안 봤는데 we outta time
생각보다 사랑하기는 바빠
어디로든 떠나 볼까
생각만 주구장창 했지 난 oh

쉴 새 없이 baby kiss me
Miss me 올라가는 기분 이건 trippy

We don’t need statistics
Cuz love ain’t no business
사랑에 빠져 Issa wave Issa

우리 사랑에 빠져보자
눈에 넣어도 아프지 않을 너를 안고서
많은 시간이 지난대도
언제나 변함없이
서로를 볼 수 있게"
좀 더 안아줄걸,"6,455",길구봉구,"노을 지는 밤이면 자꾸 네가 생각나
덜컥 가슴이 내려앉는 기분이 들었어
몰라줬었던 네 마음이
이제야 이해가 되지만
아무 소용 없는 거 알아
그때 내가 널 좀 더 안아줄 걸 그랬나 봐
그랬다면 우리 지금과는 다를 텐데
잔소리 같던 말들이
어느 때보다 그리워
사랑을 두고 널 놓쳐버린 내가 싫어
툭하면 바쁘다는 핑계로 널 피하고
불안해지게 만들었던 그때가 생각나
아무 말 없이 참아줬던
소중함을 몰랐던 나는
뒤늦은 후회만 남았어
그때 내가 널 좀 더 안아줄 걸 그랬나 봐
그랬다면 우리 지금과는 다를 텐데
잔소리 같던 말들이 어느 때보다 그리워
사랑을 두고 널 놓쳐버린
내가 너무 싫어
숨처럼 편하게만 생각했던 너라서
언제라도 곁에 있을 줄 알았나 봐
너를 보내고 나서야 깨달아서
온몸이 아프도록 네가 보고 싶어져
네가 날 떠나던 그날
그때조차 난 몰랐어
금방 다시 돌아올 줄만 알았어
그때 내가 널 좀 더 안아줄 걸 그랬나 봐
그랬다면 우리 지금과는 달라졌을까
잔소리 같던 말들이 어느 때보다 그리워
사랑을 두고 널 놓쳐버린 내가 싫어"
널 붙잡을 노래,"17,258",비,"오늘도 서성이는 너의집 화가나는걸
나는 힘든데 나는 힘든데 이렇게

하지만 나는 어쩔 수 없어
니 맘을 돌리긴 너무 늦은걸
끝나버렸어 어쩔 수 없어 이젠

한 순간 내 몸에 익숙했던 니 손이
날 밀어내 나는 어떡해 나는 어떡해
어느덧 떠나간 너의 숨결
아직도 널 사랑해
나는 어떡해 나는 어떡해
제발 오 제발 돌아와

난 니가 생각나 자꾸만 생각나
예전처럼 니 손 잡을 수가 없어
난 니가 너무 좋아서
너의 모든걸 못잊어
이 노래는 널 붙잡을 수 있는노래
한 순간 내 몸에 익숙했던 니 손이
날 밀어내 나는 어떡해 나는 어떡해
어느덧 떠나간 너의 숨결
아직도 널 사랑해
나는 어떡해 나는 어떡해
나와 마주치던 그 눈빛으로
그냥 나를 다시봐요 그 눈빛
내게 말을해줄래 아직도 사랑한다고
한 순간 내 몸에 익숙했던 니 손이
날 밀어내 나는 어떡해 나는 어떡해
어느덧 떠나간 너의 숨결
아직도 널 사랑해
나는 어떡해 나는 어떡해
제발 오 제발 사랑해"
