Title,Likes,Singer,Lyrics
To You (Prod. 정키),"7,549",HYNN (박혜원),"그래 헤어질 줄은 알았어
처음이란 이유로 부족한 게 많았겠지
나에겐 잊지 못할 기억인데
함께한 시간의 마지막이
겨우 그런 이유가 됐어
이렇게라도 네게 맘을 전하고 싶어
힘들긴 했지만 고마운 마음 뿐이라고
널 마주한 그 처음을 기억해
눈을 감고 떠올리면
아직도 내 맘이 설레와서
수 많은 밤 함께한 시간들이
너무 아련해서
떠올릴 수 없어도 기억할게
그래 변명 하잔 건 아닌데
끝이 너무 쉬워서
하지 못한 말이 있어 너를
정말 사랑했었어
결국 헤어졌지만 다시 돌아가도
널 만나 사랑했을거야
널 마주한 그 처음을 기억해
눈을 감고 떠올리면
아직도 내 맘이 설레와서
수 많은 밤 함께한 시간들이
너무 아련해서
떠올릴 수 없어도
넌 아무렇지 않게 나를 잊어간대도
내 진심을 꼭 알아줬으면 해
널 마주한 그 처음을 기억해
두 번 다시 마주할 수 없겠지
눈을 감고 떠올려도
생각보다 너무 쉽게 지워지겠지만
내 진심을 꼭 알아줘
다시 돌아가도 이별에 아파해도
널 사랑했을 거야
지워지겠지만"
Run Devil Run,"1,937",EJel (이젤),"You better run run run run run
You better run run run run run
You better run
똑바로 해 넌 정말 Bad boy 사랑보단 호기심 뿐
그동안 난 너 땜에 깜빡 속아서 넘어간 거야
넌 재미없어 매너 없어 넌 Devil Devil 넌 넌
네 핸드폰 수많은 남자 한 글자만 바꾼 여자
내 코까지 역겨운 Perfume 누구 건지 설명해 봐
넌 나 몰래 누굴 만나는 끔찍한 그 버릇 못 고쳤니
뛰어 봐도 손바닥 안인걸
You better run run run run run
더는 못 봐 걷어차 줄래
You better run run run run run
날 붙잡아도 관심 꺼둘래
더 멋진 내가 되는 날 갚아 주겠어 잊지 마
You better run run run run
딱 걸렸어 약 올렸어 Run Devil Devil Run Run
얘 나 같은 애 어디도 없어 잔머리 굴려서 실망했어
난 걔네들보다 더 대단해 너 그렇게 커서 뭐 될래
까불지 말랬지 널 사랑해 줄 때 잘하랬지
You better run run run run run
더는 못 봐 걷어차 줄래
You better run run run run run
날 붙잡아도 관심 꺼둘래
You better run run run
You better run run run
이 넓은 세상 반은 남자 너 하나 빠져봤자
꼭 나만 봐줄 멋진 남자 난 기다릴래 혼자"
Angel 2 Me (Duet. Jeff Bernat),"48,859",맥케이 (McKay),"Lady I love you I just
wanna show you
From the way you touch me
and kiss me to the sparkle in your eye
Oh how I love you I just
feel so lost without you
With my love and intuition
you’ll never have to say goodbye
어제는 맘이 급했어
니가 너무 예뻐서
너의 이름도 몰랐어
중요하질 않아서
느낌이 좀 이상했어
눈이 마주칠 땐 정말 내꺼 같았어
헝클어진 니 머리 그 여린 숨소리
이 느낌은 뭐지 가슴이
oh I really can't explain
언젠간 너도 날 사랑할까
나는 준비가 다 됐어
Baby give me just one chance
Lady I love you I just
wanna show you
From the way you touch me
and kiss me to the
sparkle in your eye
Oh how I love you I just feel
so lost without you
With my love and intuition
you’ll never have to say goodbye
Got me singing that
I need you desperately
Ain’t no reason that
you gotta question me
It’s a fact that I want you in my life
No matter what
you’re an angel to me
See I don’t want another
Baby there’s no other baby
You got me cheesin and
feelin some type of way
저 거울 속에 비친
난 마치 your honey
이 느낌은 마치 영원히
계속될 기분이야
니 맘이 다르면 어떡할까
아니 그럴 리가 없어
Baby give me just one chance
Lady I love you I just wanna show you
From the way you touch me
and kiss me to the sparkle in your eye
Oh how I love you I just
feel so lost without you
With my love and intuition
you’ll never have to say goodbye
Lady I love you I just wanna show you
From the way you touch me
and kiss me to the sparkle in your eye
Oh how I love you I just feel
so lost without you
With my love and intuition
you’ll never have to say goodbye
아침이 오는 소리 날 찾는
목소리 난 그대를 사랑해"
어디든,"4,783",우디 (Woody),"OK
올림픽대로 위를 Drive
내 옆자리 그녀는 So fine
눈부신 넌 네온사인 Bling Bling
오늘 우리 나침반은 달
어디든지 우린 Go for a ride
한강 View 불빛 따라서
Any anywhere
하늘 위로 노랑 별이 가득해
저 하늘 위로
네 옆에 있겠다고 약속해
넌 나를 믿어 굳이 말 안 해도
네 눈이 말하고 있어
여기저기 멀리 어디든
We're just travelin travelin woo ye
Too too many loves
우리 둘만 있어
Too too many roses
내겐 그저 한 송이면 충분해
Too too many loves
우린 마치 밤을 날아
영화 속 주인공같이
여기저기 어디든
We're just travelin travelin woo ye
Oh Yeah 즉흥적 Vibe 너는 챙겨
핸드폰 USB와 립스틱만
내가 다 알아서 할 게
왜냐면 그녀는 소심한 INFP
난 널 웃게 해 줄 ENFP
네가 가고 싶다던
거기 가자 데려가 줄게
하늘 위로 너란 별이 가득해서
저 하늘 위로 사랑한다고 말할 게
넌 나를 믿어 굳이 말 안 해도
네 눈이 말하고 있어
여기저기 멀리 어디든
We're just travelin travelin woo ye
Too too many loves
우리 둘만 있어
Too too many roses
내겐 그저 한 송이면 충분해
Too too many loves
우린 마치 밤을 날아 영화 속 주인공같이
여기저기 어디든
We're just travelin travelin woo ye
여기저기 어디든 Hey
여기저기 어디든"
Echo,"4,173",오월오일 ( 五月五日 ),"혼자라서
난 이게 익숙해졌고
사실 뭐
이게 다 당연한 건데
이 얘기마저도
깨닫고 나서 쓰는 거니
꽃나무야
난 그걸 사랑한 거고
시간이 지나면 사라지는 게
참 슬프겠지만
사랑은 돌아오는 거래
이쯤 되면 낙엽을 덮었고
흰 눈이면 내 목을 축였지
아직 곁에 아무도 없었고
이 내 마음 어디 닿으려나
아 아아
울음소리에
저기 멀리서 나를 따라 우는 게
참 슬프겠지만
나와 같은 처지구나
아 잠깐만
난 여기 혼자 있는데
누가 날
따라서 울었다는 게
익숙한 공기에
사랑을 했던 이유인 거야
아쉽게도 우린
만나지 못하지만
여기서 널 외처 부른다면야
문제없을 거야
사랑은 돌아오는 거래
내가 울면 같이 울어주고
같은 시간 같은 곳에 있고
같은 시간 또 잠에 들겠고
이 내 마음 거기 닿았구나
아 아아
꽃나무가 피면
이 모든 걸 다
이야기할 수 있을까
해가 뜨면 다
이야기할 수 있을 거야
사실은 나
이 모든 걸 알고
오늘을 말했네
어둠에 나
또 혼자 남아서
오늘을 말했네
그 또한 다
내 몫이라 해서
울음을 토했네
시든 꽃
그 곁에 누워서
눈물을 흘렸네"
camping everywhere,"19,649",죠지,"맨 발로 걷고싶어
따사로운 햇볕아래
짐들을 풀어놓고
풀 가득한 공원에
마구 뛰어다니는
개들과 놀고싶어
어렸을적엔 잘 몰랐었어
누가 날 보던말던
I don’t care at all
창피한줄도 몰라 훌훌벗고서
계곡 아래로 몸을 던져
camping everywhere
잔디 위로 누워
구름을 바라보다 잠들래
camping everywhere
모닥불을 지펴
이 밤이 지나도록
dance all day
camping everywhere
camping everywhere
P.S. I just wanna talk about this
어릴적에 나는 잘 몰랐었어
내리는 햇살 시원한 바람
지나가는 사람들의 말
우연찮게 마주치는
친구들과 모여가는 무리
우리가 제일인줄로만 알았던
14 to 16
I was insider
그땐 맞어 그랬었어
어렸을적엔 잘 몰랐었어
누가 날 보던말던
I don’t care at all
창피한줄도 몰라 훌훌벗고서
계곡 아래로 몸을 던져
camping everywhere
잔디 위로 누워
구름을 바라보다 잠들래
camping every where
모닥불을 지펴
이 밤이 지나도록
dance all day
camping everywhere
camping everywhere
camping everywhere
camping everywhere"
Priority,"10,222",최강창민 (MAX CHANGMIN),"비겁해 우린
설명하고 싶진 않았지
널 가두고 내게 맞추긴
난 싫었어

알아 이상하지
더 원하면서 원하지 않지
확실하지 않을 때 우린
더 확실해

잠깐의 봄보다 넌 긴
겨울 같지 나보다 슬픈 눈빛이
날 위로해 따스하게
꼭 아무 일 없는 듯이

난 뒤로해 늘 실망 않게
익숙하게 또 밀어내
그랬던 난데 자꾸만 변해
It’s easy

Make me your priority
Just make me make me
Make me your priority
(Oh again)
You make me make me

Make me your priority
Just make me make me
Make me your priority
You gotta make me make me

또 변하겠지
사랑이든 사람 맘이든 (See)
잘 알고 있어
시작 뒤에 영원한 건 없네

거창한 말은 싫지
사랑은 너무 작지
또 어김없이 원해 난
애써 애매한 사이를

혼자 있는 외로움이 훨씬 낫지
넌 이미 그걸 알듯이
날 위로해 떨어진 채
한 걸음 뒤의 목소리

난 뒤로해 늘 실망 않게
익숙하게 또 밀어내
그랬던 난데 자꾸만 변해
It’s easy

Make me your priority
Just make me make me
Make me your priority
(Love me yeah)
You make me make me

Make me your priority
Just make me make me
Make me your priority
You gotta make me make me

사실 기대하기 두려워
작은 기대조차 어려워
우리는 너무 닮아 있는 걸
결말을 이미 아는 걸
그러니 끝이 나더라도
또 시작하게 돼
So make me your

Priority
Just make me make me
Make me your priority
You make me make me
(I need you to make me your priority)

Make me your priority
Just make me make me
(Get your attention from me)
Make me your priority
You gotta make me make me

Make me your priority
Just make me make me
Make me your priority
You make me make me

Make me your priority
Just make me make me
Make me your priority
You gotta make me make me

사랑은 속여 너와 날
사랑은 속여 너와 날"
영화나 볼래? (Feat. FYVE),148,Kinn (킨),"오늘 날씨는 참 좋아 맑은 햇살
너와 손을 잡고 걷는 상상해 난
두근거리는 것보다 더 좋은 건 없으니
널 처음 본 날처럼 그때 그 순간처럼

가까워지고 싶은 마음 굴뚝같던 나는
한 걸음조차 주저하고 도망갔던 날들
그래도 어떡해 이렇게 살아온 난데
내가 보기에도 답답해
이래왔던 내가 지금 물어보려 해
너 혹시 돌아오는

주말에 뭐 해 영화나 볼래?
로맨틱, 코미디 아니면 드라마
액션, 스릴러는 싫어했지 아마

좋아하는 건 더 말해줘
하나부터 10 아니 100 아니 1000
까지 너의 모든 걸 알고 싶어서

알려줄래 너도 같은지
우린 처음부터 하나둘씩
절대 하지 않아 허튼짓은
내 머리 안은 온통 you, believe me
여기 Where you got to be
네가 부른 노래 That I clicked
너와 내 감정은 영화같이 Bliss

세상은 또 너무 거칠게 우릴 스쳐 가
그 상처가 널 닿고서 떠나면
난 있는 모든 걸 네 아픔에 전부 쏟아부을 거야
만약 내겐 남지가 않더라도
괜히 긴장을 난 머금고 있어
심호흡이 필요해 신호음에 앞서
번호를 누르고
내 머리 안에 네가 울리면

주말에 뭐 해 영화나 볼래?
로맨틱, 코미디 아니면 드라마
액션, 스릴러는 싫어했지 아마

좋아하는 건 더 말해줘
하나부터 10 아니 100 아니 1000
까지 너의 모든 걸 알고 싶어서

주말에 뭐 해 영화나 볼래?
로맨틱, 코미디 아니면 드라마
액션, 스릴러는 싫어했지 아마

좋아하는 건 더 말해줘
하나부터 10 아니 100 아니 1000
까지 너의 모든 걸 알고 싶어서"
Love Story,"15,413",비,"Hey this is my story
It's true O. K. Listen
Oh baby 너에게 하고 싶었던 그 말
나의 맘 속 안에서
나를 슬프게한 그 말
우리 사랑했지만
갈 수 없었던 그 이율
바보같이 아무말도 전할 수 없었네
한 번만 더 기회를 줘
나는 몰랐었어
너의 마음이 변한건지
아직 늦진 않았잖아
빌었지만 차갑게 돌아선 니 모습
이 노래는 진실했던 사랑이야기
모든 걸 다 바쳤던 나의 이야기
하지만 이젠 끝을 모두 맺어버린
지나간 나의 사랑이야
I love you 아직도 사랑해
이건 나의 솔직한 나의 맘 소리
모든 걸 다 바칠 수 있는
다짐을 말하고 있는거야
내게 돌아와줘 영원히 기다릴께 널
I love you 아직도 사랑해
Oh 사랑했잖아 너는 잊을 수 있니
추억 속의 사랑
너는 나를 떠났지만
나와 했던 약속은 아무것도 아닌건지
너는 웃으면서 나의 애길하더라
죽을 것 같이 난 아파 oh no
단지 단 한 번만
너와 함께 할 수만 있다면
난 숨을 쉴 수가 없어
나의 모든 것들이 너를 원하잖아
이 노래는 진실했던 사랑이야기
모든 걸 다 바쳤던 나의 이야기
하지만 이젠 끝을 모두 맺어버린
지나간 나의 사랑이야
I love you 아직도 사랑해
이건 나의 솔직한 나의 맘 소리
모든 걸 다 바칠 수 있는
다짐을 말하고 있는거야
내게 돌아와줘 영원히 기다릴께 널
I love you 아직도 사랑해
나도 잊는다 추억 지우며
내 맘이 곪아서 더 이상은 못하겠어
아프겠지만 끊어버릴꺼야
너와의 가슴 속 모든 인연들을
한가지만 기억해
너의 모든 걸 다 안아줄 수 있었던
남자 나였단 걸
이젠 너 없이도 뭐든 해낼꺼고
지금 이 노래를 들어
이 노래는 널 향한 사랑이야기
내 사랑이야기
모든 걸 다 바쳤던 나의 순정이
후회되진 않아
널 이제 잊을꺼야
지나간 나의 사랑아
I love you 아직도 사랑해
이건 나의 마지막 널 향한 목소리
모든 걸 다 알고있는
나의 외침이 들린다면
내곁에 다시 돌아와줘
영원히 너를 사랑해
I love you 너만을 사랑해
baby please come back to me
I miss you baby"
하굣길,"45,631",투모로우바이투게더,"겁이 나 참 이상해
낮과는 뭔가 달라 나
돌아보면 텅 빈 학교
노을 속 낯선 풍경
Woah oh oh
내 곁엔 길어진 그림자
Woah oh oh
익숙해지지 않아 혼자
Woah oh oh
텅 빈 갈림길도 신기루만 같아 왠지
갑자기 서늘한 바람이 불어
귓가에 우리의 노래가 들려
다시 페달을 밟아 언덕 끝까지
저녁노을까지 달려가 달려가
별빛 하나 찾을 수 없는 밤
지나온 길은 다 쓸쓸하고 안타까운 걸
더 세게 밟아 힘껏
그 어떤 괴물도 더는 우릴 쫓지 못하게
Oh ah na na na
Oh ah na na na
Oh ah na 달려가 달려가
오르막길 끝에 닿은
내리막길의 시작점
돌아보면 갈림길도
무엇도 보이지가 않아
다시 페달을 밟아
아득한 내리막 경사를 내려가
더욱더 거세진 이 바람에 휙휙 스쳐 가
빠르게만 지나가는 풍경
말 못 한 비밀들과 두고 온 고민들과
너 없는 빈자리가 바람결에 쓸려가
갑자기 우리의 이름을 불러
귓가에 우리의 노래가 들려
눈을 감는 대신 겁먹는 대신
너를 불러내 달려가 달려가
별빛 하나 찾을 수 없는 밤
지나온 길은 다 쓸쓸하고 안타까운 걸
더 세게 밟아 힘껏
그 어떤 괴물도 더는 우릴 쫓지 못하게
Oh ah na na na
Oh ah na na na
Oh ah na 달려가 달려가
Oh ah na na na
Oh ah na na na
Oh ah na 달려가 달려가
어둠이 짙게 깔린 밤하늘을 올려봐
갈 길은 멀고 밝혀줄 별 하나 없지만
네 이름을 부르면 잠든 별도 곧 깨어나
그땐 날 위해 더 빛나줘
별빛 하나 찾을 수 없는 밤
지나온 길은 다 쓸쓸하고 안타까운 걸
더 세게 밟아 힘껏
그 어떤 괴물도 더는 우릴 쫓지 못하게
소원을 빌어 하늘 위로
영원히 서로 기억하기를
서로의 이름 불러 줄 때
우린 영원히 함께 달려가"
