Title,Likes,Singer,Lyrics
25 - A COLORS SHOW,223,oceanfromtheblue,"Twenty twenty five
Twenty twenty five
항상 내 곁에 누워줘
24시간도 부족하니까
25시간 무슨일이건 내가
해결하게
Twenty twenty five
I'm living in this time
Breathing in the shadow
Hiding in the light
7678
Crawling down the road
And standing up slowly
Hope you take it nicely
Sturdy vibe
Gonna make it right
Hold me tight
가까워지는 사이
난 지금 널 위해서
줄 수 있는 건
벌써 다 걸었어
Twenty twenty five
Twenty twenty five
항상 내 곁에 누워줘
24시간도 부족하니까
25시간 무슨일이건 내가
해결하게 해줘
Uh, skin tight (I did it)
Getting spiced (I did it)
Many stars, in my eyes
Twenty twenty five
Twenty twenty five
Twenty twenty five
Twenty twenty five
Follow my lead
난 순진한 척 안해
다 준비돼있어
That's how I live
그저 그런 얘기들은
애기들 같이 Take it all leave
And I did it again, I beat it again
Make it a real, I'm make it unreal
너와 나, 서로 자릴 비워 놔
있어 봐, 혹여나 다칠 까
어둠을 뚫고
입에 입을 물고
숨을 불고
날아 가
Twenty twenty five
Twenty twenty five
항상 내 곁에 누워줘
24시간도 부족하니까
25시간 무슨일이건 내가
해결하게 해줘
Uh, skin tight (I did it)
Getting spiced (I did it)
Many stars, in my eyes
Twenty twenty five
Twenty twenty five
Twenty twenty five
Twenty twenty five"
고열,"8,631",dosii (도시),"난 잠에 들지 못해
또 추운 여름 밤엔
에어컨 앞에서 서서
내 머리를 식히고서
남은 밤을 보내
내 눈이 감길 때엔
새하얀 천장아래
조금씩 빛이 고이는 게
난 또 왜 이렇게
더 바보같이
늘 너가 보면 안될 일만
아 내 생각들이
또 너를 잔뜩
불편하게 만들겠구나
또 까만 밤이 지나면
씻은 듯 나을 아픔도
다시 밤이 오면 또
내게 돌아올 걸
아직 나만이 생각할
그 기억속에서 넌
어떤 이유에선가
나를 보며 웃었네
또 뜨거워진
이 공기속에
네 향기들만
아 또 바보같은
내 모습에는
넌 어울리지 않는 걸
또 까만 밤이 지나면
씻은 듯 나을 아픔도
다시 밤이 오면 또
내게 돌아올 걸
아직 나만이 생각할
그 기억속에서 넌
어떤 이유에선가
나를 보며 웃었네
또 뜨거워진
이 공기속에
네 향기들만
아 또 바보같은
내 모습에는
넌 어울리지 않는 걸
또 까만 밤이 지나면
씻은 듯 나을 아픔도
다시 밤이 오면 또
내게 돌아올 걸
아직 나만이 생각할
그 기억속에서 넌
어떤 이유에선가
나를 보며 웃었네
또 까만 밤이 지나면
씻은 듯 나을 아픔도
다시 밤이 오면 또
내게 돌아올 걸
아직 나만이 생각할
그 기억속에서 넌
어떤 이유에선가
나를 보며 웃었네"
blue,"4,191",수연이,"그렇게 잠에 들지 말아
넌 아직 꿈이 많아
시간이 더럽혀지길 원하진 않잖아
뒷 걸음질 치기엔 yeahh
사람은 쉽게 변치 않아
더 많이 노력해야
비상할 수 있단 말야
넌 알지 못하나
지금도 달려야 해 yeahh
이 밤이 지나가도
변하지 않는 나
또 괴로워하다
아침 해를 봐도 umm
저녁이라 착각
하다 또 잠든다
oh blue
oh blue
oh blue eh
oh blue
oh blue
oh blue eh
아직도 잠들지 못하네
너 때문에 난 이렇다
이미 빠져 버린 돌을 어찌해 건지나
또 날을 세고 아침이 돼서야 몸을 던지네
작업실 안에서 하루의 반을 넘게 보내다
밥 생각도 없이 바깥 구경 잠깐 하다
또 며칠이고 바쁘게
하루를 돌려 겨우 쉬네
이 밤이 지나가도
변하지 않는 나
또 괴로워하다
아침 해를 봐도 umm
저녁이라 착각
하다 또 잠든다
oh blue
oh blue
oh blue eh
oh blue
oh blue
oh blue eh"
서울 탱고,782,PATEKO (파테코),"많은 시간이 지나
끝내 마침표를 찍어본다
길다면 길었던 그 여행의 끝에
우린 얻은 게 있기는 한 걸까

모든 순간은 사라져가고
남아있는 미련만
가슴 한가득 외로움 안고
참아왔던 눈물이 흘러

끝나지 않는 밤이 오면
난 다시 네 흔적을 찾고
거울 속 비친 내 모습을 봐
초라해지네
No no
Baby, I don't know

okay, uh
까칠한 태도 못된 성격까지도
난 봐줬지
너의 가십거리나 고민거리나
상관없이 난 다 받아줬지
다 받아줬지만

모든 순간은 사라져가고
남아있는 미련만
가슴 한가득 외로움 안고
참아왔던 눈물이 흘러

끝나지 않는 밤이 오면
난 다시 네 흔적을 찾고
거울 속 비친 내 모습을 봐
초라해지네
No no
Baby, I don't know"
일기예보,"20,669",CHEEZE (치즈),"유리조각 같은
하늘의 별들은 저마다
이름 모를 누군가의
이야기가 되고
우리는 그에 어울리는
낭만적인 사람이 되려 하죠
사소한 순간의 기억도
은은하게 빛나는
행복이 되고 싶어요
그대도 내 맘과 같다면
한여름 꺼지지 않던
바닷가의 모닥불 같은
사람이 되고 싶어요
그대와 밤새 얘길 나눌래요
나 그대의 하늘에
별이 될 거에요 낮이나 밤이나
항상 그 자리에 잠들고파
나 그대의 하늘에
달이 될 거에요 낮이나 밤이나
항상 그 자리에 잠들고 싶어
그대 곁에 영원히
잠 못 드는 날의 기억도
은은하게 빛나는
행복이 되고 싶어요
기분 좋은 밤공기처럼
한여름 소낙비에도
서운해하지 않는
사람이 되고 싶어요
그대와 내 맘이 같다면
나 그대의 하늘에 별이
될 거에요 낮이나 밤이나
항상 그 자리에 잠들고파
나 그대의 하늘에 달이
될 거에요 낮이나 밤이나
항상 그 자리에 잠들고 싶어
그대 곁에 영원히
시간이 지날수록 더 선명해져요
이 밤과 같은 공간의 우리 둘은
나 그대의 하늘에 별이
될 거에요 낮이나 밤이나
항상 그 자리에 잠들고파
나 그대의 하늘에 달이
될 거에요 낮이나 밤이나
항상 그 자리에 잠들고 싶어
그대 곁에 영원히"
SUMMER LOVE…,"12,477","치스비치 (치즈, 스텔라장, 러비, 박문치)","기나긴 겨울 지나 어느덧
훌쩍 다가온 여름
모두가 사랑에 풍덩
근데 나만 아직 겨 울 중
상태메세진 언제나 맑음
시린 내 옆구리엔 시리뿐 이야
Oh no Oh no babe
나 정도면 괜찮은데
음 부서지는 파도처럼
어느새 내게로 다가온 너
쉽진 않겠지만 용기를 내볼게
난 너를 갖고 싶어
그토록 찾아 헤맨 SUMMER LOVE
네가 나의 여름이 되어줄래
더위를 많이 타는 나지만
내가 너의 바다가 되어줄게
이제야 나타난 MY SUMMER LOVE
나의 모든 걸 다 너에게 줄게
저 푸른 바다와 너만 있다면
EVERYWHERE I GO IT’S SUNNY DAY
너와 나의 SUMMER LOVE
음 달콤달콤 아이스크림처럼
어느새 너에게 녹아내려
좀 부끄럽지만 네 손 잡아 볼게
난 너를 갖고 싶어
그토록 찾아 헤맨 SUMMER LOVE
네가 나의 여름이 되어줄래
더위를 많이 타는 나지만
내가 너의 바다가 되어줄게
이제야 나타난 MY SUMMER LOVE
나의 모든 걸 다 너에게 줄게
저 푸른 바다와 너만 있다면
EVERYWHERE I GO IT’S SUNNY DAY
너와 나의 SUMMER LOVE
여름이 가고
또 다른 계절이 온다 해도
변하지 않을 거야
네 곁에 있을 거야
저 뜨거운 태양 아래서
OH YEAH
그토록 찾아 헤맨 SUMMER LOVE
네가 나의 여름이 되어줄래
더위를 많이 타는 나지만
내가 너의 바다가 되어줄게
이제야 나타난 MY SUMMER LOVE
나의 모든 걸 다 너에게 줄게
저 푸른 바다와 너만 있다면
EVERYWHERE I GO IT’S SUNNY DAY
너와 나의 SUMMER LOVE"
KNOCK KNOCK (Art. Lokid) (Feat. Holmsted),"7,081",Anonymous Artists(어나니머스 아티스트),"아이쿠 내가 자꾸
왜 이러는지 몰라
또 통화 버튼 눌렀어
아직도 뭐가 하나둘
따지고픈 건지 모르겠어
넌 그때도
목에 힘을 주고서
나의 눈을 피해
똑같겠지 뭐
딴 남자는 어때
말해봐 넌 그때보다 좋아
도대체 뭐가 진짜야
지나가다 들리네
요즘 너 너 너 너 너
잘 못 지낸다는 소문이 있어
맘을 접겠다고 거짓말은 안 해
그래도 걱정이 앞서는 건 사실
전활 받아봐
ya 감춰두지 마
아직도 난 네 편
거부하지 마 강요 따윈 없어
그니까 오늘 밤엔 오랜만에
ya ya 뭐든 간에 말해줄래
다 다
딴말은 안 해
요즘 어때
정말 걱정된단 말야
있다 없으니까 더 생각이 나
딱 한 번 너에게
따뜻하게 예전처럼
잘 자란 말 주고픈 것 뿐야
나는 똑같아
답답한 내 맘은
쿨럭 쿨럭 쿨럭
받지도 않고 왜
끊어 끊어 끊어
굳게 닫힌 문을
Knock knock knock knock knock
Knock knock knock knock knock
Knock knock knock knock knock
답답한 내 맘은
쿨럭 쿨럭 쿨럭
받지도 않고 왜
끊어 끊어 끊어
굳게 닫힌 문을
Knock knock knock knock knock
Knock knock knock knock knock
Knock knock knock knock knock
oh baby I don’t know
내가 왜 이러는지도 몰라
너의 집은 또
왜 이리 가까운 건데
I don’t know
네 집 앞에 난 또 멍하니
이 밤도 네가 없는
하루 밤을 새
요즘은 어때 새로운 놈은 없고
이런 노래 좋다 했잖아 너도
불러줄게 where u at
We gon' celebrate
그 문을 열고 이제 눈을 보여줘
이 밤만 내가 옆에
있을게 넌 어때
내가 널 위해 돌아갈게
네가 원하는 그게 뭔데
네 생각을 못 놓아
내일 밤에 또 이걸 또 하지
너의 문을 knock
I don’t know at all
내가 왜 이러는지도
딴말은 안 해
요즘 어때
정말 걱정된단 말야
있다 없으니까 더 생각이 나
딱 한 번 너에게
따뜻하게
예전처럼
잘 자란 말 주고픈 것 뿐야
나는 똑같아
답답한 내 맘은
쿨럭 쿨럭 쿨럭
받지도 않고 왜
끊어 끊어 끊어
굳게 닫힌 문을
Knock knock knock knock knock
Knock knock knock knock knock
Knock knock knock knock knock
답답한 내 맘은
쿨럭 쿨럭 쿨럭
받지도 않고 왜
끊어 끊어 끊어
굳게 닫힌 문을
Knock knock knock knock knock
Knock knock knock knock knock
Knock knock knock knock knock"
별똥별,"3,151",백아,"잠자리채로 훨훨
그대가 보던 별 잡고
텅 빈 마음 안에 채워 넣어요
눈물 잠겨 버릴 것만 같아서
그물 침대로 가 꿈을 꾸죠
둥근 달을 빨리 보고 싶어요
뒤를 돌아 그대를 포개봅니다
반도 채워지지 않는 빛줄기에
오늘도 난 그댈 잊었습니다
나 있는 곳을 잊었나
잠든 밤에 오셨나
오던 길 무서워 돌아갔나
혹여나 그대 소식 바람 따라갔나
이 마음 나도 못 헤아려요
그대 다가온 날도 차가웠던 멀어짐도
까만 화면에 잠들 거예요
아무것도 모르는 척 그 자리에
머물고 난 그댈 기다립니다
나 있는 곳을 잊었나
잠든 밤에 오셨나
오던 길 무서워 돌아갔나
혹여나 그대 소식 바람 따라갔나
이 마음 나도 못 헤아려요
아직 자라지 않은
씨앗 한 알 두고 오며
사랑에 고개를 내저었어요
울음 머금은 구름이 무거운지
비를 쏟고 무너집니다"
그대가 살아서,361,나지혁,"시간이 흐르고 흘러도
여전히 나의 가슴에 남아
그리운 그 이름 불러도
대답 없는 그대라서

혼자 운다 너란 바람
미련히 아직 기다리다가
가슴에 차오르는 아픔이
그댈 다 잊으라 해도

내 맘 속 깊은 곳엔
아직 그대가 살아서
멀어지려 해봐도
지워보려 해봐도
여전히 난 너를 기다려

혼자 운다 그대라서
여전히 미련 못 버리다가
가슴에 차오르는 아픔이
그댈 다 버리라 해도


내 맘 속 깊은 곳엔
아직 그대가 살아서
멀어지려 해봐도
지워보려 해봐도
여전히 난 너를 기다려

워어어어어어
아직 그대가 살아서
멀어지려 해봐도
잊어보려 해봐도
여전히 난 너를 기다려

그대와 나눈 기억은
영원히 아름다워서
멀어지려 해봐도
또 다시 무너지는 쓰러진
나를 붙잡아줘

워어어어
워어어어 어어어어 어어어

아직 그대가 살아서 -"
Grab Me,"11,837",최낙타,"어쩌다 눈을 딱 감았을 때
어두워진 내 앞에
네가 보일 때
아니면 날씨가 확
포근해질 때도 난 난
네 생각이 나
어어 하지만 난 가끔
막막 기억이 바뀌어서
괜히 말도 안 되는
핑곌 갖고 말을 하네 마네 해
뭐뭐 난 상관없어
네가 좋으니까
너도 날 좋아하니까
plz grab me baby
넌 부끄럼이 많은지
아님 진심이 아닌 건지
뭐 부족한 게 있는지
내게 말해줄래 g. r. a. b.
grab me grab me grab me
아 쭈욱
grab me grab me grab me
아 쭈욱
grab me grab me grab me
아 쭈욱 우우욱
g. r. a. b.
내 맘 속엔 할 말이 많은데
널 마주보면 모두 사라지는 건지
솜사탕 같아 녹아 없어진다
이젠 나도 모르겠어
나도 모르겠어
넌 부끄럼이 많은지
아님 진심이 아닌 건지
뭐 부족한 게 있는지
내게 말해줄래 g. r. a. b.
grab me grab me grab me
아 쭈욱
grab me grab me grab me
아 쭈욱
grab me grab me grab me
아 쭈욱 우우욱
g. r. a. b.
야야 언제부터인지
나도 잘 모르겠지만
막 말이 안 나와 혼자
가슴 답답할 때가 많아
oh I just say 좋아해
기다려 이 말
나 오늘 꼭 할 건데
oh maybe you
나와 다르면 어떡해
why I always shame
불안함은 널 빛나게 해
초조함은 널 이쁘게 해
니가 별이 되면 그땐 아마 아마
넌 부끄럼이 많은지
아님 진심이 아닌 건지
뭐 부족한 게 있는지
내게 말해줄래 g. r. a. b.
grab me grab me grab me
아 쭈욱
grab me grab me grab me
아 쭈욱
grab me grab me grab me
아 쭈욱 우우욱
g. r. a. b."
