Title,Likes,Singer,Lyrics
진또배기,"1,504",박서진,"어촌마을 어귀에 서서
마을에 평안함을 기원하는
진또배기 진또배기 진또배기
오리 세 마리 솟대에 앉아
물 불 바람을 막아주는
진또배기 진또배기 진또배기
모진 비바람을 견디며
바다의 심술을 막아주고
말없이 마을을 지켜온
진또배기(진또배기) 진또배기(진또배기)
허야디야 허야디야
풍어와 풍년을 빌면서
일 년 내내 기원하는
진또배기 진또배기 진또배기 진또배기
배 띄워라 노를 저어라
파도가 노래한다 춤을 춘다
진또배기 진또배기 진또배기
오리 세 마리 솟대에 앉아
물 불 바람을 막아주는
진또배기 진또배기 진또배기
모진 비바람을 견디며
바다의 심술을 막아주고
말없이 마을을 지켜온
진또배기 진또배기
허야디야 허야디야
풍악을 울려라 만선이다
신나게 춤을 추자 풍년이다
진또배기 진또배기 진또배기 진또배기
허야디야 허야디야
얼쑤"
잃어버린 정 (Inst.),598,마이진,"[가사 준비중] 멜론 회원 여러분! 가사 등록을 기다리고 있어요.
가사등록하기"
춤추는 템버린,178,현숙,"훌라 훌라 훌라

훌라 훌라 훌라

훌라춤을 춘다 탬버린

오늘 밤도 낯선거리

낯선 사람들로 가득찬

네온 불로 유혹하는

도시에 밤 거리

떠나간 그 사람

십팔번이 생각나

노래방에 나를 닮은

탬버린을 흔들고

불러보는 이 노래는

그 사람 십팔번

훌라춤에 난 노래하는

춤추는 탬버린

훌라 훌라 훌라

이 밤이 가도록 춤추는 탬버린



훌라 훌라 훌라

훌라 훌라 훌라

훌라춤을 춘다 탬버린

오늘 밤도 낯선거리

낯선 사람들로 가득찬

네온 불로 유혹하는

도시에 밤 거리

떠나간 그 사람

십팔번이 생각나

노래방에 나를 닮은

탬버린을 흔들고

불러보는 이 노래는

그 사람 십팔번

훌라춤에 난 노래하는

춤추는 탬버린

훌라 훌라 훌라

이 밤이 가도록 춤추는 탬버린

불러보는 이 노래는

그 사람 십팔번

훌라춤에 난 노래하는

춤추는 탬버린

훌라 훌라 훌라

이 밤이 가도록 춤추는 탬버린"
사랑초,958,홍자,"초롱초롱 소리 없이
피어나는 사랑초
모질게 찬바람 이겨내고
어둠뚫고 피었네
먼하늘만 바라보다
님아 님아
애타게 불러도
대답없는 야속한 님이여
목마른 사랑초
눈부시게 아름다워
사랑초라 했나요
어질게 피어난 사랑초
눈물이 많은가봐
먼하늘만 바라보다
님아 님아
애타게 불러도
대답없는 야속한 님이여
목마른 사랑초"
물보라,204,최진희,"난 그대 눈을 보면서
꿈을 알았죠
그 눈물 속에
흐르는 나를 보았죠
우리 이대로 길을 떠나요
내 삶을 위해
주어진 모든 시간을
늘 그대에게
바치려 하고 있어요
우리 이대로 길을 떠나요
마음껏 소리치며 뛰어들어요
저 넓은 세상을 향해
마음껏 소리치며 뛰어들어요
우리의 삶을 위하여
그 메말랐던 가슴을
흠뻑 적시며
저 물보라를
보면서 길을 떠나요
우리 이대로 길을 떠나요

마음껏 소리치며 뛰어들어요
저 넓은 세상을 향해
마음껏 소리치며 뛰어들어요
우리의 삶을 위하여
그 메말랐던
가슴을 흠뻑 적시며
저 물보라를
보면서 길을 떠나요
우리 이대로 길을 떠나요"
하숙생,937,최희준,"인생은 나그네 길
어~디서 왔다가
어~디로 가는~가
구름이 흘러 가듯
떠~돌다 가는 길에
정~일랑 두지말자
미련일랑 두지말자
인생은 나그네 길
구름이 흘러가듯
정처없이 흘러서 간다

인생은 벌거숭이
빈 손으로 왔다가
빈 손으로 가는~가
강물이 흘러 가듯
여~울져 가는 길에
정~일랑 두지 말자
미련일랑 두지 말자
인생은 벌거숭이
강물이 흘러 가듯
소리없이 흘러서 간다"
사랑해요,917,고은희,"떨어지는 낙엽들 그 사이로
거리를 걸어봐요
지금은 느낄수 있어요
얼마나 아름다운지
돌아보면 아쉬웠던 순간이
너무도 그리워요
이제야 느낄수 있어요
얼마나 행복했는지
사랑해요 떠나버린 그대를
사랑해요 회색빛 하늘아래
사랑해요 그대모습 그리며
사랑해요 아직도 내마음을

그리움이 쌓여가는 거리를
나홀로 걷고있죠
가로등 불빛이
너무도 차갑게 느껴져요
돌아보면 걸어왔던 발자욱
하나둘 지워질때
이제야 느낄수 있어요
얼마나 행복했는지
사랑해요 떠나버린 그대를
사랑해요 회색빛 하늘아래
사랑해요 그대모습 그리며
사랑해요 아직도 내마음을
사랑해요 떠나버린 그대를
사랑해요 회색빛 하늘아래
사랑해요"
정말 진짜로,350,한혜진,"아니야 거짓말
사랑 따윈 이제 안 믿어
남자는 다 그래
하나같이 똑같다고요
나를 사랑한다했니
책임질 수 있는 거니
무심코 던진 너의 한 마디
자꾸 신경 쓰이게 해
책임 질 수 없는 말은
애초부터 꺼내지 마
내 마음을 떠보려 한다면
실수한 거야
사랑 한다는 것이 어디 장난인거니
여자의 맘도 잘 모르면서
사랑은 무슨 사랑
정말 진짜로 정말 진짜로
나를 원한다면은
그리 쉽게 사랑을 말하지 마
정말 진짜로 정말 진짜로
나를 생각한다면
너의 진실을 보여 봐
아니야 거짓말
사랑 따윈 이제 안 믿어
남자는 다 그래
하나같이 똑같다고요
나를 사랑한다했니
책임질 수 있는 거니
무심코 던진 너의 한 마디
자꾸 신경 쓰이게 해
책임 질 수 없는 말은
애초부터 꺼내지 마
내 마음을 떠보려 한다면
실수한 거야
사랑 한다는 것이 어디 장난인거니
여자의 맘도 잘 모르면서
사랑은 무슨 사랑
정말 진짜로 정말 진짜로
나를 원한다면은
그리 쉽게 사랑을 말하지 마
정말 진짜로 정말 진짜로
나를 생각한다면
너의 진실을 보여 봐
너의 진실을 보여 봐"
곰배령,468,조은성,"바람마저 길을 잃으면
하늘에 닿는다
점봉산 마루 산새들도
쉬어 가는곳
곰배령은 말이 없는데
여인네 속치마 같은
능선을 허리에 감고
동자꽃 물봉선아
곱게도 피는 그날
사랑두고 님을 두고
그 누가 넘어가나
하늘고개 곰배령아
구불구불 산을 넘으면
하루가 다 간다
점봉산 마루 나그네도
길을 멈추면
곰배령의 구름이 되네
가엾이 떠돌아 가는
세월을 허리에 감고
산딸기 머루꽃이
곱게도 피는 그날
사랑두고 님을 두고
그 누가 넘어가나
하늘고개 곰배령아"
남자의 눈물,316,현철,"이별에 밤을 새우고
바람처럼 떠나간 당신
그렇게도 정을주며
사랑했던 사람인데
소리치며 통곡한들
소용있나요 그까짓것
사랑이란 바람같은 것
가거라 가거라
정마저 가거라
아 아 가슴에
젖어드는 남자의 눈물
이별에 밤을새우고
구름처럼 떠나간 당신
그렇게도 정을주며
기약했던 사람인데
소리치며 통곡한들
소용있나요 그까짓 것
사랑이란 바람같은 것
가거라 가거라
아주멀리 가거라
아 아 사랑을 태워버린
남자의 눈물"
