Title,Likes,Singer,Lyrics
무념무상,611,범진,"요즘 뭐 하는 것도 없는데
난 아무것도 하기 싫어
조금 불안해서 그런건지
난 더욱 미루는 걸
사람들에게서 질린건지
가족도 친구도 귀찮아져
사랑은 짧게만 하고싶고
깊게는 아직 난 힘들어
I wanna get my way it in my life
매일이 지겨운 나에게
언젠가 다시 내일을
꿈 꿀 날이 올 수 있을까
I don't wanna regret it in my life
후회는 하지 않을거야
감정을 털어내도
달라지는게 없더라고
문득 잊고 있었던 기억들이
하나 둘씩 밀려오면
그냥 잊고 싶었던 상처들도
계속 나를 덮치는데
믿었던 사람의 모습들은
자꾸만 실망만 더해지고
끝없이 사랑한 우리 둘도
결국엔 식어버렸네
I wanna get my way it in my life
매일이 지겨운 나에게
언젠가 다시 내일을
꿈 꿀 날이 올 수 있을까
I don't wanna regret it in my life
후회는 하지 않을거야
감정을 털어내도
달라지는게 없더라고"
첫눈에 반했을 때,"3,586",훈스 (HOONS),"Dear my freinds
나중에 지금은 내가 좀 바빠
미안해 나중에 연락할게
I""ll call you Dring Dring
벌써 일어나니 오후 열두시
오전은 사치야
머린 왜 이렇게 빨리 자라는 건지
오해야 그 생각뿐은 아냐
없어 더 이상은 재밌게 볼게
밖으로 나갈까
옷장에 어제 걸어뒀던 그 옷 그대로
입어도 괜찮아
눈 감아도 찾아갈 수 있는 그 카페로
걸어 괜히 걸음을 반대로
그때 유리창 너머에
너를 본 순간
Dring Dring Dring Dring
머리에 벨이 울리네
일단 물러서 튀 튀 튀 튀
숨을 한번 고를게
내 머릿속은
zing zing zing zing
어지럽기만 한데
자꾸 울려와
Dring Dring Dring Dring
나 지금 빠진 것 같애
Dear my freinds
나중에 지금은 내가 좀 바빠
미안해 나중에 연락할게
I""ll call you Dring Dring
앉아 늘상 앉던 자리 그 곳에
일어나 주문을
하러 거리는 점점 더 가까워지고
숨이 가빠와 더 어지러워
돌아와 폰을 들어 자연스럽게
응 하나도 안 자연스럽 No No
왜 난 꾸미지 않고 그냥 왔어
후회 중 후회 중
눈이 갈 곳을 잃어 자꾸 그녀가 보여
감으면 더 크게 들려와 쿵쿵쿵
그때 그녀가 다가와
눈이 마주쳐
Dring Dring Dring Dring
머리에 벨이 울리네
자연스럽게
Whoo Whoo Whoo ha
숨을 쉬어 고르게
내 머릿속은
Zing Zing Zing Zing
어지럽기만한데
자꾸 울려와
Dring Dring Dring Dring
나 지금 빠진 것 같애
Dear my freinds
어떡해 지금 나 빠진 것 같애
첫눈에 첫눈에 반한 것 같애
비밀이야 우리 끼리 끼리
쉿
눈이 마주쳐
Dring Dring Dring Dring
머리에 벨이 울리네
자연스럽게
Whoo Whoo Whoo ha
숨을 쉬어 고르게
내 머릿속은
Zing Zing Zing Zing Zing
어지럽기만한데
자꾸 울려와
Dring Dring Dring Dring
나 지금 빠진 것 같애"
꽃이 바람에게 전하는 말,956,예민,"아서 아서
꽃이 떨어지면 슬퍼져
그냥 이 길을 지나가
심한 바람
나는 두려워 떨고 있어
이렇게 부탁할께
아서 아서
꽃이 떨어지면 외로워
그냥 이 길을 지나가
빗줄기에 너무 차가워
서러우니 그렇게
지나가줘
검은 비구름
어둠에 밀리면
나는 달빛을 사랑하지
이런 나의 마음을
헤아려주오
맑은 하늘과
밝은 태양 아래
나를 숨쉬게 하여주오
시간이 가기 전에
꽃은 지고 시간은
저만큼 가네
작은 꽃씨를 남기고
길을 따라
시간을 맞이하고 싶어
바람을 기다리네

검은 비구름
어둠에 밀리면
나는 달빛을 사랑하지
이런 나의 마음을
헤아려주오
맑은 하늘과
밝은 태양 아래
나를 숨쉬게 하여주오
시간이 가기 전에
꽃은 지고 시간은
저만큼 가네
작은 꽃씨를 남기고
길을 따라
시간을 맞이하고 싶어
바람을 기다리네"
그대 작은 화분에 비가 내리네,378,배따라기,"비가 내리네 그대 작은 화분에
잊혀졌던 기억이 떠오르네
비가 내리네 그대 떠난 마음에
슬픔만이 남았다네 견딜수 없다네
눈물 흐르네 외로운 내 마음에
그대없는 이 밤이
너무 길게 느껴지네
비가 내리네 쓸쓸한 내 마음에
그대 떠난 이 밤이 외로워 졌네
비가 내리네 그대 작은 화분에
상처 받은 마음을 어떻게 달랠까
비가 내리네 그대 작은 화분에
고독만이 밀리네
이 밤 지나갈 때까지
비가 내리네 그대 작은 화분에
어리석은 마음은 추억에 젖네
비가 내리네 그대 작은 화분에
고독만이 밀리네
이 밤 지나갈 때까지
비가 내리네 그대 작은 화분에
그대 떠난 이 밤이 외로워 졌네
비가 내리네 그대 작은 화분에
상처 받은 마음을 어떻게 달랠까
비가 내리네 그대 작은 화분에
고독만이 밀리네
이 밤 지나갈 때까지
비가 비가 내리네 그대 작은 화분에
어리석은 마음은 추억에 젖네
비가 내리네 그대 작은 화분에
고독만이 밀리네
이 밤 지나갈 때까지
비가 비가 내리네"
잘 지내니 좀 어떠니 (KBS '1박 2일' 삽입곡),"11,056",좋아서하는밴드,"어느샌가 재밌는 얘기도 없고
평소보다 잘 웃질 않고
시선은 내 얼굴 옆이고
이럴 때만 내 마음이 넓어져서
그냥 그런 날인가보다
생각하며 대수롭지 않게 넘어갔지
아무렇지 않다는 너의 말에
정말 그런 줄만 알았었어
이젠 너무 늦어버린 내 맘도
정말 아무렇지 않겠지만
잘 지내니 좀 어떠니
내 생각은 가끔이라도 하니
이렇게 너에게 미안한 만큼
행복하게 사니
잘 지내니 좀 어떠니
누군가 잘해주는 사람은 있니
이렇게 늦어버린 안부인사
받아줄 수 있니
아무렇지 않다는 너의 말에
정말 그런 줄만 알았었어
이젠 너무 늦어버린 내 맘도
정말 아무렇지 않겠지만
잘 지내니 좀 어떠니
내 생각은 가끔이라도 하니
이렇게 너에게 미안한 만큼
행복하게 사니
잘 지내니 좀 어떠니
누군가 잘해주는 사람은 있니
이렇게 늦어버린 안부인사
받아줄 수 있니
사랑이 끝나면 우린 약속한 듯이
아무런 사이도 아니었던 것처럼
시간이 지나면 다른 사랑을 하고
우리는 아무것도 아닌 것이 되고"
리얼 러브 송,"4,150",원 모어 찬스 (one more chance),"무얼 하나 하려고 해도
많은 시간이 걸려
고민하고 또 생각해
그런 내가 널 봤을 때
생각은 모두 사라지고
너 하나만 보여
다른 선택은 없나 봐
사랑하게 될 수 밖에
이건 리얼 리얼 러브 송
우리의 리얼 러브 송
너무 좋아 흥얼거리는
노랫말처럼
하루종일 귓가에
니 모습만 들려
나를 보는 너의 웃음이
가사가 되고
널 안은 내 두 손
멜로디가 되어
이건 리얼 리얼 러브 송
우리의 리얼 러브 송
끝나지 않아
우리의 노래
이건 리얼 리얼 러브 송
우리의 리얼 러브 송
이건 리얼 리얼 러브 송
우리의 리얼 러브 송"
부처님 오신 날에 만난 기독교 그녀,"3,641",형돈이와 대준이,"봄의 끝자락 4월 초파일쯤 있었던
우리의 이야기
어떻게 우리 이리도
오래 만날 수 있었을까
같은 성 같은 파도 친인척도 아닌데
뭐가 이리 어려운 건지
중앙선을 침범했니 자전거를 훔쳤니
우린 전과도 없어요
헤어질 수도
사랑할 수도 없는 너와 나
어디가 극락인가
어디가 천국인가
울 엄마는 보살 너네 엄마는 집사
살다 보면 다 잊는다고 말을 해도
신께 맹세한 우리
사랑을 어떻게 마무리해
어쩜 이리도 서로가 다를까
오전엔 교회
오후엔 절에 가면 안 되니
물과 기름도 잘만 섞으면
잠깐은 섞이는데
왜 우린 믿음이 다른지
정지선을 안 지켰니 대포폰을 썼니
우린 전과도 없어요
헤어질 수도
사랑할 수도 없는 너와 나
어디가 극락인가
어디가 천국인가
울 엄마는 보살 너네 엄마는 집사
살다 보면 다 잊는다고 말을 해도
신께 맹세한 우리
사랑을 어떻게 마무리해
창세기 출애굽기 레위기
민수기 신명기 여호수아
마하반야바라밀다심경
관자재보살 행심 반야 밀다 시
이런 게 사랑인가
이런 게 아픔인가
숨을 쉴 수도 앞을 볼 수도 없어
살다 보면 다 잊는다고 말을 해도
신께 맹세한 우리
나무아미타불 할렐루야"
엉엉일기,"1,066",유다빈,"멀쩡한 사람들 사이에
같이 부둥켜 안긴 채 살려주세요
버스에서 내려 걸어가는 길에도
쿵쿵 어지러운 나를 좀 말려주세요
보도블럭이 춤을 추고 있어 빙빙
앞으로 걷는데 여긴 어디니
내 핸드폰이 자꾸 울고 있어 징징
울 사람은 나인데 니가 우니
오늘따라 마음에 안 드네
멀쩡한 사람들 사이에
같이 부둥켜 안긴 채 살려주세요
버스에서 내려 걸어가는 길에도
쿵쿵 어지러운 나를 좀 말려주세요
머리카락이 전부 쏟아진다 빙빙
명절도 아닌데 큰절을 하고
내 핸드폰이 자꾸 울고 있어 징징
아까부터 자꾸 왜 니가 우니
오늘따라 마음에 안 드네
멀쩡한 사람들 사이에
같이 부둥켜 안긴 채 살려주세요
버스에서 내려 걸어가는 길에도
쿵쿵 어지러운 나를 좀 말려주세요
멀쩡한 사람들 사이에
같이 부둥켜 안긴 채 살려주세요
버스에서 내려 걸어가는 길에도
쿵쿵 어지러운 나를 좀 말려주세요"
네 어둠은 내가 먹어치울게,794,안희수,"기다릴게 나는 너의 나약한 세계도 사랑해
안아줄게 절망 속에 헤엄치고 있는 너를
잠시 동안 멀어져도
늘 이 자리에 있을 거야
걱정 말고 잘 다녀와 그곳에선 숨을 트며
그게 어느 곳이든 너를 감싸고 있는
모든 것이 너를 토닥여주길
내게 던져두고 가 아무 일도 없듯이
네 어둠은 내가 먹어치울게
이해할게 나는 너의 하찮은 마음도 사랑해
걱정 말고 잘 다녀와 그곳에선 숨을 트며
그게 꿈속이라면 깊게 가라앉아서
많은 우울과 축제를 즐기길
다시 눈을 떴을 땐 아무 일도 없듯이
네 어둠은 내가 먹어치울게
어떤 날은 울고 있는 널 봤지
그때 나는 네가 되고 싶었어
보라색 눈물 속에 담겨있는 두려움
세상 어딘가에 쏟아내기를
난 항상 여기 있어 아무 일도 없듯이
네 어둠은 내가 먹어치울게
네 어둠은 내가 먹어치울게
네 어둠은 내가 먹어치울게"
두근두근 (영화 '핸드폰' 삽입곡),"6,721",루싸이트 토끼,"두근 두근 두근 두근
너만 떠올리는 내 맘은
매일 매일 설레이는
예감으로 가득한 걸
처음 널 만났을 때의 그 느낌
날 바라보는 네 눈빛 속에
이유 모를 이런
두근거림은 난 처음인 걸
네게 말할까
난 아무것도 할 수 없는 걸
두근 두근 두근 두근
쉴 새 없이 뛰는 심장은
매일 매일 설레이는
예감으로 가득한 걸
어쩌다 마주쳤을 때 그 떨림
귀까지 울리는 심장 소리
어디 아픈 건 아닐까
걱정마저 되는 걸
넌 알고 있니
내 가슴 가득 차오르는 걸
매일 매일 두근 두근
너만 떠올리는 내 맘은
두근 두근 온통
너의 생각으로 가득한 걸
내 마음의 소리 나만 그런 걸까
혹시 네게도 들리지 않을까

조심 조심 두근 두근
네게 다가 갈수록 커지는
두근 두근 내 마음을
더 숨기고 싶지 않아
두근 두근 두근 두근
너만 떠올리는 내 맘은
매일 매일 사랑스런
기분으로 가득한 걸

매일 매일 사랑스런
기분으로 가득한 걸

매일 매일 두근 두근"
